latitude,longitude,properties
23.962592,121.591986,"{""電腦編號"":""SNA00001"",""類別"":""私人透天"",""村里別"":""東昌村"",""地址"":""花蓮縣吉安鄉東海十五街25號"",""地下樓層數"":""1.0"",""可容納人數"":""89人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉東海十五街25號""}"
23.969096,121.579848,"{""電腦編號"":""SNA00002"",""類別"":""豪利建設(公寓)"",""村里別"":""南昌村"",""地址"":""花蓮縣吉安鄉昌隆六街6之2號"",""地下樓層數"":""1.0"",""可容納人數"":""428人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉昌隆六街6之2號""}"
23.970243,121.580917,"{""電腦編號"":""SNA00003"",""類別"":""甜蜜家庭(公寓)"",""村里別"":""南昌村"",""地址"":""花蓮縣吉安鄉文化五街46號"",""地下樓層數"":""1.0"",""可容納人數"":""2338人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉文化五街46號""}"
23.970222,121.580656,"{""電腦編號"":""SNA00004"",""類別"":""甜蜜家庭(公寓)"",""村里別"":""南昌村"",""地址"":""花蓮縣吉安鄉文化五街47號"",""地下樓層數"":""1.0"",""可容納人數"":""1612人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉文化五街47號""}"
23.965896,121.589065,"{""電腦編號"":""SNA00005"",""類別"":""佳姿中山大樓"",""村里別"":""仁里村"",""地址"":""花蓮縣吉安鄉中山路一段66號"",""地下樓層數"":""1.0"",""可容納人數"":""626人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中山路一段66號""}"
23.973593,121.584878,"{""電腦編號"":""SNA00006"",""類別"":""上毅皇宮(公寓)"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中華路二段93號"",""地下樓層數"":""1.0"",""可容納人數"":""1557人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中華路二段93號""}"
23.966474,121.595907,"{""電腦編號"":""SNA00007"",""類別"":""公寓"",""村里別"":""東昌村"",""地址"":""花蓮縣吉安鄉東海三街4號"",""地下樓層數"":""1.0"",""可容納人數"":""1468人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉東海三街4號""}"
23.965087,121.592419,"{""電腦編號"":""SNA00009"",""類別"":""富豪大廈"",""村里別"":""東昌村"",""地址"":""花蓮縣吉安鄉東海十一街1號"",""地下樓層數"":""1.0"",""可容納人數"":""980人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉東海十一街1號""}"
23.973358,121.581406,"{""電腦編號"":""SNA00010"",""類別"":""華廈"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中華路二段183號"",""地下樓層數"":""1.0"",""可容納人數"":""214人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中華路二段183號""}"
23.969173,121.582267,"{""電腦編號"":""SNA00011"",""類別"":""東歐大廈"",""村里別"":""南昌村"",""地址"":""花蓮縣吉安鄉南昌北路68號"",""地下樓層數"":""1.0"",""可容納人數"":""646人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南昌北路68號""}"
23.969339,121.590932,"{""電腦編號"":""SNA00012"",""類別"":""富貴大廈"",""村里別"":""仁里村"",""地址"":""花蓮縣吉安鄉南埔八街52之1號"",""地下樓層數"":""1.0"",""可容納人數"":""528人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南埔八街52之1號""}"
23.969221,121.586352,"{""電腦編號"":""SNA00013"",""類別"":""山海觀大樓"",""村里別"":""仁里村"",""地址"":""花蓮縣吉安鄉中山路一段222號"",""地下樓層數"":""2.0"",""可容納人數"":""2297人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中山路一段222號""}"
23.972812,121.580297,"{""電腦編號"":""SNA00014"",""類別"":""私人透天"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中山路二段116號"",""地下樓層數"":""1.0"",""可容納人數"":""110人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中山路二段116號""}"
23.972833,121.580253,"{""電腦編號"":""SNA00015"",""類別"":""私人透天"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中山路二段118號"",""地下樓層數"":""1.0"",""可容納人數"":""120人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中山路二段118號""}"
23.972854,121.580211,"{""電腦編號"":""SNA00016"",""類別"":""私人透天"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中山路二段120號"",""地下樓層數"":""1.0"",""可容納人數"":""110人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中山路二段120號""}"
23.974176,121.587113,"{""電腦編號"":""SNA00017"",""類別"":""宜昌農會"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中華路二段48號"",""地下樓層數"":""1.0"",""可容納人數"":""200人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中華路二段48號""}"
23.974779,121.583191,"{""電腦編號"":""SNA00018"",""類別"":""南山人壽"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉南山一街12號"",""地下樓層數"":""1.0"",""可容納人數"":""180人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南山一街12號""}"
23.973433,121.582331,"{""電腦編號"":""SNA00019"",""類別"":""天主教會"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉中華路二段169號"",""地下樓層數"":""1.0"",""可容納人數"":""310人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中華路二段169號""}"
23.972431,121.581564,"{""電腦編號"":""SNA00020"",""類別"":""私人透天"",""村里別"":""宜昌村"",""地址"":""花蓮縣吉安鄉宜昌七街24號"",""地下樓層數"":""1.0"",""可容納人數"":""70人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉宜昌七街24號""}"
23.967454,121.592833,"{""電腦編號"":""SNA00021"",""類別"":""仁里郵局"",""村里別"":""仁里村"",""地址"":""花蓮縣吉安鄉中正路一段48號"",""地下樓層數"":""1.0"",""可容納人數"":""160人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉中正路一段48號""}"
23.967731,121.594179,"{""電腦編號"":""SNA00022"",""類別"":""公寓"",""村里別"":""仁里村"",""地址"":""花蓮縣吉安鄉東里一街36號"",""地下樓層數"":""1.0"",""可容納人數"":""665人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉東里一街36號""}"
23.946411,121.585694,"{""電腦編號"":""SNA00023"",""類別"":""協榮石業公司"",""村里別"":""仁和村"",""地址"":""花蓮縣吉安鄉南海八街205號"",""地下樓層數"":""1.0"",""可容納人數"":""185人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南海八街205號""}"
23.953744,121.603567,"{""電腦編號"":""SNA00024"",""類別"":""國產實業公司"",""村里別"":""仁安村"",""地址"":""花蓮縣吉安鄉海濱1號"",""地下樓層數"":""1.0"",""可容納人數"":""213人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉海濱1號""}"
23.942246,121.587601,"{""電腦編號"":""SNA00025"",""類別"":""永天聖道寶禪院"",""村里別"":""仁安村"",""地址"":""花蓮縣吉安鄉南海十街164號"",""地下樓層數"":""1.0"",""可容納人數"":""92人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南海十街164號""}"
23.930589,121.591623,"{""電腦編號"":""SNA00026"",""類別"":""建利石材"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉華工四路6號"",""地下樓層數"":""1.0"",""可容納人數"":""2324人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉華工四路6號""}"
23.935828,121.594748,"{""電腦編號"":""SNA00027"",""類別"":""易展石業有限公司"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉南濱路一段521號"",""地下樓層數"":""1.0"",""可容納人數"":""1412人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南濱路一段521號""}"
23.929856,121.593031,"{""電腦編號"":""SNA00028"",""類別"":""億泉大理石工廠"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉南濱路一段558號"",""地下樓層數"":""1.0"",""可容納人數"":""66人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南濱路一段558號""}"
23.935212,121.59379,"{""電腦編號"":""SNA00029"",""類別"":""山井石材企業有限公司"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉南濱路一段536號"",""地下樓層數"":""1.0"",""可容納人數"":""26人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南濱路一段536號""}"
23.930866,121.591342,"{""電腦編號"":""SNA00030"",""類別"":""國庫石材有限公司"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉華工四路9號"",""地下樓層數"":""1.0"",""可容納人數"":""49人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉華工四路9號""}"
23.933478,121.594054,"{""電腦編號"":""SNA00031"",""類別"":""金營方石業公司"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉南濱路一段544號"",""地下樓層數"":""1.0"",""可容納人數"":""25人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉南濱路一段544號""}"
23.933495,121.593655,"{""電腦編號"":""SNA00032"",""類別"":""岩堡石業有限公司"",""村里別"":""光華村"",""地址"":""花蓮縣吉安鄉華工四路20號"",""地下樓層數"":""1.0"",""可容納人數"":""41人"",""備註"":"""",""placemark_address"":""花蓮縣吉安鄉華工四路20號""}"
