latitude,longitude,properties
24.821646,120.959492,"{""類別"":""新竹市士林市場"",""電腦編號"":""FMA00337"",""村里別"":""士林里"",""地址"":""新竹市北區士林里東大路2段449號"",""地下樓層數"":""1.0"",""可容納人數"":""1000 "",""備註"":""""}"
24.80787,120.9675,"{""類別"":""公寓"",""電腦編號"":""FMA00464"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路121號"",""地下樓層數"":""1.0"",""可容納人數"":""25 "",""備註"":""""}"
24.806749,120.968863,"{""類別"":""新竹市政府"",""電腦編號"":""FMA00465"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路120號"",""地下樓層數"":""1.0"",""可容納人數"":""33"",""備註"":""""}"
24.806749,120.968863,"{""類別"":""公寓"",""電腦編號"":""FMA00467"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路120號"",""地下樓層數"":""1.0"",""可容納人數"":""294 "",""備註"":""""}"
24.806588,120.968301,"{""類別"":""新竹林區管理處"",""電腦編號"":""FMA00468"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中山路2號"",""地下樓層數"":""1.0"",""可容納人數"":""60"",""備註"":""""}"
24.807537,120.967538,"{""類別"":""公寓"",""電腦編號"":""FMA00469"",""村里別"":""大同里"",""地址"":""新竹市北區大同里世界街5號"",""地下樓層數"":""1.0"",""可容納人數"":""516 "",""備註"":""""}"
24.807162,120.96803,"{""類別"":""中華電信營業處"",""電腦編號"":""FMA00480"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路105號"",""地下樓層數"":""2.0"",""可容納人數"":""2124 "",""備註"":""""}"
24.806972,120.967401,"{""類別"":""郵局第六支局"",""電腦編號"":""FMA00499"",""村里別"":""大同里"",""地址"":""新竹市北區大同里英明街10號"",""地下樓層數"":""1.0"",""可容納人數"":""118 "",""備註"":""""}"
24.808458,120.967039,"{""類別"":""兆豐金控"",""電腦編號"":""FMA00513"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路135號"",""地下樓層數"":""1.0"",""可容納人數"":""692 "",""備註"":""""}"
24.807776,120.967563,"{""類別"":""公寓"",""電腦編號"":""FMA00516"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路117號"",""地下樓層數"":""1.0"",""可容納人數"":""17 "",""備註"":""""}"
24.806525,120.967409,"{""類別"":""第一商業銀行"",""電腦編號"":""FMA00518"",""村里別"":""大同里"",""地址"":""新竹市北區大同里英明街7號"",""地下樓層數"":""1.0"",""可容納人數"":""828 "",""備註"":""""}"
24.807558,120.967727,"{""類別"":""公寓"",""電腦編號"":""FMA00529"",""村里別"":""大同里"",""地址"":""新竹市北區大同里中正路115號"",""地下樓層數"":""1.0"",""可容納人數"":""72 "",""備註"":""""}"
