latitude,longitude,properties
25.045204,121.520146,"{""行政區"":""中正區"",""電腦編號"":""WOA00185"",""村里別"":""幸福里"",""地址"":""台北市中正區忠孝東路一段2號"",""緯經度"":""25.045204,121.520146"",""地下樓層數"":""1"",""可容納人數"":""2766 "",""轄管分局"":""中正第一分局"",""備註"":""""}"
25.025656,121.523745,"{""行政區"":""大安區"",""電腦編號"":""WNA05000"",""村里別"":""古莊里"",""地址"":""台北市大安區羅斯福路二段83之3號"",""緯經度"":""25.025615,121.523771"",""地下樓層數"":""1"",""可容納人數"":""690 "",""轄管分局"":""大安分局"",""備註"":""""}"
25.060635,121.549903,"{""行政區"":""松山區"",""電腦編號"":""WXA01897"",""村里別"":""民有里"",""地址"":""台北市松山區敦化北路256號"",""緯經度"":""25.060635,121.549903"",""地下樓層數"":""3"",""可容納人數"":""612 "",""轄管分局"":""松山分局"",""備註"":""""}"
25.051836,121.579539,"{""行政區"":""松山區"",""電腦編號"":""WXA00345"",""村里別"":""慈祐里"",""地址"":""台北市松山區八德路四段829巷15號"",""緯經度"":""25.051836,121.579539"",""地下樓層數"":""1"",""可容納人數"":""32 "",""轄管分局"":""松山分局"",""備註"":""""}"
25.051217,121.576178,"{""行政區"":""松山區"",""電腦編號"":""WXA01911"",""村里別"":""慈祐里"",""地址"":""台北市松山區松河街158號"",""緯經度"":""25.051217,121.576178"",""地下樓層數"":""1"",""可容納人數"":""1244 "",""轄管分局"":""松山分局"",""備註"":""""}"
25.049422,121.565209,"{""行政區"":""松山區"",""電腦編號"":""WXA00297"",""村里別"":""新聚里"",""地址"":""台北市松山區八德路四段245巷13弄13號"",""緯經度"":""25.049422,121.565209"",""地下樓層數"":""1"",""可容納人數"":""190 "",""轄管分局"":""松山分局"",""備註"":""""}"
