latitude,longitude,properties
23.907252,120.686243,"{""類別"":""移民署"",""電腦編號"":""KMA00012"",""地址"":""南投市崇文里文昌街87號"",""緯經度"":""23.907252, 120.686243"",""地下樓層數"":""1"",""分配容量"":""200.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市崇文里文昌街87號""}"
23.907406,120.686059,"{""類別"":""新安全機車行"",""電腦編號"":""KMA00044"",""地址"":""南投市崇文里彰南路一段1137號"",""緯經度"":""23.907406, 120.686059"",""地下樓層數"":""1"",""分配容量"":""19.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市崇文里彰南路一段1137號""}"
23.907637,120.68435,"{""類別"":""一搬住宅"",""電腦編號"":""KMA00045"",""地址"":""南投市崇文里民族路379-3號"",""緯經度"":""23.907637, 120.684350"",""地下樓層數"":""1"",""分配容量"":""27.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市崇文里民族路379-3號""}"
23.910109,120.693648,"{""類別"":""今日汽車商行"",""電腦編號"":""KMA00067"",""地址"":""南投市平和里中興路438號"",""緯經度"":""23.910109, 120.693648"",""地下樓層數"":""1"",""分配容量"":""25.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市平和里中興路438號""}"
23.924106,120.716952,"{""類別"":""觀音寺"",""電腦編號"":""KMA00070"",""地址"":""南投市東山里東山路13號"",""緯經度"":""23.924106, 120.716952"",""地下樓層數"":""1"",""分配容量"":""85.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市東山里東山路13號""}"
23.902176,120.687647,"{""類別"":""一般住宅"",""電腦編號"":""KMA00099"",""地址"":""南投市三和里中山南街47號"",""緯經度"":""23.902176, 120.687647"",""地下樓層數"":""1"",""分配容量"":""23.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里中山南街47號""}"
23.907802,120.68741,"{""類別"":""原翌營造中心"",""電腦編號"":""KMA00127"",""地址"":""南投市彰仁里復興路207號"",""緯經度"":""23.907802, 120.687410"",""地下樓層數"":""1"",""分配容量"":""19.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市彰仁里復興路207號""}"
23.919783,120.706674,"{""類別"":""南投酒廠"",""電腦編號"":""KMA00131"",""地址"":""南投市東山里東山路83號"",""緯經度"":""23.919783, 120.706674"",""地下樓層數"":""1"",""分配容量"":""239.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市東山里東山路83號""}"
23.911124,120.683035,"{""類別"":""一般住宅"",""電腦編號"":""KMA00171"",""地址"":""南投市三民里彰南路二段140號"",""緯經度"":""23.911124, 120.683035"",""地下樓層數"":""1"",""分配容量"":""27.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三民里彰南路二段140號""}"
23.901654,120.689034,"{""類別"":""南投救國團"",""電腦編號"":""KMA00230"",""地址"":""南投市三和里中興路700號"",""緯經度"":""23.901654, 120.689034"",""地下樓層數"":""1"",""分配容量"":""369.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里中興路700號""}"
23.911394,120.68186,"{""類別"":""南投文化中心"",""電腦編號"":""KMA00283"",""地址"":""南投市三興里建國路201號"",""緯經度"":""23.911394, 120.681860"",""地下樓層數"":""1"",""分配容量"":""3711.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三興里建國路201號""}"
23.914204,120.685737,"{""類別"":""南投醫院"",""電腦編號"":""KMA00285"",""地址"":""南投市康壽里復興路478號"",""緯經度"":""23.914204, 120.685737"",""地下樓層數"":""1"",""分配容量"":""1484.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市康壽里復興路478號""}"
23.904837,120.687921,"{""類別"":""台灣銀行"",""電腦編號"":""KMA00286"",""地址"":""南投市三和里復興路101號"",""緯經度"":""23.904837, 120.687921"",""地下樓層數"":""1"",""分配容量"":""1339.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里復興路101號""}"
23.903308,120.688541,"{""類別"":""南投縣衛生局"",""電腦編號"":""KMA00310"",""地址"":""南投市三和里三和一街11號"",""緯經度"":""23.903308, 120.688541"",""地下樓層數"":""1"",""分配容量"":""100.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里三和一街11號""}"
23.901495,120.687693,"{""類別"":""一般住宅"",""電腦編號"":""KMA00324"",""地址"":""南投市三和里中山南街17號"",""緯經度"":""23.901495, 120.687693"",""地下樓層數"":""1"",""分配容量"":""39.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里中山南街17號""}"
23.910473,120.684749,"{""類別"":""中華電信"",""電腦編號"":""KMA00328"",""地址"":""南投市三民里中山一街3號"",""緯經度"":""23.910473, 120.684749"",""地下樓層數"":""1"",""分配容量"":""438.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三民里中山一街3號""}"
23.906407,120.68374,"{""類別"":""一般住宅"",""電腦編號"":""KMA00329"",""地址"":""南投市三興里建國路88號"",""緯經度"":""23.906407, 120.683740"",""地下樓層數"":""1"",""分配容量"":""54.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三興里建國路88號""}"
23.904535,120.688839,"{""類別"":""南投郵局"",""電腦編號"":""KMA00358"",""地址"":""南投市三和里三合二街30號"",""緯經度"":""23.904535, 120.688839"",""地下樓層數"":""1"",""分配容量"":""893.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里三合二街30號""}"
23.910369,120.685397,"{""類別"":""一般住宅"",""電腦編號"":""KMA00359"",""地址"":""南投市康壽里中山街214號"",""緯經度"":""23.910369, 120.685397"",""地下樓層數"":""1"",""分配容量"":""67.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市康壽里中山街214號""}"
23.908673,120.686838,"{""類別"":""華南銀行"",""電腦編號"":""KMA00364"",""地址"":""南投市彰仁里復興路236號"",""緯經度"":""23.908673, 120.686838"",""地下樓層數"":""1"",""分配容量"":""480.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市彰仁里復興路236號""}"
23.908374,120.684897,"{""類別"":""一般住宅"",""電腦編號"":""KMA00376"",""地址"":""南投市南投里彰南路二段9號"",""緯經度"":""23.908374, 120.684897"",""地下樓層數"":""1"",""分配容量"":""292.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市南投里彰南路二段9號""}"
23.907069,120.68581,"{""類別"":""一般住宅"",""電腦編號"":""KMA00390"",""地址"":""南投市崇文里文昌街93號"",""緯經度"":""23.907069, 120.685810"",""地下樓層數"":""1"",""分配容量"":""27.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市崇文里文昌街93號""}"
23.90903,120.687314,"{""類別"":""TS髮型沙龍"",""電腦編號"":""KMA00413"",""地址"":""南投市南投里民族路274號"",""緯經度"":""23.909030, 120.687314"",""地下樓層數"":""1"",""分配容量"":""87.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市南投里民族路274號""}"
23.909055,120.686781,"{""類別"":""百事特童裝"",""電腦編號"":""KMA00414"",""地址"":""南投市南投里民族路276號"",""緯經度"":""23.909055, 120.686781"",""地下樓層數"":""1"",""分配容量"":""234.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市南投里民族路276號""}"
23.923732,120.676438,"{""類別"":""南投國小"",""電腦編號"":""KMA00503"",""地址"":""南投市崇文里彰南路二段1059號"",""緯經度"":""23.923732, 120.676438"",""地下樓層數"":""1"",""分配容量"":""134.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市崇文里彰南路二段1059號""}"
23.903782,120.68667,"{""類別"":""宏光隱形眼鏡"",""電腦編號"":""KMA00509"",""地址"":""南投市三和里彰南路一段966號"",""緯經度"":""23.903782, 120.686670"",""地下樓層數"":""1"",""分配容量"":""210.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里彰南路一段966號""}"
23.908785,120.691922,"{""類別"":""簡姓宗親會"",""電腦編號"":""KMA00521"",""地址"":""南投市平和里中興路510號"",""緯經度"":""23.908785, 120.691922"",""地下樓層數"":""1"",""分配容量"":""212.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市平和里中興路510號""}"
23.897557,120.686463,"{""類別"":""金山建設公司"",""電腦編號"":""KMA00563"",""地址"":""南投市嘉和里彰南路一段674巷29號"",""緯經度"":""23.897557, 120.686463"",""地下樓層數"":""1"",""分配容量"":""739.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市嘉和里彰南路一段674巷29號""}"
23.914185,120.690029,"{""類別"":""一般住宅"",""電腦編號"":""KMA00565"",""地址"":""南投市平和里信義街169號"",""緯經度"":""23.914185, 120.690029"",""地下樓層數"":""1"",""分配容量"":""167.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市平和里信義街169號""}"
23.909761,120.693084,"{""類別"":""上毅建設"",""電腦編號"":""KMA00571"",""地址"":""南投市平和里信義街1號"",""緯經度"":""23.909761, 120.693084"",""地下樓層數"":""1"",""分配容量"":""2771.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市平和里信義街1號""}"
23.90106,120.688935,"{""類別"":""南投地方法院"",""電腦編號"":""KMA00575"",""地址"":""南投市三和里中興路759號"",""緯經度"":""23.901060, 120.688935"",""地下樓層數"":""1"",""分配容量"":""2480.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里中興路759號""}"
23.91598,120.68965,"{""類別"":""尚品鑑社"",""電腦編號"":""KMA00582"",""地址"":""南投市平和里信義街250號"",""緯經度"":""23.915980, 120.689650"",""地下樓層數"":""1"",""分配容量"":""1005.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市平和里信義街250號""}"
23.896724,120.690155,"{""類別"":""錦繡觀邸"",""電腦編號"":""KMA00583"",""地址"":""南投市嘉和里忠孝八街12號"",""緯經度"":""23.896724, 120.690155"",""地下樓層數"":""1"",""分配容量"":""1371.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市嘉和里忠孝八街12號""}"
23.915661,120.69886,"{""類別"":""中友建設"",""電腦編號"":""KMA00590"",""地址"":""南投市軍功里東山路443巷2號"",""緯經度"":""23.915661, 120.698860"",""地下樓層數"":""1"",""分配容量"":""3932.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市軍功里東山路443巷2號""}"
23.909222,120.692527,"{""類別"":""通力國寶"",""電腦編號"":""KMA00593"",""地址"":""南投市平和里中興路466號"",""緯經度"":""23.909222, 120.692527"",""地下樓層數"":""1"",""分配容量"":""10044.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市平和里中興路466號""}"
23.908678,120.685078,"{""類別"":""通力建設"",""電腦編號"":""KMA00595"",""地址"":""南投市南投里彰南路二段16號"",""緯經度"":""23.908678, 120.685078"",""地下樓層數"":""1"",""分配容量"":""227.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市南投里彰南路二段16號""}"
23.913121,120.684542,"{""類別"":""美滿天廈"",""電腦編號"":""KMA00596"",""地址"":""南投市康壽里南陽路343號"",""緯經度"":""23.913121, 120.684542"",""地下樓層數"":""1"",""分配容量"":""3750.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市康壽里南陽路343號""}"
23.895955,120.682995,"{""類別"":""南崗國中"",""電腦編號"":""KMA00598"",""地址"":""南投市嘉和里大庄路94號"",""緯經度"":""23.895955, 120.682995"",""地下樓層數"":""1"",""分配容量"":""273.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市嘉和里大庄路94號""}"
23.89914,120.683986,"{""類別"":""南基醫院"",""電腦編號"":""KMA00601"",""地址"":""南投市嘉和里中興路870號"",""緯經度"":""23.899140, 120.683986"",""地下樓層數"":""2"",""分配容量"":""982.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市嘉和里中興路870號""}"
23.906972,120.680328,"{""類別"":""南投縣消防局"",""電腦編號"":""KMA00602"",""地址"":""南投市三興里民族路494號"",""緯經度"":""23.906972, 120.680328"",""地下樓層數"":""1"",""分配容量"":""1104.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三興里民族路494號""}"
23.904458,120.690498,"{""類別"":""遠東商業銀行"",""電腦編號"":""KMA00603"",""地址"":""南投市三和里三和二路11號"",""緯經度"":""23.904458, 120.690498"",""地下樓層數"":""1"",""分配容量"":""788.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三和里三和二路11號""}"
23.904494,120.680363,"{""類別"":""富貴花園別墅"",""電腦編號"":""KMA00604"",""地址"":""南投市三興里文化路17巷1號"",""緯經度"":""23.904494, 120.680363"",""地下樓層數"":""1"",""分配容量"":""4129.0"",""轄管分局"":""南投分局"",""備註"":"""",""placemark_address"":""南投市三興里文化路17巷1號""}"
