類別,電腦編號,村里別,地址,地下層數位址,可容納人數
其它,EPA00001,明德里,中壢區8鄰衡陽街85號,1,253.0
公寓,EPA00002,普強里,中壢區利民路42號,1,981.0
大樓,EPA00007,仁義里,中壢區中華路二段330號,1、2,4730.0
教育機構,EPA00009,明德里,中壢區21鄰廣州路25號,1,1597.0
公寓,EPA00010,龍昌里,中壢區27鄰龍昌路232號,1,560.0
公寓,EPA00011,龍昌里,中壢區8鄰龍昌路254號,1,693.0
公寓,EPA00014,龍興里,中壢區13鄰龍岡路二段407號,1,800.0
其它,EPA00016,龍東里,中壢區1鄰龍東路445巷309號,1,266.0
大樓,EPA00017,龍昌里,中壢區27鄰龍昌路238巷50號,1,1120.0
其它,EPA00020,普強里,中壢區國泰街131號,1,240.0
大樓,EPA00021,明德里,中壢區內江路18號,1,5202.0
大樓,EPA00022,中興里,中壢區6鄰永福路780號,1、2,1093.0
大樓,EPA00025,普仁里,中壢區新中北路36號,1,1533.0
其它,EPA00029,普義里,中壢區17鄰四維路16號,1,194.0
大樓,EPA00031,明德里,中壢區惠州街80號,1,1272.0
其它,EPA00034,仁義里,中壢區10鄰延平路24號,1,213.0
其它,EPA00035,仁義里,中壢區10鄰延平路22號,1,210.0
其它,EPA00037,龍興里,中壢區20鄰龍岡路三段133號,1,37.0
其它,EPA00038,信義里,中壢區福州路125號,1,38.0
其它,EPA00039,明德里,中壢區龍岡路二段109號,1,32.0
其它,EPA00041,明德里,中壢區南雄街25號,1,34.0
大樓,EPA00042,信義里,中壢區廣州路222號,1,1269.0
公寓,EPA00043,普忠里,中壢區新中一街12號,1,608.0
其它,EPA00044,普強里,中壢區中山東路二段10號,1,297.0
公寓,EPA00045,普強里,中壢區民享街5號,1,796.0
其它,EPA00047,信義里,中壢區20鄰衡陽街30號,1,356.0
其它,EPA00048,信義里,中壢區17鄰成都路56號,1,318.0
其它,EPA00052,正義里,中壢區新興北街31號,1,26.0
其它,EPA00053,普仁里,中壢區新中北路34巷4號,1,80.0
其它,EPA00056,仁義里,中壢區普義路180號,1,80.0
其它,EPA00057,正義里,中壢區中北路二段357號,1,21.0
其它,EPA00059,普強里,中壢區19鄰中山東路二段116號,1,53.0
其它,EPA00060,普強里,中壢區19鄰中山東路二段152號,1,53.0
其它,EPA00061,普強里,中壢區19鄰中山東路二段156號,1,54.0
其它,EPA00062,普仁里,中壢區環中東路912號,1,106.0
其它,EPA00065,龍東里,中壢區22鄰龍東路29巷120弄29號,1,26.0
其它,EPA00068,明德里,中壢區桂林街23號,1,70.0
其它,EPA00073,普仁里,中壢區弘揚路29號,1,93.0
其它,EPA00074,正義里,中壢區中北路二段373巷5弄10號,1,18.0
其它,EPA00077,信義里,中壢區廣州路211號,1,126.0
其它,EPA00078,信義里,中壢區廣州路209號,1,133.0
其它,EPA00080,正義里,中壢區中北路二段416號,1,53.0
其它,EPA00081,正義里,中壢區中北路二段402號,1,40.0
其它,EPA00085,信義里,中壢區中北路二段402號之1,1,32.0
其它,EPA00086,正義里,中壢區中北路二段326號,1,30.0
其它,EPA00089,正義里,中壢區中北路二段369號,1,21.0
其它,EPA00095,正義里,中壢區中北路二段432號,1,36.0
其它,EPA00097,德義里,中壢區4鄰中山東路一段7號,1,30.0
公寓,EPA00098,德義里,中壢區15鄰永康三街13號,1,446.0
其它,EPA00100,正義里,中壢區金山一街33號,1,40.0
其它,EPA00101,信義里,中壢區廣州路202號,1,32.0
其它,EPA00102,信義里,中壢區嘉善街14號,1,17.0
其它,EPA00104,明德里,中壢區昆明街31號,1,64.0
其它,EPA00105,信義里,中壢區廈門路213號,1,40.0
其它,EPA00107,普仁里,中壢區日新路39號,1,33.0
其它,EPA00109,普強里,中壢區莒光路58號,1,45.0
其它,EPA00111,普忠里,中壢區實踐路108號,1,160.0
其它,EPA00112,後寮里,中壢區後興路二段270巷11號,1,82.0
其它,EPA00123,正義里,中壢區中北路二段345號,1,22.0
其它,EPA00124,正義里,中壢區中北路二段359號,1,22.0
其它,EPA00127,健行里,中壢區龍岡路一段133號,1,181.0
其它,EPA00128,普仁里,中壢區日新路86號,1,166.0
公寓,EPA00129,普義里,中壢區溪洲三路71號,1,400.0
其它,EPA00130,信義里,中壢區廈門路73號,1,34.0
其它,EPA00132,信義里,中壢區廣州路143號,1,32.0
其它,EPA00134,普忠里,中壢區大仁二街8號,1,77.0
其它,EPA00135,明德里,中壢區龍山街11號,1,60.0
其它,EPA00136,普仁里,中壢區協同街51號,1,136.0
其它,EPA00138,正義里,中壢區蘭州二街22號,1,98.0
其它,EPA00141,普仁里,中壢區實踐路25號,1,153.0
其它,EPA00142,信義里,中壢區福州路75號,1,38.0
其它,EPA00143,普仁里,中壢區環中東路850號之4,1,160.0
其它,EPA00149,龍平里,中壢區18鄰前龍路11號,1,25.0
其它,EPA00151,普仁里,中壢區力行北街35號,1,86.0
其它,EPA00152,普仁里,中壢區實踐路105號,1,80.0
其它,EPA00153,普忠里,中壢區大仁四街11號,1,120.0
其它,EPA00154,明德里,中壢區環中東路二段362號,1,49.0
其它,EPA00155,普義里,中壢區八德路56號,1,82.0
其它,EPA00156,明德里,中壢區苑平路3號,1,46.0
其它,EPA00158,正義里,中壢區寶慶路54號,1,34.0
其它,EPA00159,信義里,中壢區廈門路65號,1,58.0
其它,EPA00160,普仁里,中壢區三和二街17號,1,133.0
其它,EPA00162,信義里,中壢區甘肅一路29號,1,32.0
其它,EPA00163,仁義里,中壢區中山東路一段223巷129弄2號,1,113.0
公寓,EPA00164,普強里,中壢區民享街38號,1,889.0
公寓,EPA00165,普仁里,中壢區力行北路53號,1,740.0
其它,EPA00166,普仁里,中壢區力行北路47號,1,113.0
其它,EPA00168,明德里,中壢區環中東路二段650號,1,37.0
其它,EPA00170,仁義里,中壢區普義路130號,1,42.0
其它,EPA00171,後寮里,中壢區後興路一段52巷7號,1,133.0
公寓,EPA00172,明德里,中壢區吉長二街190號,1,400.0
其它,EPA00173,信義里,中壢區福州路121號,1,34.0
其它,EPA00176,龍興里,中壢區12鄰龍岡路三段295號,1,26.0
其它,EPA00177,龍興里,中壢區20鄰龍岡路三段301號,1,53.0
其它,EPA00179,普強里,中壢區莒光路94號,1,26.0
其它,EPA00180,普忠里,中壢區大仁一街49號,1,306.0
其它,EPA00182,普忠里,中壢區大仁二街8號,1,80.0
其它,EPA00184,龍興里,中壢區20鄰龍岡路三段291號,1,26.0
其它,EPA00185,龍興里,中壢區12鄰龍岡路三段299號,1,70.0
其它,EPA00186,龍興里,中壢區12鄰龍岡路三段297號,1,24.0
其它,EPA00187,龍興里,中壢區20鄰龍岡路三段293號,1,25.0
其它,EPA00189,龍平里,中壢區17鄰龍東路220號,1,48.0
其它,EPA00190,正義里,中壢區中北路二段378號,1,34.0
其它,EPA00193,明德里,中壢區20鄰衡陽街28號,1,41.0
其它,EPA00194,明德里,中壢區環中東路二段648號,1,33.0
其它,EPA00197,明德里,中壢區衡陽街28號,1,30.0
教育機構,EPA00198,明德里,中壢區廣州路25號,1,474.0
其它,EPA00200,普仁里,中壢區新中北路34巷2弄9號,1,106.0
大樓,EPA00201,普仁里,中壢區弘揚路50號,1,1360.0
其它,EPA00203,普強里,中壢區國泰街105號,1,37.0
其它,EPA00206,信義里,中壢區杭州路33號,1,202.0
其它,EPA00207,普仁里,中壢區治平街51號,1,73.0
其它,EPA00208,普強里,中壢區民享街8號,1,44.0
其它,EPA00209,普仁里,中壢區協同街12及14號,1,73.0
其它,EPA00210,普強里,中壢區中山東路二段12號,1,32.0
其它,EPA00211,仁義里,中壢區延平路24號,1,202.0
其它,EPA00213,普仁里,中壢區治平街11號,1,56.0
其它,EPA00215,普仁里,中壢區治平街7號,1,53.0
其它,EPA00217,普強里,中壢區中山東路二段14號,1,30.0
其它,EPA00219,普忠里,中壢區大仁五街13號,1,60.0
其它,EPA00221,普強里,中壢區民有街25號,1,41.0
其它,EPA00222,普強里,中壢區民有街27號,1,34.0
其它,EPA00224,信義里,中壢區福州路74號,1,133.0
其它,EPA00225,正義里,中壢區中北路二段330號,1,44.0
其它,EPA00226,正義里,中壢區東明街84號,1,32.0
其它,EPA00228,信義里,中壢區潮州街16號,1,72.0
其它,EPA00229,信義里,中壢區廣州路199號,1,32.0
其它,EPA00235,明德里,中壢區桂林街2號,1,45.0
其它,EPA00237,龍平里,中壢區19鄰龍東路82號,1,34.0
其它,EPA00239,信義里,中壢區嘉興二街20號,1,57.0
其它,EPA00240,信義里,中壢區廣州路160號,1,33.0
大樓,EPA00241,德義里,中壢區中山東路一段149號,1,1333.0
其它,EPA00246,普仁里,中壢區三和三街15號,1,60.0
其它,EPA00248,普仁里,中壢區三和三路7號,1,113.0
其它,EPA00253,普仁里,中壢區環中東路908號,1,46.0
其它,EPA00254,普仁里,中壢區環中東路898號,1,42.0
其它,EPA00255,普強里,中壢區民有街25號,1,44.0
其它,EPA00258,普仁里,中壢區力行北街11號,1,46.0
其它,EPA00259,正義里,中壢區中北路二段377號,1,77.0
其它,EPA00264,信義里,中壢區廣州路144號,1,40.0
其它,EPA00267,正義里,中壢區寶慶路56號,1,45.0
大樓,EPA00271,龍平里,中壢區7鄰龍江路54號,1,2080.0
其它,EPA00272,里,中壢區金山街16號,1,146.0
公家機構,EPA00275,至善里,中壢區11鄰中山東路三段372號,1,1734.0
教育機構,EPA00283,普忠里,中壢區中北路200號,1,2658.0
其它,EPA00287,明德里,中壢區桂林街74號,1,117.0
其它,EPA00288,明德里,中壢區五華路53號,1,80.0
其它,EPA00294,明德里,中壢區惠州路120號,1,53.0
其它,EPA00295,新興里,中壢區15鄰金山街9號,1,36.0
其它,EPA00296,信義里,中壢區福州路143號,1,32.0
其它,EPA00298,明德里,中壢區惠州路54號,1,54.0
其它,EPA00300,德義里,中壢區永康二路36號,1,178.0
其它,EPA00303,普仁里,中壢區環中東路900號,1,33.0
公寓,EPA00307,德義里,中壢區26鄰永康路26號,1,544.0
其它,EPA00309,明德里,中壢區桂林街85號,1,96.0
其它,EPA00310,明德里,中壢區桂林街83號,1,42.0
其它,EPA00311,正義里,中壢區東明街84號,1,34.0
其它,EPA00312,正義里,中壢區中北路二段330號,1,46.0
其它,EPA00315,普忠里,中壢區新中一街10巷11號,1,46.0
其它,EPA00319,正義里,中壢區廣州路199號,1,30.0
其它,EPA00323,仁義里,中壢區中山東路一段223巷129弄10號,1,153.0
其它,EPA00326,仁義里,中壢區中山東路一段223巷129弄4號,1,52.0
其它,EPA00327,仁義里,中壢區中山東路一段223巷129弄4號之2,1,101.0
其它,EPA00328,仁義里,中壢區中山東路一段223巷129弄4號之6,1,101.0
其它,EPA00329,仁義里,中壢區中山東路一段223巷129弄4號之8,1,146.0
其它,EPA00331,仁義里,中壢區中山東路一段223巷129弄6號之4,1,101.0
其它,EPA00332,仁義里,中壢區中山東路一段223巷129弄6號之6,1,101.0
其它,EPA00333,仁義里,中壢區中山東路一段223巷129弄12號之6,1,101.0
其它,EPA00335,正義里,中壢區中北路二段437巷9弄6號,1,66.0
其它,EPA00336,信義里,中壢區20鄰潮州街20號,1,78.0
其它,EPA00342,信義里,中壢區20鄰衡陽街8號,1,37.0
其它,EPA00345,正義里,中壢區漢口路47號,1,42.0
其它,EPA00346,普慶里,中壢區14鄰金鋒二路65巷2號,1,266.0
其它,EPA00352,信義里,中壢區甘肅一路31號,1,61.0
其它,EPA00353,普強里,中壢區環中東路二段2號,1,40.0
其它,EPA00357,普強里,中壢區20鄰國泰街12號,1,40.0
其它,EPA00361,正義里,中壢區中北路二段446號,1,240.0
其它,EPA00362,信義里,中壢區廣州路149號,1,45.0
其它,EPA00363,信義里,中壢區福州路71號,1,62.0
其它,EPA00364,正義里,中壢區寶慶路48號,1,41.0
公寓,EPA00367,正義里,中壢區中北路二段437巷8號,1,400.0
教育機構,EPA00373,內定里,中壢區1鄰安寧路31號,1,669.0
公寓,EPA00374,內定里,中壢區1鄰高邊路1號,1,453.0
其它,EPA00377,復興里,中壢區18鄰自強四路9號,1,365.0
大樓,EPA00378,文化里,中壢區13鄰合江路2號,1,5465.0
公寓,EPA00379,內定里,中壢區1鄰合定路26號之1,1,413.0
其它,EPA00381,內定里,中壢區1鄰合定路4號,1,246.0
公寓,EPA00382,復興里,中壢區6鄰自強一路4號,1,952.0
其它,EPA00383,信義里,中壢區福州路132號,1,25.0
其它,EPA00384,信義里,中壢區廈門路159號,1,32.0
其它,EPA00391,後寮里,中壢區中山東路二段510號,1,25.0
其它,EPA00392,中建里,中壢區8鄰大同路154號,1,58.0
其它,EPA00396,中建里,中壢區8鄰大同路158號,1,69.0
其它,EPA00397,中建里,中壢區9鄰中平路208號,1,56.0
其它,EPA00398,中建里,中壢區8鄰大同路166號,1,64.0
其它,EPA00400,中建里,中壢區8鄰大同路162號,1,205.0
