電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
WNA01497,誠安里,臺北市大安區忠孝東路三段305號,"25.041886,121.543542",1,1590.0,大安分局,
WNA01500,誠安里,臺北市大安區忠孝東路三段305號,"25.041886,121.543542",2,1612.0,大安分局,
WNA02796,誠安里,臺北市大安區復興南路一段152號,"25.042334,121.543552",1,172.0,大安分局,
WNA02836,誠安里,臺北市大安區復興南路一段126巷1號,"25.04331,121.543",1,6097.0,大安分局,
WNA02837,誠安里,臺北市大安區復興南路一段126巷6號,"25.043033,121.543165",2,238.0,大安分局,
WNA02838,誠安里,臺北市大安區復興南路一段126巷10弄3號,"25.042757,121.543103",1,502.0,大安分局,
WNA04526,誠安里,臺北市大安區忠孝東路三段218號,"25.041364,121.54024",2,776.0,大安分局,
WNA04585,誠安里,臺北市大安區復興南路一段128號,"25.043023,121.543349",3,382.0,大安分局,
WNA00870,誠安里,臺北市大安區安東街50-6號,"25.042739,121.542573",1,748.0,大安分局,
WNA00871,誠安里,臺北市大安區安東街52號,"25.042615,121.542547",1,521.0,大安分局,
WNA01495,誠安里,臺北市大安區忠孝東路三段247號,"25.041844,121.541203",1,1010.0,大安分局,
WNA01522,誠安里,臺北市大安區忠孝東路三段251巷8弄2號,"25.042925,121.541537",1,488.0,大安分局,
WNA04343,誠安里,臺北市大安區忠孝東路三段251巷2弄9號,"25.042131,121.541127",1,1000.0,大安分局,
WNA04344,誠安里,臺北市大安區忠孝東路三段239號,"25.04185,121.540769",1,1100.0,大安分局,
WNA00884,誠安里,臺北市大安區安東街35巷25號,"25.044208,121.543245",1,180.0,大安分局,
WNA02822,誠安里,臺北市大安區復興南路一段62號,"25.044549,121.543614",1,666.0,大安分局,
WNA02823,誠安里,臺北市大安區復興南路一段66號,"25.044411,121.543614",1,258.0,大安分局,
WNA02825,誠安里,臺北市大安區復興南路一段72號,"25.044052,121.543605",1,3424.0,大安分局,
WNA02826,誠安里,臺北市大安區復興南路一段72號,"25.044052,121.543605",2,3424.0,大安分局,
WNA02860,誠安里,臺北市大安區復興南路一段60巷20號,"25.036722,121.54567",1,10.0,大安分局,
