電腦編號,類別,村里,地址,地下層數,容量,轄管所別,備註
HMA00489,公寓,綠苗里,苗栗縣苗栗市米市街80號,1.0,106,南苗所,
" HMA00496",公寓,綠苗里,苗栗縣苗栗市光復路117號,1.0,26,南苗所,
" HMA00497",公寓,綠苗里,苗栗縣苗栗市米市街50號,1.0,45,南苗所,
HMA00004,公寓,綠苗里,苗栗縣苗栗市博愛街65巷3號,1.0,56,南苗所,
HMA0001,公寓,綠苗里,苗栗縣苗栗市光復路119號,1.0,29,南苗所,
HMA00014,公寓,綠苗里,苗栗縣苗栗市中正路727號,1.0,37,南苗所,
HMA00015,公寓,綠苗里,苗栗縣苗栗市光復路116號,1.0,25,南苗所,
HMA00016,大樓,綠苗里,苗栗縣苗栗市博愛街109號,2.0,2038,南苗所,
HMA00017,公寓,綠苗里,苗栗縣苗栗市光復路114號,1.0,17,南苗所,
HMA00018,公寓,綠苗里,苗栗縣苗栗市米市街98號,1.0,20,南苗所,
HMA00019,公寓,綠苗里,苗栗縣苗栗市米市街99號,1.0,34,南苗所,
HMA0002,公寓,綠苗里,苗栗縣苗栗市米市街97號,1.0,56,南苗所,
HMA00020,公寓,綠苗里,苗栗縣苗栗市光復路77號,1.0,26,南苗所,
HMA00021,公寓,綠苗里,苗栗縣苗栗市日新街32號,1.0,41,南苗所,
HMA00022,公寓,綠苗里,苗栗縣苗栗市米市街52號,1.0,21,南苗所,
HMA00023,大樓,綠苗里,苗栗縣苗栗市大同路53號,1.0,128,南苗所,
HMA00024,大樓,綠苗里,苗栗縣苗栗市僑育街7號,1.0,950,南苗所,
HMA00025,公寓,青苗里,苗栗縣苗栗市至公路56巷19號,1.0,30,南苗所,
HMA00026,公寓,青苗里,苗栗縣苗栗市至公路85號,1.0,57,南苗所,
HMA00027,公寓,青苗里,苗栗縣苗栗市維新街34號,1.0,40,南苗所,
HMA00028,公寓,青苗里,苗栗縣苗栗市至公路6巷8號,1.0,62,南苗所,
HMA00029,公寓,青苗里,苗栗縣苗栗市至公路56巷15號,1.0,25,南苗所,
HMA0003,公寓,青苗里,苗栗縣苗栗市民生街20號,1.0,117,南苗所,
HMA00030,公寓,青苗里,苗栗縣苗栗市中正路587號,1.0,13,南苗所,
HMA00032,公寓,青苗里,苗栗縣苗栗市中正路585號,1.0,13,南苗所,
HMA00033,公寓,青苗里,苗栗縣苗栗市中山路634號,1.0,281,南苗所,
HMA00034,公寓,青苗里,苗栗縣苗栗市建台街29號,1.0,73,南苗所,
HMA001214,大樓,青苗里,苗栗縣苗栗市維新街21號,1.0,334,南苗所,
HMA00035,公寓,青苗里,苗栗縣苗栗市民生街16號,1.0,60,南苗所,
HMA00036,公寓,青苗里,苗栗縣苗栗市中正路623號,1.0,196,南苗所,
