類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考,"unnamed (1)"
農會,朴子市農會,2-01-001,安福里,嘉義縣朴子市安福里山通路102號,"23.46646, 120.24605",地下1樓,587.0,,
電信公司,中華電信朴子服務所(一),2-01-002,安福里,嘉義縣朴子市安福里山通路21號,"23.46659, 120.2469",地下1樓,556.0,不對外開放,
金融機構,朴子郵局,2-01-003,安福里,嘉義縣朴子市安福里光復路46號,"23.46614, 120.24623",地下1樓,359.0,不對外開放,
電力公司,台電朴子服務所,2-01-004,安福里,嘉義縣朴子市安福里光復路42號,"23.46576, 120.24645",地下1樓,294.0,不對外開放,
大樓,帝王花園,2-01-005,安福里,嘉義縣朴子市安福里文明路8-9號,"23.46768, 120.24867",地下1樓,756.0,,
教會,基督教長老教會(一),2-01-006,平和里,嘉義縣朴子市平和里光復路13-1號,"23.4658971, 120.2459381",地下1樓,530.0,,
教會,基督教長老教會(二),2-01-007,平和里,嘉義縣朴子市平和里光復路45號,"23.4657932, 120.2455825",地下1樓,96.0,,
客運站,嘉義客運朴子站,2-01-008,平和里,嘉義縣朴子市平和里山通路59號,"23.46528, 120.24442",地下1樓,173.0,,
公司行號,寶島眼鏡,2-01-009,平和里,嘉義縣朴子市平和里山通路35-1號,"23.46558, 120.245",地下1樓,258.0,,
金融機構,京城銀行,2-01-010,平和里,嘉義縣朴子市平和里山通路43號,"23.46539, 120.24464",地下1樓,152.0,不對外開放,
嘉南農田水利會,嘉南農田水利會,2-01-011,平和里,嘉義縣朴子市平和里市東路30號,"23.46502, 120.24586",地下1樓,270.0,,
大樓,海通帝國,2-01-012,平和里,嘉義縣朴子市平和里海通路1-31號,"23.46392, 120.24838",地下1樓,200.0,,
金融機構,第一銀行朴子分行,2-01-014,中正里,嘉義縣朴子市中正里中正路135號,"23.4661, 120.24449",地下1樓,167.0,不對外開放,
市場,朴子第一市場,2-01-015,中正里,嘉義縣朴子市中正里開元路1號,"23.46643, 120.2442",地下1樓,2965.0,,
旅社,萬龍旅社,2-01-016,文化里,嘉義縣朴子市文化里南通3段800號,"23.46425, 120.24300",地下1樓,55.0,,
寺廟,高明寺1,2-01-017,文化里,嘉義縣朴子市文化里山通路73號,"23.46474, 120.24393",地下1樓,430.0,,
醫院,朴子醫院(一)醫療大樓,2-01-018,永和里,嘉義縣朴子市永和里應菜埔42-50號,"23.46515, 120.23479",地下1樓,1891.0,,
工廠行號,向陽能源(中國唯一製衣廠),2-01-019,永和里,嘉義縣朴子市永和里應菜埔207號,"23.46445, 120.22649",地下1樓,286.0,,
