電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QNA00083,城南里,屏東縣恆春鎮城南里文化路78號,1,238.0,恆春分局,
QNA00001,城南里,屏東縣恆春鎮城南里文化路79號,1,104.0,恆春分局,共有2處、總計可容納人數312人
QNA00003,城南里,屏東縣恆春鎮城南里文化路79號,1,208.0,恆春分局,共有2處、總計可容納人數312人
QNA00004,城南里,屏東縣恆春鎮城南里天文路1號,1,752.0,恆春分局,
QNA00005,城南里,屏東縣恆春鎮城南里天文路3號,1,322.0,恆春分局,
QNB00001,城南里,屏東縣恆春鎮城南里天文路33號,1,40.0,恆春分局,
QNF00002,城南里,屏東縣恆春鎮城南里天文路50號,1,150.0,恆春分局,
QNA00007,城南里,屏東縣恆春鎮城南里中正路17號,1,266.0,恆春分局,
QNA00002,城南里,屏東縣恆春鎮城南里中正路119號,1,404.0,恆春分局,
QNA00006,城南里,屏東縣恆春鎮城南里中山路41號,1,26.0,恆春分局,
QNA00008,城南里,屏東縣恆春鎮城南里新興路68號,1,286.0,恆春分局,
QNA00009,城北里,屏東縣恆春鎮城北里中正路143號,1,49.0,恆春分局,
QNA00011,城北里,屏東縣恆春鎮城北里中正路152號,1,218.0,恆春分局,
QNA00010,城北里,屏東縣恆春鎮城北里西門路146號,1,600.0,恆春分局,
QNA00012,城北里,屏東縣恆春鎮城北里北門路39巷26號,1,550.0,恆春分局,
QNA00080,城北里,屏東縣恆春鎮城北里北門路39巷28號,1,2321.0,恆春分局,
QNA00013,城北里,屏東縣恆春鎮城北里新興路36巷35號,1,80.0,恆春分局,
QNA00084,城西里,屏東縣恆春鎮城西里草埔路11號,1,577.0,恆春分局,
QNA00043,山腳里,屏東縣恆春鎮山腳里恆南路1巷60號,1,80.0,恆春分局,
QNA00074,山腳里,屏東縣恆春鎮山腳里恆南路4巷3-1號,1,300.0,恆春分局,
QNA00062,山腳里,屏東縣恆春鎮山腳里恆南路11巷2弄2號,1,2417.0,恆春分局,
QNA00017,山腳里,屏東縣恆春鎮山腳里恆南路38號,1,437.0,恆春分局,共有3處、總計可容納人數1713人
QNA00019,山腳里,屏東縣恆春鎮山腳里恆南路38號,1,304.0,恆春分局,共有3處、總計可容納人數1713人
QNA00040,山腳里,屏東縣恆春鎮山腳里恆南路38號,1,972.0,恆春分局,共有3處、總計可容納人數1713人
QNA00014,山腳里,屏東縣恆春鎮山腳里恆南路117巷18號,1,1500.0,恆春分局,
QNA00015,山腳里,屏東縣恆春鎮山腳里恆南路123號,1,305.0,恆春分局,
QNA00073,山腳里,屏東縣恆春鎮山腳里恆南路125巷32號,1,420.0,恆春分局,
QNA00018,山腳里,屏東縣恆春鎮山腳里恆南路210號,1,14.0,恆春分局,
QNA00077,山腳里,屏東縣恆春鎮山腳里恆西路1巷32號,1,450.0,恆春分局,
QNA00016,山腳里,屏東縣恆春鎮山腳里恆西路21號,1,168.0,恆春分局,
QNA00052,山腳里,屏東縣恆春鎮山腳里恆公路16號,1,1733.0,恆春分局,
QNA00020,山腳里,屏東縣恆春鎮山腳里恆公路22號,1,214.0,恆春分局,
QNA00053,山腳里,屏東縣恆春鎮山腳里恆公路30號,1,522.0,恆春分局,
QNA00078,山腳里,屏東縣恆春鎮山腳里恆公路78號,1,520.0,恆春分局,
QNA00022,網紗里,屏東縣恆春鎮網紗里恆公路968號,1,2342.0,恆春分局,
QNA00026,網紗里,屏東縣恆春鎮網紗里恆公路998號,1.2,3804.0,恆春分局,
QNA00025,網紗里,屏東縣恆春鎮網紗里恆公路1180號,1,600.0,恆春分局,
QNA00023,網紗里,屏東縣恆春鎮網紗里省北路40巷69號,1,248.0,恆春分局,
QNA00021,網紗里,屏東縣恆春鎮網紗里省北路64號,1,200.0,恆春分局,
QNA00024,網紗里,屏東縣恆春鎮網紗里省北路102巷6號,1,605.0,恆春分局,
QNA00081,頭溝里,屏東縣恆春鎮頭溝里頭溝路161號,1,249.0,恆春分局,
QNA00034,龍水里,屏東縣恆春鎮龍水里草潭路171號,1,200.0,恆春分局,
QNA00049,大光里,屏東縣恆春鎮大光里大光路8-6號,1,200.0,恆春分局,
QNA00035,大光里,屏東縣恆春鎮大光里大光路79-64號,1,1120.0,恆春分局,
QNA00056,山海里,"屏東縣恆春鎮山海里山海路86號 ",1,426.0,恆春分局,
QNA00063,山海里,屏東縣恆春鎮山海里萬里路27-8號,1.2,4333.0,恆春分局,共有5處、總計可容納人數21647人
QNA00064,山海里,屏東縣恆春鎮山海里萬里路27-8號,1.2,4228.0,恆春分局,共有5處、總計可容納人數21647人
QNA00065,山海里,屏東縣恆春鎮山海里萬里路27-8號,1.2,4453.0,恆春分局,共有5處、總計可容納人數21647人
QNA00066,山海里,屏東縣恆春鎮山海里萬里路27-8號,1.2,4068.0,恆春分局,共有5處、總計可容納人數21647人
QNA00067,山海里,屏東縣恆春鎮山海里萬里路27-8號,1.2,4565.0,恆春分局,共有5處、總計可容納人數21647人
QNA00054,墾丁里,屏東縣恆春鎮墾丁里墾丁路2號,1.2.3.4,44149.0,恆春分局,
QNA00029,墾丁里,屏東縣恆春鎮墾丁里墾丁路6號,1,838.0,恆春分局,
QNA00030,墾丁里,屏東縣恆春鎮墾丁里墾丁路65號,1,516.0,恆春分局,
QNA00031,墾丁里,屏東縣恆春鎮墾丁里墾丁路271號,1,410.0,恆春分局,
QNA00068,墾丁里,屏東縣恆春鎮墾丁里墾丁路451號,1,5294.0,恆春分局,共有2處、總計可容納人數7524人
QNA00069,墾丁里,屏東縣恆春鎮墾丁里墾丁路451號,1,2230.0,恆春分局,共有2處、總計可容納人數7524人
QNA00032,墾丁里,屏東縣恆春鎮墾丁里墾丁路文化巷2-1號,1,600.0,恆春分局,
QNA00057,墾丁里,屏東縣恆春鎮墾丁里墾丁路文化巷4號,1,990.0,恆春分局,
QNA00082,墾丁里,屏東縣恆春鎮墾丁里公園路101號,1,1105.0,恆春分局,
QNA00026,南灣里,屏東縣恆春鎮南灣里南灣路387號,1,50.0,恆春分局,共有2處、總計可容納人數1032人
QNA00027,南灣里,屏東縣恆春鎮南灣里南灣路387號,1,982.0,恆春分局,共有2處、總計可容納人數1032人
QNA00075,鵝鑾里,屏東縣恆春鎮鵝鑾里船帆路1000號,1,3444.0,恆春分局,
QNA00058,鵝鑾里,屏東縣恆春鎮鵝鑾里鵝鑾路230號,1,430.0,恆春分局,共有2處、總計可容納人數5791人
QNA00055,鵝鑾里,屏東縣恆春鎮鵝鑾里鵝鑾路230號,1,5361.0,恆春分局,共有2處、總計可容納人數5791人
QNA00036,福興村,屏東縣車城鄉福興村仁愛路26號,1,80.0,恆春分局,
QNA00039,福興村,屏東縣車城鄉福興村仁愛路36號,1,500.0,恆春分局,
QNA00077,福興村,屏東縣車城鄉福興村中山路15號,1,328.0,恆春分局,
QNA00060,福興村,屏東縣車城鄉福興村新興路42號,1,272.0,恆春分局,
QNA00037,福安村,屏東縣車城鄉福安村福興路75號,1,69.0,恆春分局,
QNA00050,福安村,屏東縣車城鄉福安村忠孝路199號,1,6509.0,恆春分局,
QNA00051,福安村,屏東縣車城鄉福安村福安路51號,1,449.0,恆春分局,
QNA00038,田中村,屏東縣車城鄉田中村中山路185號,1,177.0,恆春分局,
QNA00033,海口村,屏東縣車城鄉海口村海口路6-5號,1,3093.0,恆春分局,
QNA00041,溫泉村,屏東縣車城鄉溫泉村溫泉路253號,1,641.0,恆春分局,
QNA00076,保力村,屏東縣車城鄉保力村保力路6-20號,1,2040.0,恆春分局,
QNA00070,後灣村,屏東縣車城鄉後灣村後灣路2號,1,16064.0,恆春分局,共有3處、總計可容納人數28814人
QNA00071,後灣村,屏東縣車城鄉後灣村後灣路2號,1,10684.0,恆春分局,共有3處、總計可容納人數28814人
QNA00072,後灣村,屏東縣車城鄉後灣村後灣路2號,1,2066.0,恆春分局,共有3處、總計可容納人數28814人
QNA00042,滿州村,屏東縣滿州鄉滿州村中山路31號,1,213.0,恆春分局,
QMA00059,滿州村,屏東縣滿州鄉滿州村中山路152號,1,157.0,恆春分局,
QNA00045,滿州村,屏東縣滿州鄉滿州村中山路205號,1,4928.0,恆春分局,
QNA00061,石門村,屏東縣牡丹鄉石門村石門路35-2號,1,149.0,恆春分局,
