類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註,placemark_address
德龍國小,A001,八德里,"24.88205738522575, 121.19506088166352",1,"688 ",龍潭分局,,,"德龍國小 A001 桃園市龍潭區八德里聖亭路八德段451巷140號"
工廠,A003,八德里,"24.887595154030713, 121.19297387001876",1,"157 ",龍潭分局,,,"工廠 A003 桃園市龍潭區八德里湧光路一段169巷75號"
工廠,A004,八德里,"24.887585421526207, 121.1929953276898",1,"54 ",龍潭分局,,,"工廠 A004 桃園市龍潭區八德里湧光路一段169巷27號"
工廠,A005,聖德里,"24.878652916886224, 121.19981365652524",2,"1382 ",龍潭分局,O,,"工廠 A005 桃園市龍潭區聖亭路八德段236號"
工廠,A006,聖德里,"24.878652916886224, 121.19981365652524",1,"149 ",龍潭分局,,,"工廠 A006 桃園市龍潭區聖亭路八德段236-2號"
工廠,A007,聖德里,"24.887400503795053, 121.19304897186738",1,"61 ",龍潭分局,,,"工廠 A007 桃園市龍潭區湧光路一段169巷89號"
一般大樓,A009,烏樹林里,"24.875040582183445, 121.2137127951567",1,"650 ",龍潭分局,,,"一般大樓 A009 桃園市龍潭區烏樹林里中豐路168號"
潛龍國小,A011,烏林里,"24.8810719139882, 121.21149341736513",1,"783 ",龍潭分局,,,"潛龍國小 A011 桃園市龍潭區烏林里中豐路401號"
一般大樓,A012,烏林里,"24.88843904623841, 121.21009396817021",2,"3782 ",龍潭分局,O,,"一般大樓 A012 桃園市龍潭區烏林里工五路69號"
一般大樓,A013,烏林里,"24.887161984041253, 121.20599899700575",1,"212 ",龍潭分局,,,"一般大樓 A013 桃園市龍潭區烏林里工二路280號"
一般大樓,A015,烏林里,"24.885561147373657, 121.21141229700572",1,"154 ",龍潭分局,O,,"一般大樓 A015 桃園市龍潭區烏林里工二路17號"
一般大樓,A016,烏林里,"24.89023305486114, 121.20965843933483",2,"1548 ",龍潭分局,,,"一般大樓 A016 桃園市龍潭區烏林里工五路90巷56號"
一般大樓,A017,烏林里,"24.885980747208205, 121.21034822584117",1,"175 ",龍潭分局,,,"一般大樓 A017 桃園市龍潭區烏林里工二路65號"
一般大樓,A018,烏林里,"24.886059640430656, 121.20883117001884",2,"12543 ",龍潭分局,O,,"一般大樓 A018 桃園市龍潭區烏林里工二路128號"
一般大樓,A019,烏林里,"24.885786488175892, 121.2118100681702",1,"694 ",龍潭分局,,,"一般大樓 A019 桃園市龍潭區烏林里工二路32號"
工廠,A020,烏林里,"24.888112086654104, 121.20704576817026",1,"134 ",龍潭分局,,,"工廠 A020 桃園市龍潭區烏林里工五路191巷1號"
工廠,A021,烏林里,"24.884208649586288, 121.21086731234774",1,"3067 ",龍潭分局,O,,"工廠 A021 桃園市龍潭區烏林里中豐路533巷51弄5號"
工廠,A022,烏林里,"24.88835178671076, 121.21065796262432",1,"2876 ",龍潭分局,O,,"工廠 A022 桃園市龍潭區烏林里工五路57號"
工廠,A023,烏林里,"24.88766239772996, 121.21397785754033",1,"1118 ",龍潭分局,O,,"工廠 A023 桃園市龍潭區烏林里中豐路642巷51弄1號"
工廠,A024,烏林里,"24.885409781598025, 121.21318832728456",2,"794 ",龍潭分局,O,,"工廠 A024 桃園市龍潭區烏林里中豐路594巷62弄66號"
