類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數
大樓,WMA02481,恆安里,臺北市中山區農安街4-1號,1,328.0
公寓,WMA02935,恆安里,臺北市中山區雙城街10巷10、12號,1,341.0
公寓,WMA02939,恆安里,臺北市中山區雙城街10巷14、16號,1,197.0
公寓,WMA02950,恆安里,臺北市中山區雙城街10巷18、20號,1,213.0
公寓,WMA02951,恆安里,臺北市中山區雙城街10巷21、23號,1,306.0
公寓,WMA02952,恆安里,臺北市中山區雙城街10巷25、27號,1,165.0
公寓,WMA02953,恆安里,臺北市中山區雙城街12巷3-1、3-2號,1,256.0
公寓,WMA02954,恆安里,臺北市中山區雙城街12巷6號,1,64.0
大樓,WMA03046,恆安里,臺北市中山區雙城街10巷13號,1,737.0
大樓,WMA03125,恆安里,臺北市中山區農安街2、2-1號,1、2,641.0
大樓,WMA03148,恆安里,臺北市中山區農安街12-1-12-4號,2,550.0
大樓,WMA03498,恆安里,臺北市中山區農安街10號之1,1,265.0
大樓,WMA03572,恆安里,臺北市中山區農安街6號,1,1702.0
大樓,WMA00185,恆安里,臺北市中山區中山北路二段181號,1、2,317.0
大樓,WMA00187,恆安里,臺北市中山區中山北路二段185號,2,817.0
公寓,WMA00266,恆安里,臺北市中山區中山北路二段183巷22、22-1號,1,62.0
公寓,WMA00267,恆安里,臺北市中山區中山北路二段183巷22-3號,1,382.0
公寓,WMA00268,恆安里,臺北市中山區中山北路二段183巷2-4號,1,125.0
公寓,WMA00269,恆安里,臺北市中山區中山北路二段183巷3-1、3-3號,1,336.0
公寓,WMA00270,恆安里,臺北市中山區中山北路二段183巷4-3號,1,154.0
公寓,WMA00398,恆安里,臺北市中山區中山北路三段9號,1,49.0
公寓,WMA00963,恆安里,臺北市中山區農安街2巷18號,2,298.0
公寓,WMA02507,恆安里,臺北市中山區農安街2巷20號,1,608.0
大樓,WMA02984,恆安里,臺北市中山區雙城街4巷2號,3,868.0
大樓,WMA03545,恆安里,臺北市中山區民權東路一段21號,1,1269.0
大樓,WMA03751,恆安里,臺北市中山區民權東路一段15號,1,1706.0
大樓,WMA03756,恆安里,臺北市中山區中山北路二段173號,1,1598.0
大樓,WMA00866,恆安里,臺北市中山區民權東路一段53號,1,246.0
大樓,WMA00867,恆安里,臺北市中山區民權東路一段63號,1,396.0
大樓,WMA02469,恆安里,臺北市中山區農安街24之1-6號,1,405.0
大樓,WMA02932,恆安里,臺北市中山區雙城街5號,1,362.0
大樓,WMA02955,恆安里,臺北市中山區雙城街13巷11-1號,1,496.0
大樓,WMA02976,恆安里,臺北市中山區雙城街3巷11號,1,342.0
大樓,WMA02977,恆安里,臺北市中山區雙城街3巷13號,1,268.0
大樓,WMA02978,恆安里,臺北市中山區雙城街3巷2、4號,2,880.0
大樓,WMA02979,恆安里,臺北市中山區雙城街3巷7、9號,1,98.0
大樓,WMA02999,恆安里,臺北市中山區雙城街7巷6、6-1、8號,1,98.0
大樓,WMA03113,恆安里,臺北市中山區雙城街7巷12號,1,410.0
大樓,WMA03128,恆安里,臺北市中山區民權東路一段45號,1,496.0
大樓,WMA03362,恆安里,臺北市中山區農安街20號,3,1385.0
大樓,WMA03389,恆安里,臺北市中山區林森北路536、538號,2、3,996.0
大樓,WMA03398,恆安里,臺北市中山區林森北路556號,3,1618.0
大樓,WMA03633,恆安里,臺北市中山區雙城街13巷1號,6,2205.0
公寓,WMA03707,恆安里,臺北市中山區雙城街13巷22號,1,385.0
大樓,WMA03755,恆安里,臺北市中山區雙城街1號,1,645.0
公寓,WMA02195,恆安里,臺北市中山區新生北路三段34號,2,286.0
大樓,WMA02364,恆安里,臺北市中山區新生北路三段10號,1,440.0
大樓,WMA02367,恆安里,臺北市中山區新生北路三段18-26號,1,972.0
公寓,WMA02368,恆安里,臺北市中山區新生北路三段38號,1,132.0
大樓,WMA02370,恆安里,臺北市中山區新生北路三段46號,1,445.0
公寓,WMA03173,恆安里,臺北市中山區新生北路三段42號,1,261.0
大樓,WMA01292,恆安里,臺北市中山區林森北路561號,1,862.0
大樓,WMA01293,恆安里,臺北市中山區林森北路567號,2,1618.0
公寓,WMA01352,恆安里,臺北市中山區林森北路557巷1號,1,81.0
大樓,WMA02372,恆安里,臺北市中山區新生北路三段48號,1,832.0
大樓,WMA02476,恆安里,臺北市中山區農安街28-1號,1,480.0
大樓,WMA02478,恆安里,臺北市中山區農安街32號,2,1017.0
大樓,WMA02479,恆安里,臺北市中山區農安街34號,2,1042.0
大樓,WMA02480,恆安里,臺北市中山區農安街36號,2,710.0
公寓,WMA02956,恆安里,臺北市中山區雙城街17巷13-3號,2,113.0
大樓,WMA03164,恆安里,臺北市中山區農安街40號,1,373.0
大樓,WMA03398,恆安里,臺北市中山區林森北路556號,3,1618.0
大樓,WMA03806,恆安里,臺北市中山區林森北路568號,1,582.0
公寓,WMA01108,朱馥里,臺北市中山區合江街4號,1,130.0
公寓,WMA01154,朱馥里,臺北市中山區合江街20巷14-18號,1,44.0
公寓,WMA01155,朱馥里,臺北市中山區合江街20巷35-39號,1,460.0
大樓,WMA01743,朱馥里,臺北市中山區長春路169-179號之1,2,1878.0
大樓,WMA01746,朱馥里,臺北市中山區長春路187號,2,978.0
大樓,WMA01754,朱馥里,臺北市中山區長春路217-223號,1,438.0
大樓,WMA02026,朱馥里,臺北市中山區建國北路二段65號,1,278.0
大樓,WMA02039,朱馥里,"臺北市中山區建國北路二段33巷1,3號",2,1613.0
大樓,WMA03213,朱馥里,臺北市中山區合江街20巷29號,1,624.0
大樓,WMA03606,朱馥里,臺北市中山區長春路189號,1,1358.0
公寓,WMA01109,朱馥里,臺北市中山區合江街43-45號,1,257.0
公寓,WMA01116,朱馥里,臺北市中山區合江街68號,1,318.0
公寓,WMA01175,朱馥里,臺北市中山區合江街58巷19號,1,54.0
公寓,WMA01177,朱馥里,臺北市中山區合江街58巷26號,1,156.0
公寓,WMA01178,朱馥里,臺北市中山區合江街58巷28號,1,86.0
公寓,WMA01179,朱馥里,臺北市中山區合江街58巷36號,1,32.0
公寓,WMA01185,朱馥里,臺北市中山區合江街70巷17-19號,1,104.0
公寓,WMA01187,朱馥里,臺北市中山區合江街70巷9號,1,88.0
公寓,WMA01932,朱馥里,臺北市中山區建國北路二段73號,1,158.0
公寓,WMA02601,朱馥里,臺北市中山區興安街20-22號,1,178.0
公寓,WMA02602,朱馥里,臺北市中山區興安街30號,1,142.0
公寓,WMA03303,朱馥里,臺北市中山區合江街58巷20號,1,137.0
大樓,WMA00719,朱馥里,臺北市中山區民生東路三段2-4號,2,3696.0
大樓,WMA03809,朱馥里,臺北市中山區民生東路三段2號,2,6190.0
公寓,WMA00728,朱馥里,臺北市中山區民生東路三段28-30號,1,265.0
公寓,WMA01110,朱馥里,臺北市中山區合江街53號,1,1448.0
公寓,WMA01111,朱馥里,臺北市中山區合江街53號,1,460.0
公寓,WMA01112,朱馥里,臺北市中山區合江街53號,1,686.0
公寓,WMA01113,朱馥里,臺北市中山區合江街53號,1,902.0
公寓,WMA01114,朱馥里,臺北市中山區合江街55-1號,1,560.0
公寓,WMA01115,朱馥里,臺北市中山區合江街57-59號,1,472.0
公寓,WMA01119,朱馥里,臺北市中山區合江街82-84號,1,94.0
公寓,WMA01174,朱馥里,臺北市中山區合江街55巷21-31號,1,353.0
公寓,WMA01180,朱馥里,臺北市中山區合江街61巷1-3號,1,572.0
公寓,WMA01181,朱馥里,臺北市中山區合江街61巷17號,1,76.0
公寓,WMA01182,朱馥里,臺北市中山區合江街61巷25號,1,165.0
公寓,WMA01183,朱馥里,臺北市中山區合江街61巷29號,1,132.0
公寓,WMA01199,朱馥里,臺北市中山區合江街94巷10號,1,129.0
公寓,WMA02727,朱馥里,臺北市中山區龍江路200-1~4號,1,44.0
大樓,WMA03390,朱馥里,臺北市中山區民生東路三段8-10號,1、2,2841.0
大樓,WMA03467,朱馥里,臺北市中山區民生東路三段32號,4,1116.0
大樓,WMA03567,朱馥里,臺北市中山區合江街55巷9號,2,762.0
公寓,WMA01143,朱馥里,臺北市中山區合江街17巷10號,1,288.0
公寓,WMA01144,朱馥里,臺北市中山區合江街17巷11號,1,62.0
公寓,WMA01145,朱馥里,臺北市中山區合江街17巷16-18號,1,176.0
公寓,WMA01156,朱馥里,臺北市中山區合江街31巷10號,1,64.0
公寓,WMA01157,朱馥里,臺北市中山區合江街31巷12號,1,44.0
公寓,WMA01158,朱馥里,臺北市中山區合江街31巷14號,1,66.0
公寓,WMA01159,朱馥里,臺北市中山區合江街31巷15號,1,58.0
公寓,WMA01160,朱馥里,臺北市中山區合江街31巷3號,1,153.0
公寓,WMA01161,朱馥里,臺北市中山區合江街31巷4號,1,120.0
公寓,WMA01162,朱馥里,臺北市中山區合江街31巷5號,1,48.0
公寓,WMA01163,朱馥里,臺北市中山區合江街31巷6號,1,65.0
公寓,WMA01164,朱馥里,臺北市中山區合江街31巷9號,1,61.0
公寓,WMA01170,朱馥里,臺北市中山區合江街41巷10-12號,1,224.0
公寓,WMA01171,朱馥里,臺北市中山區合江街41巷13號,1,45.0
公寓,WMA01172,朱馥里,臺北市中山區合江街41巷4號,1,216.0
公寓,WMA01173,朱馥里,臺北市中山區合江街41巷6號,1,57.0
大樓,WMA01759,朱馥里,臺北市中山區長春路241-243號,1,250.0
大樓,WMA02724,朱馥里,臺北市中山區龍江路168-172之1-2,3,930.0
公寓,WMA02726,朱馥里,臺北市中山區龍江路176號,1,192.0
大樓,WMA03270,朱馥里,臺北市中山區長春路235-241號,1,436.0
公寓,WMA03315,朱馥里,臺北市中山區合江街41巷14號,1,64.0
公寓,WMA03316,朱馥里,臺北市中山區合江街31巷7號,1,42.0
公寓,WMA03317,朱馥里,臺北市中山區合江街41巷15-17號,1,49.0
公寓,WMA03318,朱馥里,臺北市中山區合江街31巷11號,1,37.0
大樓,WMA03506,朱馥里,臺北市中山區長春路247號,1,544.0
公寓,WMA02605,朱馥里,臺北市中山區興安街66-1號,1,54.0
公寓,WMA03531,朱馥里,臺北市中山區合江街27號,1,182.0
大樓,WMA03817,朱馥里,臺北市中山區合江街37號,1、3,189.0
公寓,WMA01761,朱馥里,臺北市中山區長春路267-269號,1,304.0
大樓,WMA01762,朱馥里,臺北市中山區長春路279號,2,397.0
公寓,WMA01764,朱馥里,臺北市中山區長春路287-289號,1,172.0
大樓,WMA02608,朱馥里,臺北市中山區遼寧街154-158號,1,265.0
公寓,WMA02778,朱馥里,臺北市中山區龍江路179巷15-1號,1,33.0
