類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,平元里,苗栗縣通霄鎮平元里12鄰平新一路90號,"24.488680, 120.684352",1.0,200,通霄分局,通霄所,
大樓,平安里,苗栗縣通霄鎮平安里2鄰平新路123號,"24.491186, 120.685494",1.0,669,通霄分局,通霄所,
光田醫院,通西里,苗栗縣通霄鎮通西里5鄰中山路88號,"24.489162, 120.678368",1.0,345,通霄分局,通霄所,
通霄鎮公所,通東里,苗栗縣通霄鎮通東里12鄰中正路8號,"24.491426, 120.684302",1.0,69,通霄分局,通霄所,
公寓,通東里,苗栗縣通霄鎮通東里5鄰自強路35-37號,"24.488819, 120.682416",1.0,170,通霄分局,通霄所,
公寓,通東里,苗栗縣通霄鎮通東里1鄰自強路119號,"24.490491, 120.684076",1.0,176,通霄分局,通霄所,
通霄農會-通霄診所,通東里,苗栗縣通霄鎮通東里21鄰中正路20-1號,"24.490278,120.681863",1.0,136,通霄分局,通霄所,
通霄發電廠員工宿舍,平安里,苗栗縣通霄鎮平安里14鄰平元83之24號,"24.495589, 120.689102",1.0,400,通霄分局,通霄所,
公寓,通西里,苗栗縣通霄鎮通西里17鄰中山路98號,,1.0,358,通霄分局,通霄所,不存在
台電通霄發電廠,通西里,苗栗縣通霄鎮通西里34鄰海濱路1-31號,"24.490858, 120.674454",1.0,894,通霄分局,通霄所,
通霄國小禮堂,通東里,苗栗縣通霄鎮通東里23鄰中正路12號,"24.490867, 120.683306",1.0,720,通霄分局,通霄所,
大樓,平安里,苗栗縣通霄鎮平安里13鄰中正路249號,"24.494719, 120.689301",1.0,2228,通霄分局,通霄所,
公寓,五北里,苗栗縣通霄鎮五北里8鄰中山路68號,,1.0,182,通霄分局,通霄所,不存在
公寓,五北里,苗栗縣通霄鎮五北里68-4號,"24.472581, 120.670275",1.0,180,通霄分局,通霄所,
公寓,新埔里,苗栗縣通霄鎮新埔里7鄰50-1號,"120.699027, 24.543286",1.0,61,通霄分局,埔口所,
竹南窯業廠,二湖村,苗栗縣西湖鄉二湖村8鄰斧頭坑12-1號,"24.565749, 120.744457",1.0,354,通霄分局,西湖所,已修正
公寓,苑港里,苗栗縣苑裡鎮苑港里1鄰6-8號,"24.451696, 120.657426",1.0,49,通霄分局,苑裡所,
公寓,新復里,苗栗縣苑裡鎮新復里6鄰68-1號,"24.417625, 120.648275",1.0,44,通霄分局,苑裡所,
公寓,新復里,苗栗縣苑裡鎮新復里4鄰50號,"24.4193724,120.642781",1.0,364,通霄分局,苑裡所,
公寓,新復里,苗栗縣苑裡鎮新復里8鄰106號,"24.4255973,120.6447911",1.0,666,通霄分局,苑裡所,
金樂神休閒館,中正里,苗栗縣苑裡鎮中正里13鄰中正路99-5號,"24.4334922,120.6589336",1.0,1408,通霄分局,苑裡所,
苑裡鎮農會,苑南里,苗栗縣苑裡鎮苑南里10鄰為公路65號,"24.4427375,120.6526476",2.0,546,通霄分局,苑裡所,
公寓,房裡里,苗栗縣苑裡鎮房裡里1鄰南房1-2號,"24.4334184,120.648982",1.0,81,通霄分局,苑裡所,
苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,"24.4396571,120.6510723",1.0,685,通霄分局,苑裡所,
苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,"24.4396571,120.6510723",1.0,742,通霄分局,苑裡所,
苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,"24.4396571,120.6510723",1.0,206,通霄分局,苑裡所,
苑裡鎮公所,客庒里,苗栗縣苑裡鎮客庒里11鄰信義路1號,"24.4396571,120.6510723",1.0,10,通霄分局,苑裡所,
文武超市,苑南里,苗栗縣苑裡鎮苑南里2鄰建國路11號,"24.4427711,120.6561248",1.0,396,通霄分局,苑裡所,
李綜合中醫部,客庒里,苗栗縣苑裡鎮客庒里24鄰中華路137號,"24.4379316,120.6531348",1.0,1358,通霄分局,苑裡所,
公寓,客庒里,苗栗縣苑裡鎮客庒里12鄰中山路32-1號,"24.4396151,120.6504452",1.0,526,通霄分局,苑裡所,
公寓,苑東里,苗栗縣苑裡鎮苑東里15鄰興隆路20-50號,"24.44263,120.6600272",1.0,520,通霄分局,苑裡所,
渣打商銀-苑裡分行,苑南里,苗栗縣苑裡鎮苑南里5鄰為公路19號,"24.4420513,120.6548434",1.0,146,通霄分局,苑裡所,
公寓,苑東里,苗栗縣苑裡鎮苑東里15鄰興隆路20-50號,"24.442675, 120.660241",1.0,168,通霄分局,苑裡所,
大樓,客庒里,苗栗縣苑裡鎮客庒里6鄰58-10號,"24.4347749,120.6594873",1.0,742,通霄分局,苑裡所,
公寓,客庄里,苗栗縣苑裡鎮客庄里25鄰博愛路86號,"24.437392, 120.651845",1.0,558,通霄分局,苑裡所,
公寓,客庄里,苗栗縣苑裡鎮客庄里21鄰75-24號,"24.436313, 120.656635",1.0,276,通霄分局,苑裡所,
公寓,苑南里,苗栗縣苑裡鎮苑南里10鄰為公路65號,"24.4423829,120.6520441",1.0,546,通霄分局,苑裡所,
公寓,西勢里,苗栗縣苑裡鎮西勢里1鄰中山路115號,"24.4414157,120.6507036",1.0,22,通霄分局,苑裡所,
公寓,苑南里,苗栗縣苑裡鎮苑南里11鄰天下路31號,"24.442047,120.6516537",1.0,302,通霄分局,苑裡所,
李綜合醫院,苑南里,苗栗縣苑裡鎮苑南里10鄰和平路165號,"24.4416948,120.6527326",1.0,314,通霄分局,苑裡所,
大樓,西勢里,苗栗縣苑裡鎮西勢里10鄰忠義街1-1號,"24.4452774,120.6504629",1.0,856,通霄分局,苑裡所,
文苑國小,房裡里,苗栗縣苑裡鎮房裡里1鄰南房14號,"24.4342062,120.646323",1.0,169,通霄分局,苑裡所,
公寓,房裡里,苗栗縣苑裡鎮房裡里1鄰10號,"24.4325476,120.6468465",1.0,400,通霄分局,苑裡所,
公寓,房裡里,苗栗縣苑裡鎮房裡里6鄰南房69-1號,"24.4316705,120.6467189",1.0,208,通霄分局,苑裡所,
大樓,房裡里,苗栗縣苑裡鎮房裡里22鄰忠信街146-3號,"24.4361188,120.6457466",1.0,746,通霄分局,苑裡所,
公寓,中正里,苗栗縣苑裡鎮中正里3鄰86號,"24.4336015,120.6600888",1.0,812,通霄分局,苑裡所,
