編號,里別,地址,可容納人數,經度,緯度,避難樓層,轄管分局
1.0,東興里,臺中市大里區東興里8鄰大明路181號,1006.0,120.6820251,24.1150684,1.0,霧峰分局
2.0,國光里,臺中市大里區國光里5鄰永興路78號,26.0,120.6797264,24.1081024,1.0,霧峰分局
3.0,國光里,臺中市大里區國光里5鄰永興路74號,26.0,120.6797422,24.1080245,1.0,霧峰分局
4.0,國光里,臺中市大里區國光里5鄰永興路76號,13.0,120.6797344,24.108063,1.0,霧峰分局
5.0,國光里,臺中市大里區國光里5鄰永興路72號,26.0,120.6797506,24.1079835,1.0,霧峰分局
6.0,東興里,臺中市大里區東興里6鄰益民路2段347號,2954.0,120.6808203,24.1136413,1.0,霧峰分局
7.0,東興里,臺中市大里區東興里8鄰益民路2段275號,23.0,120.681118,24.1111608,1.0,霧峰分局
8.0,東興里,臺中市大里區東興里4鄰大明路272巷2號,77.0,120.6802974,24.1153775,1.0,霧峰分局
9.0,東興里,臺中市大里區東興里9鄰東明路269巷35號,1131.0,120.6799728,24.1120793,1.0,霧峰分局
10.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄10號,11.0,120.6862916,24.1087366,1.0,霧峰分局
11.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄10號之3,19.0,120.6862916,24.1087366,1.0,霧峰分局
12.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13號之2,12.0,120.6863173,24.1088503,1.0,霧峰分局
13.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷11號之1,12.0,120.6865258,24.1088531,1.0,霧峰分局
14.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷11號,12.0,120.6865258,24.1088531,1.0,霧峰分局
15.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷9號,31.0,120.6865757,24.1088443,1.0,霧峰分局
16.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷7號,32.0,120.6866239,24.1088303,1.0,霧峰分局
17.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄13號,20.0,120.6860786,24.1087299,1.0,霧峰分局
18.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄11號,20.0,120.6861011,24.1087876,1.0,霧峰分局
19.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄9號,20.0,120.6861301,24.1088532,1.0,霧峰分局
20.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄7號,20.0,120.6861873,24.1088567,1.0,霧峰分局
21.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄5號,20.0,120.686129,24.1089476,1.0,霧峰分局
22.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄3號,18.0,120.6861514,24.1089846,1.0,霧峰分局
23.0,長榮里,臺中市大里區長榮里15鄰中興路2段249巷13弄1號,18.0,120.6861272,24.1089979,1.0,霧峰分局
24.0,長榮里,臺中市大里區長榮里15鄰中興路2段249巷13弄12號,18.0,120.6864219,24.108714,1.0,霧峰分局
25.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷47號,18.0,120.6858786,24.1087836,1.0,霧峰分局
26.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷39號,18.0,120.6859121,24.1089422,1.0,霧峰分局
27.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷37號,18.0,120.683625,24.1089707,1.0,霧峰分局
28.0,長榮里,臺中市大里區長榮里7鄰東榮路35巷35號,18.0,120.6859956,24.1089846,1.0,霧峰分局
29.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷19號,18.0,120.6863173,24.1088502,1.0,霧峰分局
30.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷17號,18.0,120.6863173,24.1088503,1.0,霧峰分局
31.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷15號,18.0,120.6863173,24.1088503,1.0,霧峰分局
32.0,長榮里,臺中市大里區長榮里16鄰中興路2段249巷13弄21號,18.0,120.6860952,24.1085932,1.0,霧峰分局
33.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷51號,18.0,120.6858333,24.1087378,1.0,霧峰分局
34.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷49號,18.0,120.6858696,24.1087395,1.0,霧峰分局
35.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷47號,18.0,120.6858786,24.1087836,1.0,霧峰分局
36.0,長榮里,臺中市大里區長榮里13鄰東榮路35巷53號,18.0,120.6858969,24.108706,1.0,霧峰分局
37.0,長榮里,臺中市大里區長榮里14鄰西榮路214號,20.0,120.6832098,24.1090815,1.0,霧峰分局
38.0,長榮里,臺中市大里區長榮里14鄰西榮路216號,13.0,120.6831927,24.109071,1.0,霧峰分局
39.0,新里里,臺中市大里區新里里7鄰國光路2段259號,118.0,120.6831927,24.1090807,2.0,霧峰分局
40.0,長榮里,臺中市大里區長榮里14鄰西榮路210號,12.0,120.6832652,24.109205,1.0,霧峰分局
