建築物名稱,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局,編號,placemark_address
台塑石化公司汽三區控制室(3路8道),中興村,麥寮鄉工業園區路17號,"23.7912,  120.25252",1.0,257.0,臺西分局,635.0,麥寮鄉工業園區路17號
冷卻水塔,中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,899.0,臺西分局,636.0,麥寮鄉中興村工業園區路1號
抽水站,中興村,麥寮鄉中興村工業園區號七號,"23.797,  120.26525",1.0,1297.0,臺西分局,637.0,麥寮鄉中興村工業園區號七號
保養倉庫,中興村,麥寮鄉中興村工業園區路7號,"23.797,  120.26525",1.0,88.0,臺西分局,638.0,麥寮鄉中興村工業園區路7號
輸儲煤開關室,中興村,麥寮鄉中興村工業園區路7號,"23.797,  120.26525",1.0,1267.0,臺西分局,639.0,麥寮鄉中興村工業園區路7號
ＥＰ控制室,中興村,麥寮鄉中興村工業園區路7號,"23.797,  120.26525",1.0,178.0,臺西分局,640.0,麥寮鄉中興村工業園區路7號
台灣塑膠公司ＡＮ控制室(3路5道),中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,431.0,臺西分局,641.0,麥寮鄉中興村工業園區路1號
台灣塑膠公司製粒機廠房(3路2道),中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,169.0,臺西分局,642.0,麥寮鄉中興村工業園區路1號
南亞塑膠ＴＤ二公用廠房(2路1道),中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,120.0,臺西分局,643.0,麥寮鄉中興村工業園區路2號
南亞塑膠丁二醇公用廠房(2路3道),中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,223.0,臺西分局,644.0,麥寮鄉中興村工業園區路2號
南亞塑膠公司大豆公用廠房(2．6路1道),中興村,麥寮鄉中興村工業園區路2號,"23.78984, 120.26827",1.0,158.0,臺西分局,645.0,麥寮鄉中興村工業園區路2號
麥寮汽電公司發電廠控制室(北5路8．3道),中興村,麥寮鄉中興村工業園區路7號,"23.797, 120.26525",1.0,247.0,臺西分局,646.0,麥寮鄉中興村工業園區路7號
麥寮汽電909Ｃ控制室(北5路8．3道),中興村,麥寮鄉中興村工業園區路7號,"23.797, 120.26525",1.0,179.0,臺西分局,647.0,麥寮鄉中興村工業園區路7號
麥寮汽電909Ｂ控制室(北5路8．3道),中興村,麥寮鄉中興村工業園區路7號,"23.797, 120.26525",1.0,248.0,臺西分局,648.0,麥寮鄉中興村工業園區路7號
麥寮汽電909Ｄ控制室(北5路8．3道),中興村,麥寮鄉中興村工業園區路7號,"23.797, 120.26525",1.0,247.0,臺西分局,649.0,麥寮鄉中興村工業園區路7號
ＭＴ-1控制室,中興村,麥寮鄉中興村工業園區路1號,"23.79846, 120.21764",1.0,399.0,臺西分局,650.0,麥寮鄉中興村工業園區路1號
重工工程大樓,中興村,麥寮鄉許厝村31之205號,"23.79928, 120.24457",1.0,2743.0,臺西分局,651.0,麥寮鄉許厝村31之205號
煉油廠變電所,中興村,麥寮鄉工業園區路15號,"23.78826, 120.26005",1.0,473.0,臺西分局,652.0,麥寮鄉工業園區路15號
台塑石化公司汽二區特高站(汔電3路),中興村,麥寮鄉工業園區路15號,"23.78826, 120.26005",1.0,1706.0,臺西分局,653.0,麥寮鄉工業園區路15號
台塑石化公司ＥＳＰ控制室(發電3路),中興村,麥寮鄉工業園區路15號,"23.78826, 120.26005",1.0,257.0,臺西分局,654.0,麥寮鄉工業園區路15號
台塑石化公司煉油廠操作室(3．2路3道),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,68.0,臺西分局,655.0,麥寮鄉工業園區路15號
台塑石化Ｋ8200操作管理室(南5路6．2道),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,55.0,臺西分局,656.0,麥寮鄉工業園區路15號
台塑石化Ｋ8900操作管理室(南5路7道),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,107.0,臺西分局,657.0,麥寮鄉工業園區路15號
"台塑石化公司 410煉油大樓(南5路8道)",中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,775.0,臺西分局,658.0,麥寮鄉工業園區路15號
台塑石化東一碼頭發貨庫(環港路),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,28.0,臺西分局,659.0,麥寮鄉工業園區路15號
台塑石化東一貨淺查驗站(環港路),中興村,麥寮鄉工業園區路15號,"23.74997, 120.25386",1.0,62.0,臺西分局,660.0,麥寮鄉工業園區路15號
