電腦編號,類別,村里,地址,地下層數,容量,轄管所別,備註
H9A00001,大樓,竹南里,苗栗縣竹南鎮和平街79號,1.0,3142.0,竹南,
H9A00002,照南國中,佳興里,苗栗縣竹南鎮公教路2號,1.0,564.0,竹南,
H9A00003,竹南高中,正南里,苗栗縣竹南鎮中正路98號,1.0,16.0,竹南,
H9A00004,大樓,山佳里,苗栗縣竹南鎮龍山路三段142號,1.0,1072.0,竹南,
H9A00005,公寓,埔頂里,苗栗縣後龍鎮中華路1498之2號,1.0,34.0,新港,
H9A00006,公寓,大埔里,苗栗縣竹南鎮中埔街20號,1.0,100.0,大同,
H9A00007,鼎元光電公司,崎頂里,苗栗縣竹南鎮仁愛路1387號,1.0,1289.0,大同,
H9A00008,儒鴻企業,溪洲里,苗栗縣後龍鎮三好路39號,1.0,562.0,後龍,
H9A00009,超豐電子,崎頂里,苗栗縣竹南鎮和興路358號,1.0,7657.0,大同,
HNA00689,廣瀚開發,新南里,苗栗縣竹南鎮勝利街36號,1.0,2376.0,竹南,
H9A00011,民景企業,山佳里,苗栗縣竹南鎮公義路230巷6號,1.0,5406.0,竹南,
H9A00013,仁德醫校,溪洲里,"24.6218104855099, 120.7812593969667",1.0,740.0,後龍,"24.6218104855099, 120.7812593969667"
H9A00014,仁德醫校,溪洲里,"24.6218104855099, 120.7812593969667",1.0,894.0,後龍,"24.6218104855099, 120.7812593969667"
H9A00015,年興紡織公司,東明里,苗栗縣後龍鎮東明里8鄰下浮尾119之3號,1.0,665.0,後龍,
HNA00016,育達科技大學,談文村,苗栗縣造橋鄉學府路168號,1.0,7290.0,談文,
H9A00017,彰化銀行,中華里,苗栗縣竹南鎮環市路2段110號,1.0,654.0,中港,
H9A00019,友旺科技公司陳來毅,公義里,苗栗縣竹南鎮友義路77號,1.0,898.0,大同,
H9A00020,公寓,佳興里,苗栗縣竹南鎮公義路178巷12號,1.0,93.0,竹南,
HNA00083,竹興國小,竹興里,苗栗縣竹南鎮竹圍街27號,1.0,187.0,中港海口,
HNA00003,公寓,公館里,苗栗縣竹南鎮公館仔74號,1.0,61.0,談文,
HNA00007,公寓,公館里,苗栗縣竹南鎮公館仔68號,1.0,100.0,談文,
HNA00013,公寓,朝陽村,苗栗縣造橋鄉朝陽路107號,1.0,540.0,談文,
