類別,建築物名稱,電腦編號,村里別,地址,"地下樓 層數","可容納 人數",派出所,備註,經度,緯度
公寓,新時代鋼架公司,DK01000007,東林里,新北市林口區東林里工二區工五路6號,1.0,103.0,林口派出所,,121.402125,25.077361
公寓,展泰貿易公司,DK01000008,東林里,新北市林口區東林里工六路7號,1.0,54.0,林口派出所,,121.39905,25.078418
公寓,元智雷射科技,DK01000009,東林里,新北市林口區東林里工二區工四路2號,1.0,51.0,林口派出所,,121.400631,25.077347
公寓,吉祥工業公司,DK01000012,東林里,新北市林口區東林里工二區工七路11號,1.0,373.0,林口派出所,,121.399224,25.079383
公寓,瑞百士公司,DK01000015,東林里,新北市林口區東林里工九路24號,1.0,74.0,林口派出所,,121.40414,25.075503
公寓,星菱縫機股份有限公司,DK01000017,東林里,新北市林口區東林里工二路10號,1.0,200.0,林口派出所,,121.400219,25.080834
公寓,麥克隆國際實業,DK01000018,東林里,新北市林口區東林里工九路10號,1.0,43.0,林口派出所,,121.40215,25.075526
公寓,今美化工企業,DK01000019,東林里,新北市林口區東林里工二區工六路13號,1.0,31.0,林口派出所,,121.399733,25.077929
公寓,榮達社股份有限公司,DK01000020,東林里,新北市林口區東林里工二區工五路4號,1.0,30.0,林口派出所,,121.401777,25.076923
公寓,國竤工業,DK01000022,東林里,新北市林口區東林里工二區工九路22號,1.0,27.0,林口派出所,,121.403835,25.075562
公寓,瑞龍橡膠工業,DK01000023,東林里,新北市林口區東林里工九路2號,1.0,58.0,林口派出所,,121.401198,25.075666
公寓,熙特爾公司,DK01000026,東林里,新北市林口區東林里工二區工三路12號,1.0,52.0,林口派出所,,121.402097,25.080635
公寓,大穩實業,DK01000028,東林里,新北市林口區東林里工二區工三路16號,1.0,288.0,林口派出所,,121.402121,25.082101
公寓,銣艎實業,DK01000029,東林里,新北市林口區東林里工二區工四路7號,1.0,51.0,林口派出所,,121.401085,25.078277
公寓,通德興業公司,DK01000030,東林里,新北市林口區東林里工二區工六路17號,1.0,126.0,林口派出所,,121.400206,25.077555
公寓,勝萬企業,DK01000031,東林里,新北市林口區東林里工二區工八路7號,1.0,91.0,林口派出所,,121.400539,25.079464
公寓,開華電路公司,DK01000033,東林里,新北市林口區東林里工二區工九路8號,1.0,51.0,林口派出所,,121.401805,25.0755
公寓,恆業事務用品公司,DK01000034,東林里,新北市林口區東林里工二區工四路3號,1.0,148.0,林口派出所,,121.400632,25.077816
公寓,雅科企業,DK01000036,東林里,新北市林口區東林里工二區工九路6號,1.0,141.0,林口派出所,,121.4016724,25.0757679
公寓,梅林食品廠,DK01000037,東林里,新北市林口區東林里工二區工八路13號,1.0,38.0,林口派出所,,121.399514,25.080274
公寓,承昌銅業,DK01000038,東林里,新北市林口區東林里粉寮路一段106號,1.0,81.0,林口派出所,,121.400398,25.082154
公寓,新年代實業公司,DK01000039,東林里,新北市林口區東林里工二區工七路2號,1.0,65.0,林口派出所,,121.400719,25.078413
公寓,恆業事務用品公司,DK01000040,東林里,新北市林口區東林里工六路15號,1.0,50.0,林口派出所,,121.399916,25.07777
公寓,金吉昌五金機械,DK01000041,東林里,新北市林口區東林里工二區工二路7號,1.0,52.0,林口派出所,,121.400608,25.081229
公寓,榮昱印製廠,DK01000042,東林里,新北市林口區東林里工二區工五路10號,1.0,280.0,林口派出所,,121.402662,25.077839
公寓,嘉士鴻科技,DK01000043,東林里,新北市林口區東林里工二區工四路37號,1.0,44.0,林口派出所,,121.402434,25.082527
公寓,大正鋁業,DK01000044,東林里,新北市林口區東林里工二區工九路16號,1.0,83.0,林口派出所,,121.402962,25.075526
公寓,本都電機,DK01000045,東林里,新北市林口區東林里工二路3號,1.0,50.0,林口派出所,,121.400219,25.080834
公寓,利拍精密工業,DK01000048,東林里,新北市林口區東林里工二區工九路19號,1.0,66.0,林口派出所,,121.404044,25.07576
公寓,巨人洗衣,DK01000050,東林里,新北市林口區東林里工二區工九路9號,1.0,121.0,林口派出所,,121.4024565,25.0760522
公寓,國立臺灣師範大學僑生先修部,DK01000051,林口里,新北市林口區林口里仁愛路一段2號,1.0,3792.0,林口派出所,,121.397844,25.067902
