電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註
SOA00001,台電花東營運處,嘉新村,花蓮縣新城鄉嘉南一街1號,1.0,310人,
SOA00002,仁愛之家,嘉新村,花蓮縣新城鄉嘉新13號,1.0,869人,
SOA00003,仁愛之家,嘉新村,花蓮縣新城鄉嘉新13號,1.0,144人,
SOA00004,海星中學,嘉新村,花蓮縣新城鄉嘉新36號,1.0,133人,
SOA00005,天主教會教室,嘉里村,花蓮縣新城鄉嘉里71號,1.0,173人,
SOA00006,保安宮,嘉里村,花蓮縣新城鄉嘉里二路121巷1號,1.0,420人,
SOA00008,中國石油花蓮儲營所,佳林村,花蓮縣新城鄉佳林103號,1.0,160人,
SOA00049,家福股份有限公司,嘉里村,花蓮縣新城鄉嘉里路15號,1.0,5172人,
SOA00058,交通部民用航空局,嘉里村,花蓮縣新城鄉機場巷1號,1.0,26266人,
"SOA00009  ",私人民宅,北埔村,花蓮縣新城鄉民族路60號,1.0,61人,
"SOA00010  ",私人民宅,北埔村,花蓮縣新城鄉民族路62號,1.0,68人,
"SOA00011  ","交通部花蓮電信局  ",北埔村,花蓮縣新城鄉11號,1.0,693人,
"SOA00012  ",福聖宮,北埔村,花蓮縣新城鄉北埔路183號,1.0,246人,
"SOA00013   ",新城國中,北埔村,花蓮縣新城鄉北埔路143號,1.0,142人,
"SOA00014  ","新城國中  ",北埔村,花蓮縣新城鄉北埔路143號,1.0,68人,
"SOA00015  ",私人民宅,北埔村,花蓮縣新城鄉民族路68號,1.0,114人,
"SOA00016  ",台電北埔服務所,北埔村,花蓮縣新城鄉145號,1.0,176人,
"SOA00017    ",新城國中,北埔村,花蓮縣新城鄉北埔路143號,1.0,410人,
"SOA00019  ",私人民宅,北埔村,花蓮縣新城鄉北埔138號,1.0,152人,
"SOA00020  ",私人民宅,北埔村,花蓮縣新城鄉北埔140號,1.0,196人,
"SOA00022   ",東洋藝品館,北埔村,花蓮縣新城鄉北埔路146號,1.0,186人,
"SOA00023   ",大漢技術學院,北埔村,花蓮縣新城鄉樹人街1號,1.0,2900人,
"SOA00024     ",新秀農會,北埔村,花蓮縣新城鄉樹人街2號,1.0,253人,
"SOA00025 ","新城鄉公所  ",北埔村,花蓮縣新城鄉光復路570號,1.0,268人,
"SOA00046    ",大漢技術學院,北埔村,花蓮縣新城鄉樹人街1號,1.0,2900人,
"SOA00052  ","大漢技術學院  ",大漢村,花蓮縣新城鄉民權街68號,1.0,3902人,
"SOA00048   ","大漢技術學院 ",北埔村,花蓮縣新城鄉樹人街1號,1.0,69人,
SOA00027,上昌實業公司,康樂村,花蓮縣新城鄉大漢街100號,1.0,34人,
SOA00034,國行企業公司,康樂村,花蓮縣新城鄉大漢街259號,1.0,70人,
SOA00059,慈濟靜思精舍,康樂村,花蓮縣新城鄉精舍街1.3.5號,1.0,985人,
SOA00045,廣典公司,康樂村,花蓮縣新城鄉大漢街257號,1.0,17人,
SOA00029,廣典公司,康樂村,花蓮縣新城鄉大漢街257號,1.0,89人,
SOA00026,光隆企業股份有限公司,康樂村,花蓮縣新城鄉加灣1-2號,1.0,112人,
SOA00050,光隆企業股份有限公司,康樂村,花蓮縣新城鄉加灣1-2號,1.0,320人,
SOA00035,台電北埔變電所,景美村,花蓮縣秀林鄉加灣6-1號,1.0,53人,
SOA00037,秀林國中,新城村,花蓮縣新城鄉中山路56號,1.0,402人,
SOA00038,新城分局,新城村,花蓮縣新城鄉中山路59號,1.0,45人,
SOA00039,天主教堂,新城村,花蓮縣新城鄉博愛路60-1號,1.0,289人,
SOA00040,亞洲水泥花蓮廠,新城村,花蓮縣新城鄉新興路125號,1.0,290人,
SOA00041,亞洲水泥花蓮廠,新城村,花蓮縣新城鄉新興路125號,1.0,380人,
SOA00051,財團法人天主教會~聲遠之家,新城村,花蓮縣新城鄉博愛路31號,1.0,700人,
SOA00056,財團法人天主教會~聲遠之家,新城村,花蓮縣新城鄉博愛路31號,1.0,794人,
SOA00042,太魯閣國家公園管理處,富世村,花蓮縣秀林鄉290號,1.0,490人,
SOA00060,台灣基督長老教會德魯固教會,富世村,秀林鄉臺灣基督長老教會太魯閣教會,1.0,80人,
SOA00053,台灣水泥股份有限公司,和平村,台灣水泥股份有限公司和平分公司,1.0,90人,花蓮縣秀林鄉和平263號
SOA00054,台灣水泥股份有限公司,和平村,台灣水泥股份有限公司和平分公司,1.0,170人,花蓮縣秀林鄉和平263號
SOA00055,經濟部工業局和平污水處理廠,和平村,花蓮縣秀林鄉和平2635號,1.0,153人,
SOA00057,和平電力有限公司,和平村,和平電力有限公司,1.0,176人," 
花蓮縣秀林鄉和平路279-20號"
SOA00043,天祥活動中心,富世村,花蓮縣秀林鄉天祥路30號,1.0,490人,
SOA00047,天祥活動中心,富世村,花蓮縣秀林鄉天祥路30號,1.0,376人,
SOA00044,天祥郵局,富世村,花蓮縣秀林鄉天祥路21號,1.0,162人,
SOA00017,工程四大隊洛韶工務段,富世村,花蓮縣秀林鄉洛韶22號,1.0,66人,
SOA00061,祥德寺,富世村,花蓮縣秀林鄉天祥路10號,1.0,175,
SOA00062,太魯閣晶英酒店,富世村,花蓮縣秀林鄉天祥路18號,3.0,6804,
