"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
以栗國小,QQA00016,東津里,屏東縣東港鎮東津里01鄰船頭路25號,"22.462640499213165, 120.46136494154193",1.0,347.0,東港分局,
東港警察分局,QQA00035,東津里,屏東縣東港鎮東津里01鄰沿海路1號,"22.463273623477754, 120.46171863278069",1.0,550.0,東港分局,
東京花園京城區大樓,QQA00023,東津里,屏東縣東港鎮東津里11鄰水源一街32巷45號,"22.46550451568918, 120.46272663255264",1.0,875.0,東港分局,
—,QQA00020,船頭里,屏東縣東港鎮船頭里13鄰船頭路26-10號,"22.46127709529175, 120.46097824229359",1.0,70.0,東港分局,
華罡樂器股份有限公司,QQA00018,船頭里,屏東縣東港鎮船頭里13鄰船頭路33-3號,"22.464029285127495, 120.4665588386414",1.0,46.0,東港分局,
東福塑膠工業股份有限公司,QQA00022,船頭里,屏東縣東港鎮船頭里13鄰沿海路20號,"22.46633664533595, 120.46335232246197",1.0,81.0,東港分局,
東方香港大廈,QPA00118,船頭里,屏東縣東港鎮船頭里05鄰大東路331巷17弄7號,"22.4609556443373, 120.46692285529863",1.0,988.0,東港分局,
愛在東港大樓,QQA00013,新街里,屏東縣東港鎮新街里05鄰沿海路225號,"22.47340505256398, 120.46295793174198",1.0,395.0,東港分局,
東港帝國大樓,QQA00075,新街里,屏東縣東港鎮新街里20鄰沿海路291號,"22.475019239213513, 120.46175340245084",1.0,904.0,東港分局,
東港國小,QQA00029,新街里,屏東縣東港鎮新街里24鄰中正路一段10號,"22.47105990871577, 120.45531859015996",1.0,67.0,東港分局,共有4處、總計可容納人數589人
東港國小/置物教室,QQA00030,新街里,屏東縣東港鎮新街里24鄰中正路一段10號,"22.470833351414147, 120.45569480295146",1.0,76.0,東港分局,共有4處、總計可容納人數589人
東港國小/南棟教室,QQA00031,新街里,屏東縣東港鎮新街里24鄰中正路一段10號,"22.470520393309744, 120.45573214092438",1.0,150.0,東港分局,共有4處、總計可容納人數589人
東港國小/行政樓,QQA00032,新街里,屏東縣東港鎮新街里24鄰中正路一段10號,"22.47057117354154, 120.45486558337093",1.0,296.0,東港分局,共有4處、總計可容納人數589人
中華電信/機房,QQA00024,新街里,屏東縣東港鎮新街里18鄰中正路一段54號,"22.472225506818994, 120.45619420106964",1.0,490.0,東港分局,
安泰醫院/A棟急診中心,QQA00012,新街里,屏東縣東港鎮新街里19鄰中正路一段210號,"22.474160471755226, 120.45913199566417",1.0,566.0,東港分局,共有2處、總計可容納人數1324人
安泰醫院/B棟,QQA00123,新街里,屏東縣東港鎮新街里19鄰中正路一段210號,"22.47368744692148, 120.45938482527079",1.0,758.0,東港分局,共有2處、總計可容納人數1324人
星世紀大樓,QQA00027,新街里,屏東縣東港鎮新街里08鄰明禮路25號,"22.47152607010915, 120.46027165023895",1.0,808.0,東港分局,
新都心大樓,QQA00076,新街里,屏東縣東港鎮新街里09鄰明德路51巷9號,"22.470967875090736, 120.45844041017942",1.0,515.0,東港分局,
東興國小,QQA00034,內關帝里,屏東縣東港鎮內關帝里05鄰興東路43-1號,"22.478505697579116, 120.46532498892014",1.0,250.0,東港分局,
海口人社區經營協會大樓,QQA00025,內關帝里,屏東縣東港鎮內關帝里04鄰興東路201號,"22.477299299426164, 120.46484526602767",1.0,451.0,東港分局,
財神爺大廈,QQA000125,內關帝里,屏東縣東港鎮內關帝里04鄰興東路210號,"22.476973040606335, 120.46561482563156",1.0,197.0,東港分局,
東港大第大樓,QQA00014,內關帝里,屏東縣東港鎮內關帝里06鄰沿海路382號,"22.47678383808432, 120.46083453269715",1.0,585.0,東港分局,
東新國中,QQA00028,東新里,屏東縣東港鎮東新里01鄰東新路1號,"22.47382382229887, 120.46500380108243",1.0,646.0,東港分局,
—,QQA00011,東新里,屏東縣東港鎮東新里01鄰沿海路30號,"22.46903146451901, 120.46390489321739",1.0,36.0,東港分局,
慶發漁具有限公司,QQA00033,東新里,屏東縣東港鎮東新里13鄰興農路1號之2,"22.48465651049694, 120.47140435811093",1.0,230.0,東港分局,
