類別,建築物名稱,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,御龍花園大樓,富裕里,臺南市東區富裕里4鄰裕農路60號,"22.985201,120.226073",1,1044.0,第一分局,
一般住宅,一般住宅,大同里,臺南市東區大同里16鄰大同路一段257號,"22.982703,120.211468",1,101.0,第一分局,
一般住宅,龍山新城大樓,龍山里,臺南市東區龍山里23鄰府東街43號,"22.985405,120.219823",1,281.0,第一分局,
一般住宅,林森花鄉大樓,龍山里,臺南市東區龍山里22鄰府東街22號,"22.985346,120.220463",1,514.0,第一分局,
一般住宅,長榮桂冠大樓,龍山里,臺南市東區龍山里11鄰光華街12號,"22.984504,120.219303",2,1020.0,第一分局,
一般住宅,一般住宅,龍山里,臺南市東區龍山里23鄰東門路二段96號,"22.986090,120.220079",1,83.0,第一分局,
一般住宅,皇后大道大樓,龍山里,臺南市東區龍山里12鄰長榮路一段246號,"22.985997,120.218781",2,1094.0,第一分局,
一般住宅,大亞洲NO1大樓,龍山里,臺南市東區龍山里19鄰長榮路一段223號,"22.985498,120.21822",2,1652.0,第一分局,
一般住宅,一般住宅,新東里,臺南市東區新東里5鄰裕農路43巷28號,"22.986571,120.225978",1,58.0,第一分局,
一般住宅,一般住宅,新東里,臺南市東區新東里5鄰裕農路43巷1號,"22.985811,120.225922",1,160.0,第一分局,
一般住宅,台南名家社區大樓,新東里,臺南市東區新東里5鄰裕農路43巷25號,"22.986332,120.225821",1,1017.0,第一分局,
一般住宅,大樓,新東里,臺南市東區新東里5鄰裕農路43巷39號,"22.986933,120.225603",1,44.0,第一分局,
一般住宅,一般住宅,龍山里,臺南市東區龍山里6鄰林森路一段339號,"22.984254,120.220667",1,193.0,第一分局,
公有,東南地政事務所,龍山里,臺南市東區龍山里8鄰林森路一段318號,"22.983059,120.220325",1,631.0,第一分局,
一般住宅,一般住宅,龍山里,臺南市東區龍山里17鄰崇學路221巷15號,"22.981338,120.223594",1,310.0,第一分局,
