類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,東庄里18鄰,苗栗縣頭份市東庄里18鄰自強路248號,"24.686233340513855, 120.90408181220427",1.0,206,頭份分局,頭份派出所,
公寓,民族里3鄰,苗栗縣頭份市民族里3鄰自強路241號,"24.686183143945915, 120.90475375453222",1.0,314,頭份分局,頭份派出所,
公寓,民族里4鄰,苗栗縣頭份市民族里4鄰東興路176號,"24.68380291312329, 120.90365364104025",1.0,21,頭份分局,頭份派出所,
公寓,民族里2鄰,苗栗縣頭份市民族里2鄰錦華街56號,"24.685445848547733, 120.90543666802431",1.0,85,頭份分局,頭份派出所,
公寓,民族里2鄰,苗栗縣頭份市民族里2鄰錦華街46號,"24.685335226064634, 120.90549808892426",1.0,84,頭份分局,頭份派出所,
公寓,民族里2鄰,苗栗縣頭份市民族里2鄰錦華街50號,"24.685485048480306, 120.90524705268027",1.0,85,頭份分局,頭份派出所,
公寓,民族里2鄰,苗栗縣頭份市民族里2鄰自強路26號,"24.690395432048206, 120.91189725268032",1.0,400,頭份分局,頭份派出所,
公寓,民族里2鄰,苗栗縣頭份市民族里2鄰自強路245號,"24.686151395669132, 120.90468793918835",1.0,533,頭份分局,頭份派出所,
公寓,民族里8鄰,苗栗縣頭份市民族里8鄰民族路128號,"24.684917594755422, 120.90471151035226",1.0,21,頭份分局,頭份派出所,
公寓,民族里12鄰,苗栗縣頭份市民族里12鄰東民路81號,"24.684197453721644, 120.90287129686033",1.0,32,頭份分局,頭份派出所,
公寓,民族里2鄰,苗栗縣頭份市民族里2鄰錦華街51號,"24.68568419325628, 120.90514839686021",1.0,25,頭份分局,頭份派出所,
公寓,民族里6鄰,苗栗縣頭份市民族里6鄰錦華街28號,"24.685579145079874, 120.90484568336824",1.0,44,頭份分局,頭份派出所,
公寓,民族里3鄰,苗栗縣頭份市民族里3鄰自強路245號,"24.686151395669132, 120.90467721035238",1.0,36,頭份分局,頭份派出所,
公寓,民族里12鄰,苗栗縣頭份市民族里12鄰民族路179號,"24.684873601097912, 120.90282992569627",1.0,29,頭份分局,頭份派出所,
頭份郵局,民族里1鄰,苗栗縣頭份市民族里1鄰和平路102號,"24.686251737138765, 120.90613462384428",1.0,353,頭份分局,頭份派出所,
公寓,民族里12鄰,苗栗縣頭份市民族里12鄰東民路83號,"24.68432209591994, 120.90283993918824",1.0,212,頭份分局,頭份派出所,
公寓,民族里10鄰,苗栗縣頭份市二份3號,"24.68412869329098, 120.90502331035228",1.0,272,頭份分局,頭份派出所,
公寓,民權里12鄰,苗栗縣頭份市民權里12鄰民族路200號,"24.685341784344445, 120.90283984104022",1.0,322,頭份分局,頭份派出所,
大樓,民族里13鄰,苗栗縣頭份市民族里13鄰東興路182號,"24.68415224173699, 120.90201411035225",1.0,3086,頭份分局,頭份派出所,
大樓,民族里4鄰,苗栗縣頭份市民族里4鄰錦華街31號,"24.68570769972759, 120.90477859686031",1.0,701,頭份分局,頭份派出所,
大樓,民族里7鄰,苗栗縣頭份市民族里7鄰中華路951號,"24.684873997967426, 120.90592301220427",2.0,6410,頭份分局,頭份派出所,
公寓,民族里7鄰,苗栗縣頭份市民族里7鄰中華路951號,"24.684873997967426, 120.90592301220427",1.0,28,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰信東路246號,"24.692454327859874, 120.90781422569637",1.0,516,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰信東路268號,"24.692865292350653, 120.90748618151639",1.0,30,頭份分局,頭份派出所,
公寓,忠孝里12鄰,苗栗縣頭份市忠孝里12鄰信東路152號,"24.690222848264984, 120.90928081220434",1.0,54,頭份分局,頭份派出所,
公寓,忠孝里12鄰,苗栗縣頭份市忠孝里12鄰忠孝一路132號,"24.690648131534164, 120.90955016987644",1.0,30,頭份分局,頭份派出所,
公寓,忠孝里2鄰,苗栗縣頭份市忠孝里2鄰信東路256號,"24.692665627430074, 120.9077023833684",1.0,413,頭份分局,頭份派出所,
華隆公司,忠孝里23鄰,苗栗縣頭份市忠孝里23鄰忠孝一路69號,"24.689737381444832, 120.9074591680243",1.0,501,頭份分局,頭份派出所,
華隆公司,忠孝里23鄰,苗栗縣頭份市忠孝里23鄰忠孝一路69號,"24.689737381444832, 120.9074591680243",1.0,501,頭份分局,頭份派出所,
大樓,蟠桃里1鄰,苗栗縣頭份市蟠桃里1鄰忠孝二路10號,"24.691506917317227, 120.90722594104034",1.0,3104,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路115號,"24.69046553990829, 120.90872425453236",1.0,24,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路109號,"24.69039688403943, 120.90861154104036",1.0,24,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路102號,"24.69030586438128, 120.90857268151639",1.0,61,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路109號,"24.690455371943997, 120.90853643918834",1.0,24,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路106號,"24.690263132317273, 120.90877202569641",1.0,77,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路113號,"24.69043898795424, 120.90864872569637",1.0,24,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路115號,"24.690572767653347, 120.90876716987637",1.0,24,頭份分局,頭份派出所,
公寓,忠孝里14鄰,苗栗縣頭份市忠孝里14鄰忠孝一路107號,"24.690376028104833, 120.9084599833684",1.0,20,頭份分局,頭份派出所,
公寓,自強里16鄰,苗栗縣頭份市自強里16鄰自強路82號,"24.68968664124898, 120.91078162384433",1.0,149,頭份分局,頭份派出所,
公寓,忠孝里11鄰,苗栗縣頭份市忠孝里11鄰忠孝一路111巷1號,"24.690507979817156, 120.90834761035235",1.0,213,頭份分局,頭份派出所,
公寓,信義里10鄰,苗栗縣頭份市信義里10鄰中正路103號,"24.68610583083789, 120.90891149686024",1.0,122,頭份分局,頭份派出所,
台灣銀行頭份分行,信義里11鄰,苗栗縣頭份市信義里11鄰中正路65號,"24.685349745510514, 120.9080654122043",1.0,194,頭份分局,頭份派出所,
竹南信用合作社頭份分社,信義里9鄰,苗栗縣頭份市信義里9鄰中正路116號,"24.685274945650946, 120.90816353918828",1.0,78,頭份分局,頭份派出所,
頭份戶政事務所,信義里11鄰,苗栗縣頭份市信義里11鄰和平路68號,"24.685228148922352, 120.90727079686022",1.0,112,頭份分局,頭份派出所,
台灣土地銀行頭份分行,信義里11鄰,苗栗縣頭份市信義里11鄰中華路932號,"24.686134250691442, 120.90777145453221",1.0,200,頭份分局,頭份派出所,
公寓,信義里11鄰,苗栗縣頭份市信義里11鄰中華路928號,"24.685784844693707, 120.90753743918832",1.0,133,頭份分局,頭份派出所,
公寓,信義里11鄰,苗栗縣頭份市信義里11鄰中華路926號,"24.685837906083965, 120.90772220426824",1.0,392,頭份分局,頭份派出所,
公寓,信義里8鄰,苗栗縣頭份市信義里8鄰信義路68號,"24.68541524217764, 120.90858206802416",1.0,18,頭份分局,頭份派出所,
