類別,電腦編號,村里別,地址,地下樓層數,可容納人數,派出所,備註,經度,緯度
大樓,D901000001,龍潭里,新北市瑞芳區明燈路3段69號,1,260.0,瑞芳派出所,,121.820295,25.106809
大樓,D901000002,龍潭里,新北市瑞芳區明燈路3段73號,1,301.0,瑞芳派出所,,121.820199,25.106848
大樓,D901000003,龍潭里,新北市瑞芳區民生街36號,1,440.0,瑞芳派出所,,121.80562,25.10709
公寓,D901000004,龍鎮里,新北市瑞芳區逢甲路82號,1,384.0,瑞芳派出所,,121.809859,25.10889
公寓,D901000005,龍山里,新北市瑞芳區逢甲路360號,1,650.0,瑞芳派出所,,121.802116,25.113092
大樓,D901000006,龍潭里,新北市瑞芳區明燈路3段77號,1,146.0,瑞芳派出所,,121.820107,25.106898
大樓,D901000007,爪峯里,新北市瑞芳區三爪子坑路106巷112號,1,778.0,瑞芳派出所,,121.808601,25.104172
大樓,D901000008,龍川里,新北市瑞芳區一坑路7號,1,533.0,瑞芳派出所,,121.803337,25.108276
公寓,D901000009,龍安里,新北市瑞芳區瑞芳街60號,1,253.0,瑞芳派出所,,121.804681,25.110733
公寓,D901000010,龍安里,新北市瑞芳區瑞芳街60號,1,461.0,瑞芳派出所,,121.804681,25.110733
公寓,D901000011,龍興里,新北市瑞芳區中正路13號,1,192.0,瑞芳派出所,,121.808192,25.106945
公寓,D901000012,龍興里,新北市瑞芳區明燈路3段38號,1,125.0,瑞芳派出所,,121.810097,25.107778
大樓,D901000013,龍興里,新北市瑞芳區中正路23號,1,150.0,瑞芳派出所,,121.807853,25.106998
大樓,D901000014,龍興里,新北市瑞芳區中正路34至38號,1,709.0,瑞芳派出所,,121.806339,25.107155
大樓,D901000015,龍興里,新北市瑞芳區中正路45號,1,966.0,瑞芳派出所,,121.807016,25.107202
公寓,D901000016,龍興里,新北市瑞芳區明燈路3段11號,1,89.0,瑞芳派出所,,121.808614,25.107426
公寓,D901000017,新峰里,新北市瑞芳區三爪子坑路14號,1,954.0,瑞芳派出所,,121.810288,25.106619
大樓,D901000018,新峰里,新北市瑞芳區員山子路3號,2,3914.0,瑞芳派出所,,121.819027,25.1045
公寓,D901000019,東和里,新北市瑞芳區中山路50號,1,368.0,瑞芳派出所,,121.803305,25.106495
大樓,D901000020,龍興里,新北市瑞芳區中正路59號,1,1472.0,瑞芳派出所,,121.806518,25.10731
公寓,D901000021,龍興里,新北市瑞芳區民生街35巷3號,1,585.0,瑞芳派出所,,121.806133,25.106995
公寓,D901000022,龍興里,新北市瑞芳區民生街35巷16號,1,93.0,瑞芳派出所,,121.805991,25.106798
大樓,D901000023,龍興里,新北市瑞芳區明燈路3段50巷8號,1,952.0,瑞芳派出所,,121.80732,25.108205
