類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
市場,三浦民有零售市場,6-01-003,竹崎村,嘉義縣竹崎鄉竹崎村復興路69號,"23.51951, 120.54916",地下1層,323.0,
政府機關,竹崎地政事務所,6-01-008,和平村,嘉義縣竹崎鄉和平村坑仔坪163號,"23.51363, 120.54732",地下1層,290.0,
學校,竹崎國小,6-01-009,竹崎村,嘉義縣竹崎鄉竹崎村文化路32號,"23.52047, 120.55301",地下1層,72.0,
工廠行號,勤築企業公司,6-02-001,鹿滿村,嘉義縣竹崎鄉鹿滿村頂溪心3號,"23.51358, 120.54039",地下1層,158.0,
工廠行號,欣業公司六廠,6-02-003,灣橋村,嘉義縣竹崎鄉灣橋村15鄰82號,"23.48960, 120.50862",地下1層,164.0,
工廠行號,慶薰企業公司,6-02-004,灣橋村,嘉義縣竹崎鄉灣橋村24鄰21號,"23.49326, 120.50036",地下1層,107.0,
大樓,新娘物語囍宴莊園,6-02-006,灣橋村,嘉義縣竹崎鄉灣橋村5鄰朴子埔177號,"23.49121, 120.51454",地下1層,1097.0,
工廠行號,農家樂股份有限公司,6-02-007,鹿滿村,嘉義縣竹崎鄉鹿滿村水景頭13號,"23.50476, 120.53962",地下1層,95.0,
旅社,梅喜旅社,6-03-001,梅南村,嘉義縣梅山鄉梅南村1鄰中山路15號,"23.57885, 120.55903",地下1層,90.0,
金融機構,梅山鄉農會,6-03-002,梅南村,嘉義縣梅山鄉梅南村中山路125號,"23.58159, 120.55878",地下1層,186.0,
工廠行號,林茂欽,6-03-005,梅北村,嘉義縣梅山鄉梅北村中山路826號,"23.5901, 120.54454",地下1層,98.0,
工廠行號,玉根蘭園,6-03-006,梅北村,嘉義縣梅山鄉梅北村工業一路34號,"23.59278, 120.53822",地下1層,83.0,
集合式住宅,梅山喜市,6-03-008,梅北村,嘉義縣梅山鄉梅北村環北街201號,"23.58897, 120.55019",地下1層,1038.0,
寺廟,玉虛宮,6-03-009,梅南村,嘉義縣梅山鄉梅南村玄廟街6號,"23.58176, 120.55942",地下1層,397.0,
政府機關,梅山鄉公所,6-03-010,梅北村,嘉義縣梅山鄉梅北村中山路282號,"23.5851, 120.55556",地下1層,867.0,
學校,梅圳國小,6-03-011,圳南村,嘉義縣梅山鄉圳南村三源23號,"23.57678, 120.59017",地下1層,1501.0,
市場,梅山鄉公有第一市場,6-03-013,梅東村,嘉義縣梅山鄉梅東村中山路114號,"23.58279, 120.55885",地下1層,345.0,
