類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
大樓,WNA02079,住安里,臺北市大安區信義路四段18號,"25.033168,121.544293",1,"901 ",
大樓,"   WNA02100   ",住安里,臺北市大安區信義路四段24號,"25.033166,121.544381",1,"507 ",
公寓,WNA02179,住安里,臺北市大安區信義路四段30巷4號,"25.032889,121.544577",1,"297 ",
公寓,WNA02184,住安里,臺北市大安區信義路四段30巷8弄13號,"25.032768,121.543981",1,"66 ",
大樓,WNA02872,住安里,臺北市大安區復興南路二段11-1號,"25.032595,121.543792",1,"313 ",
大樓,WNA02881,住安里,臺北市大安區復興南路二段17-1號,"25.032292,121.543786",1,"249 ",
大樓,WNA02889,住安里,臺北市大安區復興南路二段27號,"25.03189,121.54382",1,"874 ",
大樓,WNA02902,住安里,臺北市大安區復興南路二段41號,"25.031396,121.543769",1、2,"1036 ",
大樓,WNA03632,住安里,臺北市大安區復興南路二段17-1號,"25.032292,121.543786",1,"249 ",
大樓,WNA02873,住安里,臺北市大安區復興南路二段11-1號,"25.032595,121.543792",2,"313 ",
大樓,WNA02901,住安里,臺北市大安區復興南路二段9號,"25.032768,121.543795",1,"152 ",
公寓,WNA03632,住安里,臺北市大安區瑞安街17號,"25.031438,121.544098",1,"676 ",
公寓,WNA02180,住安里,信臺北市大安區義路四段30巷53號,"25.032346,121.544526",1,"160 ",
公寓,WNA02181,住安里,臺北市大安區信義路四段30巷9號,"25.032722,121.544686",1,"1553 ",
公寓,WNA02182,住安里,臺北市大安區信義路四段30巷21弄7號,"25.032388,121.5455",1,"336 ",
公寓,WNA04668,住安里,臺北市大安區大安路二段76、78號,"25.028421,121.545918",1,"1080 ",
公寓,WNA04766,住安里,臺北市大安區大安路二段62號,"25.032292,121.545856",1,"729 ",
公寓,WNA00484,住安里,臺北市大安區四維路131號,"25.030626,121.548109",1,"5338 ",
公寓,WNA00426,住安里,臺北市大安區四維路95號,"25.032274,121.54818",2,"1060 ",
大樓,WNA02118,住安里,臺北市大安區信義路四段96號,"25.033089,121.547832",4,"866 ",
大樓,WNA04354,住安里,臺北市大安區敦化南路二段40號,"25.031569,121.548378",1,"346 ",
公寓,WNA00041,住安里,臺北市大安區大安路二段55號,"25.031112,121.546159",1,"137 ",
公寓,WNA00042,住安里,臺北市大安區大安路二段88號,"25.031426,121.545955",1,"688 ",
公寓,WNA00437,住安里,臺北市大安區四維路154巷19號,"25.031075,121.547057",1,"221 ",
公寓,WNA04396,住安里,臺北市大安區瑞安街23巷7號,"25.031205,121.544406",2,"1028 ",
公寓,WNA00439,住安里,臺北市大安區四維路154巷27號,"25.031068,121.546591",2,"450 ",
公寓,WNA04535,住安里,臺北市大安區瑞安街23巷1號,"25.031147,121.544107",1,"437 ",
公寓,WNA03690,住安里,臺北市大安區瑞安街23巷23號,"25.03114,121.545214",1,"388 ",
公寓,WNA04957,住安里,臺北市大安區大安路二段39號,"25.031604,121.546156",1,"597 ",
公寓,WNA00427,住安里,臺北市大安區四維路124巷1號,"25.031807,121.547801",1,"73 ",
公寓,WNA00429,住安里,臺北市大安區四維路124巷12號,"25.031735,121.547532",1,"41 ",
公寓,WNA02194,住安里,臺北市大安區信義路四段74巷9號,"25.03205,121.547071",1,"864 ",
公寓,WNA04439,住安里,臺北市大安區大安路二段37號,"25.031732,121.546161",2,"870 ",
公寓,WNA00039,住安里,臺北市大安區大安路二段19號,"25.032252,121.546099",1,"1020 ",
公寓,WNA00040,住安里,臺北市大安區大安路二段33號,"25.031979,121.546182",2,"520 ",
公寓,WNA02895,住安里,臺北市大安區復興南路二段33-1號,"25.031502,121.543771",1,"710 ",
公寓,WNA02904,住安里,臺北市大安區復興南路二段45-49號,"25.031274,121.543768",2,"429 ",
公寓,WNA02115,住安里,臺北市大安區信義路四段56-58號,"25.033148,121.545306",1,"788 ",
公寓,WNA00406,住安里,"臺北市大安區四維路121號 ","25.031948,121.54797",1,"2429 ",
公寓,WNA00407,住安里,"臺北市大安區四維路121號 ","25.031948,121.54797",2,"2429 ",
公寓,WNA00438,住安里,臺北市大安區四維路154巷21號,"25.031063,121.546881",1,"334 ",
公寓,WNA03686,住安里,臺北市大安區瑞安街23巷15號,"25.031126,121.54485",1,"233 ",
公寓,WNA00432,住安里,臺北市大安區四維路124巷5號,"25.031811,121.547697",1,"20 ",
公寓,WNA02100,住安里,臺北市大安區信義路四段28號,"25.033165,121.544462",1,"553 ",
公寓,WNA02179,住安里,臺北市大安區信義路四段30巷4號,"25.032889,121.544577",1,"297 ",
大樓,WNA04998,住安里,臺北市大安區大安路二段80號,"25.031641,121.545821",4,"2960 ",
大樓,WNA04751,住安里,臺北市大安區信義路四段88號,"25.033026,121.547503",1、2,"4178 ",
大安捷運站,WNA00148,住安里,臺北市大安區信義路四段2-6號,"25.033128,121.544002",1、2、3,"18819 ",
瑞安街派出所,WNA03687,住安里,臺北市大安區瑞安街23巷17號,"25.031137,121.544994",1,"174 ",
中華郵政,WNA04417,住安里,臺北市大安區信義路四段74巷9-11號,"25.03205,121.547071",1,"4032 ",
中華郵政,WNA04750,住安里,臺北市大安區信義路四段74巷7號,"25.032544,121.547138",1,"3662 ",
大樓,WNA01391,車層里,臺北市大安區延吉街116號,"25.040503,121.554625",1,"886 ",
大樓,WNA01393,車層里,臺北市大安區延吉街120號,"25.04042,121.554636",1,"488 ",
大樓,WNA01432,車層里,臺北市大安區延吉街126巷6-12號,"25.040222,121.554535",1,"390 ",
大樓,WNA01394,車層里,臺北市大安區延吉街128號,"25.040246,121.554669",1,"160 ",
大樓,WNA01395,車層里,臺北市大安區延吉街130號,"25.040126,121.55471",1,"82 ",
大樓,WNA01390,車層里,臺北市大安區延吉街112號,"25.040647,121.554582",1,"268 ",
大樓,WNA01389,車層里,臺北市大安區延吉街110號,"25.040804,121.554535",1,"205 ",
大樓,WNA01431,車層里,臺北市大安區延吉街126巷3-1號,"25.04041,121.554302",1,"200 ",
大樓,WNA01398,車層里,臺北市大安區延吉街136號,"25.039906,121.554704",1,"328 ",
大樓,WNA01458,車層里,臺北市大安區延吉街138巷2-6號,"25.039908,121.554649",1,"309 ",
大樓,WNA01399,車層里,臺北市大安區延吉街140號,"25.03975,121.554811",1,"464 ",
大樓,WNA01402,車層里,臺北市大安區延吉街154-158號,"25.039579,121.554867",1,"484 ",
大樓,WNA01666,車層里,臺北市大安區忠孝東路四段248巷13-15號,"25.040534,121.554154",1,"124 ",
大樓,WNA01595,車層里,臺北市大安區忠孝東路四段250號,"25.041202,121.554216",1,"1594 ",
大樓,WNA01387,車層里,臺北市大安區延吉街106號,"25.040945,121.554481",1,"193 ",
大樓,WNA01669,車層里,臺北市大安區忠孝東路四段248巷6號,"25.040645,121.554019",1,"130 ",
大樓,WNA01667,車層里,臺北市大安區忠孝東路四段248巷2號,"25.040921,121.55403",1,"117 ",
大樓,WNA01650,車層里,臺北市大安區忠孝東路四段216巷19弄18號,"25.040243,121.553996",1,"94 ",
大樓,WNA01649,車層里,臺北市大安區忠孝東路四段216巷11弄21號,"25.040901,121.553875",1,"254 ",
大樓,WNA01582,車層里,臺北市大安區忠孝東路四段218-226號,"25.041065,121.553336",2,"4706 ",
大樓,WNA01584,車層里,臺北市大安區忠孝東路四段230號,"25.041204,121.553932",1、2,"581 ",
大樓,WNA01670,車層里,臺北市大安區忠孝東路四段248巷8號,"25.040469,121.554019",1,"86 ",
大樓,WNA04365,車層里,臺北市大安區忠孝東路四段216巷15號,"25.04069,121.553112",1,"100 ",
大樓,WNA04366,車層里,臺北市大安區忠孝東路四段218號,"25.041217,121.553338",1,"5602 ",
大樓,WNA01656,車層里,臺北市大安區忠孝東路四段216巷33弄18號,"25.039341,121.553935",1,"176 ",
大樓,WNA01652,車層里,臺北市大安區忠孝東路四段216巷27弄23號,"25.039973,121.553926",1,"88 ",
大樓,WNA01653,車層里,臺北市大安區忠孝東路四段216巷27弄4-6號,"25.039798,121.553285",1,"1152 ",
大樓,WNA00317,車層里,臺北市大安區仁愛路四段345巷4弄15號,"25.039034,121.553143",1,"1126 ",
大樓,WNA01430,車層里,臺北市大安區延吉街126巷14號,"25.040237,121.554295",1,"813 ",
大樓,WNA01658,車層里,臺北市大安區忠孝東路四段216巷33弄6號,"25.039321,121.553325",1,"1500 ",
大樓,WNA01657,車層里,臺北市大安區忠孝東路四段216巷33弄3號,"25.03952,121.553313",1,"2177 ",
大樓,WNA01655,車層里,臺北市大安區忠孝東路四段216巷33弄17號,"25.039463,121.553918",1,"185 ",
大樓,WNA01465,車層里,臺北市大安區延吉街160巷5號,"25.039345,121.554485",1,"62 ",
大樓,WNA01405,車層里,臺北市大安區延吉街160號,"25.039335,121.554858",1,"172 ",
大樓,WNA00312,車層里,臺北市大安區仁愛路四段345巷15弄1-1號,"25.039099,121.554136",1,"2372 ",
公寓,WNA00314,車層里,臺北市大安區仁愛路四段345巷15弄2號,"25.038855,121.554179",1,"4146 ",
大樓,WNA01409,車層里,臺北市大安區延吉街182-186號,"25.038651,121.555111",1,"466 ",
大樓,WNA01406,車層里,臺北市大安區延吉街164號,"25.039131,121.554986",1,"854 ",
大樓,WNA01408,車層里,臺北市大安區延吉街166號,"25.038972,121.55494",1,"126 ",
大樓,WNA00313,車層里,臺北市大安區仁愛路四段345巷15弄16號,"25.038853,121.554754",1,"348 ",
大樓,WNA01668,車層里,臺北市大安區忠孝東路四段248巷27、29號,"25.039708,121.554199",1,"1984 ",
大樓,WNA01466,車層里,臺北市大安區延吉街160巷9號,"25.039332,121.554282",1,"312 ",
大樓,WNA00266,車層里,臺北市大安區仁愛路四段345巷15弄9號,"25.038985,121.554258",1,"701 ",
大樓,WNA00196,車層里,臺北市大安區仁愛路四段365號,"25.038034,121.554651",1,"1898 ",
大樓,WNA00197,車層里,臺北市大安區仁愛路四段365號,"25.038034,121.554651",2,"3010 ",
大樓,WNA00194,車層里,臺北市大安區仁愛路四段337-343號,"25.038152,121.553662",1,"2089 ",
大樓,WNA00191,車層里,臺北市大安區仁愛路四段325號,"25.03809,121.553233",1、2,"2280 ",
大樓,WNA00195,車層里,臺北市大安區仁愛路四段357號,"25.038067,121.55434",2,"2693 ",
大樓,WNA01647,車層里,臺北市大安區忠孝東路四段216巷51-57號,"25.03885,121.553044",1,"1776 ",
大樓,WNA01599,車層里,臺北市大安區忠孝東路四段285號,"25.041671,121.554152",2,"411 ",
大樓,WNA01427,車層里,臺北市大安區延吉街60-60-1號,"25.043645,121.553798",1,"2693 ",
大樓,WNA04902,車層里,臺北市大安區市民大道四段168號,"25.044084,121.553127",1,"362 ",
