編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,北京里,臺中市北屯區北京里進化北路39巷6號,1,331.0,第五分局,"120.690693 ","24.162514 "
2.0,北興里,臺中市北屯區北興里北屯路106號,1,600.0,第五分局,"120.693798 ","24.163834 "
3.0,北興里,臺中市北屯區北興里北屯路88號,1,200.0,第五分局,"120.693558 ","24.163108 "
4.0,平昌里,臺中市北屯區平昌里文心路四段956號,1,4131.0,第五分局,"120.694954 ","24.170446 "
5.0,三光里,臺中市北屯區三光里北屯路190號,1,200.0,第五分局,"120.694978 ","24.165714 "
6.0,三光里,臺中市北屯區三光里北屯路226巷94弄2號,1,1447.0,第五分局,"120.697141 ","24.169013 "
7.0,水景里,臺中市北屯區水景里景賢六路200號,1,3884.0,第五分局,"120.712160 ","24.166557 "
8.0,軍功里,臺中市北屯區軍功里軍和街43號,1,200.0,第五分局,"120.715447 ","24.175950 "
9.0,軍功里,臺中市北屯區軍功里軍和街43號,1,1311.0,第五分局,"120.715447 ","24.175950 "
10.0,平陽里,臺中市北屯區平陽里河北路一段16號,1,7757.0,第五分局,"120.683965 ","24.177009 "
11.0,平和里,臺中市北屯區平和里瀋陽路二段148號,1,1460.0,第五分局,"120.683712 ","24.173452 "
12.0,平和里,臺中市北屯區平和里文心路四段575號,1,3560.0,第五分局,"120.682670 ","24.173164 "
13.0,平陽里,臺中市北屯區平陽里崇德路二段227號,1,2824.0,第五分局,"120.684574 ","24.175127 "
14.0,大德里,臺中市北屯區大德里四平路1號,1,197.0,第五分局,"120.669605 ","24.177575 "
15.0,大德里,臺中市北屯區大德里雷中街2之23號,1,1687.0,第五分局,"120.669070 ","24.180150 "
16.0,新平里,臺中市北屯區新平里中清路二段299號,1,22.0,第五分局,"120.668166 ","24.178457 "
17.0,仁愛里,臺中市北屯區仁愛里四平路71號,1,264.0,第五分局,"120.671526 ","24.180195 "
18.0,仁和里,臺中市北屯區崇德路三段10號,1,3615.0,第五分局,"120.686556 ","24.183026 "
19.0,仁和里,臺中市北屯區仁和里后庄路910號,1,2002.0,第五分局,"120.678082 ","24.192630 "
20.0,同榮里,臺中市北屯區同榮里新興路20號,1,380.0,第五分局,"120.662499 ","24.194704 "
21.0,同榮里,臺中市北屯區同榮里后庄路699號,1,2557.0,第五分局,"120.677079 ","24.194085 "
22.0,同榮里,臺中市北屯區仁和里豐樂路二段158號,1,768.0,第五分局,"120.680172 ","24.194918 "
