電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
COA00001,梅花里,臺南市安南區梅花里18鄰同安路342號,"23.042956,120.192736",1.0,74.0,第三分局,
COA00002,梅花里,臺南市安南區梅花里18鄰同安路340號,"23.042919,120.192725",1.0,74.0,第三分局,
COA00003,梅花里,臺南市安南區梅花里18鄰同安路338號,"23.042884,120.192708",1.0,53.0,第三分局,
COA00004,梅花里,臺南市安南區梅花里18鄰同安路334號,"23.042825,120.192655",1.0,53.0,第三分局,
COA00005,梅花里,臺南市安南區梅花里18鄰同安路346號,"23.043087,120.19284",1.0,128.0,第三分局,
COA00006,梅花里,臺南市安南區梅花里17鄰安中路一段703巷80號,"23.040147,120.19311",1.0,957.0,第三分局,
COA00008,大安里,臺南市安南區大安里11鄰大安街252號,"23.035260,120.194767",1.0,133.0,第三分局,
COA00009,理想里,臺南市安南區理想里19鄰大安街461巷37弄93號,"23.037834,120.193155",1.0,667.0,第三分局,
COA00010,理想里,臺南市安南區理想里19鄰大安街461巷46號,"23.038214,120.191865",1.0,667.0,第三分局,
COA00011,理想里,臺南市安南區理想里20鄰同安路70號,"23.039649,120.189327",1.0,40.0,第三分局,
COA00013,原佃里,臺南市安南區原佃里5鄰本原街一段191號,"23.051186,120.197742",1.0,40.0,第三分局,
COA00014,原佃里,臺南市安南區原佃里1鄰怡安路二段102號,"23.045435,120.199555",1.0,667.0,第三分局,
COA00015,梅花里,臺南市安南區梅花里12鄰安中路1段701巷45號,"23.041388,120.194871",1.0,1333.0,第三分局,
COA00016,梅花里,臺南市安南區梅花里12鄰安中路一段701巷45號,"23.041388,120.194872",1.0,1333.0,第三分局,
COA00017,安東里,臺南市安南區安東里8鄰安和路二段54巷216號,"23.036217,120.216347",1.0,1100.0,第三分局,
COA00018,安東里,臺南市安南區安東里8鄰安和路二段98號,"23.038405,120.214766",1.0,1067.0,第三分局,
COA00020,新順里,臺南市安南區新順里14鄰安和路二段318巷125弄15號,"23.043437,120.220279",1.0,43.0,第三分局,
COA00021,溪北里,臺南市安南區溪北里4鄰敬安街15號,"23.027331,120.211198",1.0,53.0,第三分局,
COA00024,安東里,臺南市安南區安東里6鄰安和路一段288巷59號,"23.032867,120.213999",1.0,43.0,第三分局,
COA00025,新順里,臺南市安南區新順里13鄰永安路69號,"23.044374,120.222273",1.0,43.0,第三分局,
COA00026,新順里,臺南市安南區新順里13鄰永安路13號,"23.045745,120.219675",1.0,43.0,第三分局,
COA00027,新順里,臺南市安南區新順里13鄰永安路89巷6號,"23.044107,120.224323",1.0,43.0,第三分局,
COA00028,新順里,臺南市安南區新順里13鄰永安路89巷9號,"23.044342,120.224231",1.0,43.0,第三分局,
COA00029,安西里,臺南市安南區安西里11鄰安和路一段317號,"23.032921,120.212248",1.0,47.0,第三分局,
COA00030,溪北里,臺南市安南區溪北里4鄰敬安街9號,"23.027888,120.211563",1.0,53.0,第三分局,
COA00031,新順里,臺南市安南區新順里10鄰政安路91號,"23.041135,120.219541",1.0,53.0,第三分局,
COA00033,新順里,臺南市安南區新順里13鄰安通路二段8號,"23.044107,120.224323",1.0,47.0,第三分局,
COA00034,新順里,臺南市安南區新順里13鄰開安路49號,"23.046710,120.222539",1.0,47.0,第三分局,
COA00035,新順里,臺南市安南區新順里13鄰開安一街8巷15弄15號,"23.046122,120.224425",1.0,47.0,第三分局,
COA00036,安東里,臺南市安南區安東里16鄰安和路一段478巷38弄2號,"23.034928,120.214688",1.0,42.0,第三分局,
COA00037,安東里,臺南市安南區安東里8鄰安和路二段54巷20號,"23.037358,120.214782",1.0,47.0,第三分局,
COA00039,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035378,120.211422",1.0,667.0,第三分局,
COA00040,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035378,120.211422",1.0,667.0,第三分局,
COA00041,安慶里,臺南市安南區安慶里12鄰長溪路一段76號,"23.035378,120.211422",1.0,667.0,第三分局,
COA00042,安慶里,臺南市安南區安慶里26鄰長溪路一段133號,"23.035851,120.210216",1.0,43.0,第三分局,
COA00043,安慶里,臺南市安南區安慶里26鄰長溪路一段135號,"23.035902,120.210158",1.0,47.0,第三分局,
COA00044,安慶里,臺南市安南區安慶里26鄰長溪路一段143號,"23.036037,120.210027",1.0,47.0,第三分局,
COA00046,安慶里,臺南市安南區安慶里3鄰長溪路一段168巷115號,"23.038979,120.210137",1.0,47.0,第三分局,
COA00047,淵東里,臺南市安南區淵東里16鄰安中路三段252號,"23.048549,120.178054",1.0,667.0,第三分局,
COA00048,淵東里,臺南市安南區淵東里16鄰安中路三段252號,"23.048549,120.178054",1.0,667.0,第三分局,
COA00049,淵東里,臺南市安南區淵東里16鄰安中路三段356號,"23.049213,120.175921",1.0,107.0,第三分局,
COA00050,淵東里,臺南市安南區淵東里16鄰安中路三段292號,"23.048855,120.176744",1.0,47.0,第三分局,
COA00051,淵東里,臺南市安南區淵東里10鄰安中路三段362號,"23.049081,120.175652",1.0,43.0,第三分局,
COA00052,淵東里,臺南市安南區淵東里10鄰安中路三段366號,"23.049104,120.175576",1.0,43.0,第三分局,
COA00053,淵東里,臺南市安南區淵東里10鄰安中路三段368號,"23.049115,120.175529",1.0,43.0,第三分局,
COA00054,淵東里,臺南市安南區淵東里10鄰安中路三段374號,"23.049147,120.175411",1.0,60.0,第三分局,
COA00055,淵東里,臺南市安南區淵東里10鄰安中路三段376號,"23.049159,120.175371",1.0,60.0,第三分局,
COA00056,淵東里,臺南市安南區淵東里10鄰安中路三段380號,"23.049177,120.175293",1.0,60.0,第三分局,
COA00057,淵東里,臺南市安南區淵東里10鄰安中路三段382號,"23.049188,120.175248",1.0,60.0,第三分局,
COA00058,淵東里,臺南市安南區淵東里10鄰安中路三段384號,"23.049195,120.175208",1.0,60.0,第三分局,
COA00059,淵東里,臺南市安南區淵東里10鄰安中路三段386號,"23.049211,120.175171",1.0,60.0,第三分局,
COA00060,淵東里,臺南市安南區淵東里10鄰安中路三段388號,"23.049219,120.17513",1.0,60.0,第三分局,
COA00061,淵東里,臺南市安南區淵東里10鄰安中路三段388之1號,"23.049232,120.175088",1.0,60.0,第三分局,
