電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局
XX0043," 新興區",開平里,高雄市新興區錦田路142號,"22.635871,120.311111",1,"  240 ",新興分局
XX0047," 新興區",榮治里,高雄市新興區大同一路179號,"22.628827,120.301023",1,"  357 ",新興分局
XX0049," 新興區",振成里,高雄市新興區五福二路147號,"22.623847,120.303763",1,"  330 ",新興分局
XX0057," 新興區",東坡里,高雄市新興區中正三路179號,"22.630897,120.303154",1,"  1,662 ",新興分局
XX0058," 新興區",順昌里,高雄市新興區七賢一路100號,"22.633944,120.314415",1,"  353 ",新興分局
XX0059," 新興區",明莊里,高雄市新興區中山一路117號,"22.631422,120.3011",1,"  490 ",新興分局
QJ0015," 前金區",新生里,高雄市前金區市中一路242號,"22.63128,120.289338",1,"  347 ",新興分局
QJ0018," 前金區",長城里,高雄市前金區新盛一街9號地下室,"22.63027735,120.296477899769",2,"  513 ",新興分局
QJ0022," 前金區",國民里,高雄市前金區大同二路131號,"22.625499,120.29107",1,"  266 ",新興分局
XX0097," 新興區",新江里,高雄市新興區中山一路300號,"22.635808,120.30266",1,"  78 ",新興分局
QJ0023," 前金區",青山里,高雄市前金區中正四路105號,"22.629773,120.297901",1,"  283 ",新興分局
XX0103," 新興區",新江里,高雄市新興區八德一路316號,"22.635981,120.304871",2,"  1,021 ",新興分局
XX0104," 新興區",新江里,高雄市新興區林森一路267號,"22.636261,120.304878",2,"  1,029 ",新興分局
XX0105," 新興區",大明里,高雄市新興區南台路16號,"22.629605,120.301041",1,"  475 ",新興分局
XX0114," 新興區",建華里,高雄市新興區自立一路66之16號,"22.635974,120.297499",2,"  1,206 ",新興分局
XX0115," 新興區",成功里,高雄市新興區六合一路109號,"22.632622,120.305081",1,"  187 ",新興分局
QJ0027," 新興區",國民里,高雄市前金區大同二路145號十之6,"22.62522319,120.290172696182",2,"  2,662 ",新興分局
XX0129," 新興區",新江里,高雄市新興區南華路188號,"22.635439,120.303116",1,"  382 ",新興分局
QJ0033," 前金區",草江里,高雄市前金區新盛一街55號,"22.631786,120.295849",1,"  275 ",新興分局
QJ0034," 前金區",青山里,高雄市前金區中正四路99號,"22.629919,120.298226",2,"  890 ",新興分局
XX0135," 新興區",浩然里,高雄市新興區五福二路3號,"22.625236778324307, 120.30877633099703",1,"  473 ",新興分局
XX0136," 新興區",中東里,高雄市新興區七賢一路393號,"22.63375259786172, 120.30648714080193",1,"  250 ",新興分局
QJ0036," 前金區",博孝里,高雄市前金區五福三路122號,"22.62192103838953, 120.29412097973614",1,"  687 ",新興分局
XX0141," 新興區",中東里,高雄市新興區六合一路90號,"22.632717,120.308663",1,"  208 ",新興分局
XX0143," 新興區",南港里,高雄市新興區林森一路242號,"22.634943,120.305179",2,"  1,345 ",新興分局
XX0144," 新興區",順昌里,高雄市新興區七賢一路75號,"22.633405,120.314952",1,"  207 ",新興分局
XX0152," 新興區",玉衡里,高雄市新興區文橫一路17號,"22.624728,120.302831",1,"  636 ",新興分局
XX0171," 新興區",中東里,高雄市新興區七賢一路301號,"22.633928,120.308659",1,"  860 ",新興分局
XX0183," 新興區",建華里,高雄市新興區八德二路94號,"22.635705,120.297608",1,"  228 ",新興分局
QJ0073," 前金區",長生里,高雄市前金區中華三路17號,"22.623379,120.29791",1,"  244 ",新興分局
XX0188," 新興區",中東里,高雄市新興區六合一路92號,"22.632708,120.308496",2,"  504 ",新興分局
XX0201," 新興區",興昌里,高雄市新興區七賢一路225號,"22.63370169,120.310362667346",2,"  620 ",新興分局
QJ0096," 前金區",新生里,高雄市前金區七賢二路254號,"22.632314,120.29245",1,"  230 ",新興分局
XX0227," 新興區",德生里,高雄市新興區五福一路142號地下室,"22.627053,120.31204",1,"  1,201 ",新興分局
XX0228," 新興區",建華里,高雄市新興區南台橫路31號,"22.63519,120.299566",1,"  438 ",新興分局
XX0229," 新興區",秋山里,高雄市新興區民主路16號,"22.633378,120.300248",2,"  701 ",新興分局
XX0231," 新興區",中東里,高雄市新興區復興一路72號,"22.632926,120.308504",1,"  276 ",新興分局
XX0237," 新興區",順昌里,高雄市新興區七賢一路73號,"22.633451,120.315108",1,"  314 ",新興分局
XX0238," 新興區",永寧里,高雄市新興區五福二路146號,"22.625214,120.30667",1,"  574 ",新興分局
XX0242," 新興區",文昌里,高雄市新興區中正二路218號,"22.630769,120.315423",1,"  540 ",新興分局
XX0243," 新興區",文昌里,高雄市新興區和平一路215之4號,"22.631354,120.317179",1,"  594 ",新興分局
XX0244," 新興區",德生里,高雄市新興區五福二路14號,"22.626377,120.310255",1,"  168 ",新興分局
XX0257," 新興區",振成里,高雄市新興區文化路53號,"22.623327,120.304696",1,"  510 ",新興分局
QJ0113," 前金區",長城里,高雄市前金區新盛一街12號,"22.630345,120.296644",1,"  261 ",新興分局
QJ0114," 前金區",新生里,高雄市前金區七賢二路394號,"22.631015,120.288664",1,"  668 ",新興分局
QJ0115," 前金區",文東里,高雄市前金區中山二路575號,"22.621993,120.301012",1,"  1,161 ",新興分局
QJ0135," 前金區",榮復里,高雄市前金區成功一路286號,"22.620244,120.295593",1,"  318 ",新興分局
XX0288," 新興區",東坡里,高雄市新興區林森一路163號,"22.630139,120.304424",1,"  1,300 ",新興分局
QJ0142," 前金區",後金里,高雄市前金區六合二路279號,"22.6292,120.290974",1,"  1,197 ",新興分局
XX0294," 新興區",南港里,高雄市新興區忠孝一路437巷18號,"22.63546,120.305819",1,"  188 ",新興分局
QJ0144," 前金區",復元里,高雄市前金區民生二路58號地下室,"22.626467,120.297907",1,"  1,230 ",新興分局
QJ0145," 前金區",新生里,高雄市前金區新生里河南二路196之1號,"22.6320814,120.287103667346",1,"  862 ",新興分局
QJ0146," 前金區",文西里,高雄市前金區五福三路61號,"22.621452,120.297067",2,"  1,456 ",新興分局
XX0302," 新興區",文昌里,高雄市新興區六合路67號,"22.63177,120.317117",1,"  967 ",新興分局
XX0312," 新興區",成功里,高雄市新興區仁愛一街137號,"22.631421,120.307191",1,"  266 ",新興分局
XX0323," 新興區",光耀里,高雄市新興區黃海街36號,"22.629619,120.312558",1,"  734 ",新興分局
XX0325," 新興區",玉衡里,高雄市新興區中山一路12號,"22.625798,120.301633",1,"  392 ",新興分局
