類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
私人公司,1.0,安仁里,"24.281864538012844, 120.50790138505634",1.0,"88 ",臺中市梧棲區南堤路三段298號
私人公司,2.0,安仁里,臺中市梧棲區9鄰南堤路三段297號,1.0,"274 ",
私人公司,3.0,安仁里,"24.281640343158276, 120.51089472174796",1.0,94,臺中市梧棲區9鄰南堤路三段301號
私人公司,4.0,安仁里,臺中市梧棲區南堤路三段300號,1.0,65,
私人公司,5.0,安仁里,"24.28092447715408, 120.51042878061799",1.0,"65 ",臺中市梧棲區南堤路三段303號
私人公司,6.0,安仁里,"24.280545528225808, 120.50901400104138",1.0,"82 ",臺中市梧棲區9鄰南堤路三段299號
私人公司,7.0,麗水里,臺中市龍井區9鄰南堤路2號,1.0,"405 ",
私人公司,8.0,麗水里,"24.230555738973553, 120.50042782737303",1.0,"14917 ",臺中市龍井區9鄰龍昌路100號
私人公司,9.0,麗水里,"24.23073890293882, 120.501669329831",1.0,"1567 ",臺中市龍井區9鄰中南一路9號
私人公司,10.0,麗水里,"24.2308476155196, 120.50145806873056",1.0,"2143 ",臺中市龍井區9鄰中南一路7號
私人公司,11.0,麗水里,"24.230555738973553, 120.50042782737303",1.0,"1221 ",臺中市龍井區9鄰龍昌路100號
碼頭,12.0,,"24.26920454868937, 120.5194346264198",1.0,"448 ",臺中港中突堤管制站內(23號碼頭後線)
碼頭,13.0,,"24.271558704169884, 120.52028144942886",1.0,"806 ",臺中港中突堤管制站內(24號碼頭後線)
碼頭,14.0,,"24.273465323068507, 120.52058476954666",1.0,"806 ",臺中港中突堤管制站內(26號碼頭後線)
私人公司,15.0,安仁里,臺中市梧棲區9鄰臺灣大道10段2號,1.0,"6334 ",
私人公司,16.0,安仁里,臺中市梧棲區9鄰中南一路二段809號,1.0,"629 ",
私人公司,17.0,安仁里,臺中市梧棲區9鄰中二路一段9號,1.0,"6252 ",
碼頭,18.0,,"24.269924659736642, 120.52674899035715",1.0,"806 ",臺中港十路口管制站內(14號碼頭後線)
政府機關,19.0,頂寮里,臺中市梧棲區10鄰中橫十路2號,1.0,"1377 ",
碼頭,20.0,海濱里,"24.2830659304654, 120.5297598211111",1.0,"820 ",臺中市清水區14鄰北橫三路底層8號(5B)
碼頭,21.0,海濱里,"24.282800757838377, 120.5273379791959",1.0,"924 ",臺中市清水區14鄰北橫四路底層7號(7B)
私人公司,22.0,海濱里,"24.288745510214287, 120.52044303920513",1.0,"381 ",臺中市清水區14鄰北橫十二路2號
碼頭,23.0,海濱里,"24.29288594837135, 120.52426561327677",1.0,"804 ",臺中市清水區14鄰北堤路9號
政府機關,24.0,下寮里,臺中市梧棲區中橫四路2號,1.0,156,
