電腦編號,建築物名稱,里別,緯度,經度,避難樓層,轄管分局,可容納人數,備註
A0002,光泉泵浦企業(股)公司,湧豐里,"24.901126 ","121.205205 ",B01,平鎮分局,701.0,
A0003,金興精密工業(股)公司,湧豐里,24.9014593,121.2043038,B01,平鎮分局,249.0,
A0004,美生金屬工業(股)公司,湧豐里,"24.902369 ","121.204513 ",B01,平鎮分局,150.0,
A0005,臺灣玻封電子(股)公司,湧豐里,"24.902739 ","121.204089 ",B01,平鎮分局,1041.0,
A0011,臺灣歐雅實業(股)公司,湧豐里,"24.904646 ","121.204212 ",B01,平鎮分局,73.0,
A0012,欣工業(股)公司,湧豐里,"24.904734 ","121.203845 ",B01,平鎮分局,53.0,
A0013,小法(股)公司,湧豐里,"24.905623 ","121.203777 ",B01,平鎮分局,709.0,
A0014,堡華公司,湧豐里,"24.905912 ","121.203858 ",B01,平鎮分局,128.0,
A0015,全新光電科技(股)公司,湧豐里,"24.905779 ","121.203410 ",B01,平鎮分局,191.0,
A0016,聲遠精密光學(股)公司,湧豐里,"24.905783 ","121.203006 ",B01,平鎮分局,1804.0,
A0017,協順工業(股)公司,湧豐里,"24.905169 ","121.202123 ",B01,平鎮分局,926.0,
A0022,昭安國際(股)公司,湧豐里,"24.901494 ","121.200012 ",B01,平鎮分局,2101.0,
A0023,中華精測科技(股)公司,湧豐里,"24.902943 ","121.200481 ",B01,平鎮分局,210.0,
A0026,中華精測科技(股)公司,湧豐里,"24.904990 ","121.199430 ",B01,平鎮分局,91.0,
A0028,唐德工業(股)公司,湧豐里,"24.900231 ","121.197757 ",B01,平鎮分局,203.0,
A0030,金利精密工業(股)公司,湧豐里,"24.900694 ","121.198167 ",B01,平鎮分局,1029.0,
A0031,私人住宅,湧豐里,"24.901335 ","121.198647 ",B01,平鎮分局,822.0,
A0032,源友企業(股)公司,湧豐里,"24.902948 ","121.197902 ",B01,平鎮分局,2012.0,
A0033,臺灣佩克科技(股)公司,湧豐里,"24.902405 ","121.197701 ",B01,平鎮分局,1494.0,
A0034,騰輝電子(股)公司,湧豐里,24.9035326,121.19782,B01,平鎮分局,1352.0,
A0035,穎科技(股)公司,湧豐里,"24.904888 ","121.197944 ",B01,平鎮分局,2340.0,
A0037,松華實業公司,湧豐里,"24.903207 ","121.197556 ",B01,平鎮分局,184.0,
A0038,新綜工業(股)公司,湧豐里,"24.904359 ","121.197390 ",B01,平鎮分局,107.0,
A0039,健鼎科技(股)公司,湧安里,"24.905190 ","121.197199 ",B01,平鎮分局,286.0,
A0040,基銓企業(股)公司,湧豐里,"24.898377 ","121.199208 ",B01,平鎮分局,91.0,
A0042,臺灣古河電磁線(股)公司,湧安里,"24.897894 ","121.199273 ",B01,平鎮分局,203.0,
A0045,敬鵬工業(股)公司,湧安里,"24.898826 ","121.204695 ",B01,平鎮分局,150.0,
A0046,錦群實業(股)公司,湧安里,24.897951,121.2048716,B01,平鎮分局,172.0,
A0049,創宇科技工業(股)公司,湧光里,24.8986313,121.2050109,B01,平鎮分局,90.0,
