類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備考
政府機關,番路鄉公所,5-01-001,下坑村,嘉義縣番路鄉下坑村菜公店101號,"23.46458, 120.55421",地下1樓,588.0,
政府機關,番路鄉老人活動中心及托兒所,5-01-002,下坑村,嘉義縣番路鄉下坑村菜公店101之5.6號,"23.46453, 120.55405",地下1樓,625.0,
大樓,嘉南第一景,5-01-003,江西村,嘉義縣番路鄉江西村19號,"23.47709, 120.51772",地下2、3樓,2917.0,
政府機關,大埔鄉市場活動中心,5-02-001,大埔村,嘉義縣大埔鄉大埔村162之9號,"23.29863, 120.59377",地下1樓,602.0,
市場,大埔鄉公有中心,5-02-002,大埔村,嘉義縣大埔鄉大埔村148號,"23.29909, 120.59387",地下1樓,205.0,
金融機構,竹崎地區農會大埔分會,5-02-003,大埔村,嘉義縣大埔鄉大埔村257號,"23.29918, 120.59349",地下1樓,86.0,不對外開放
政府機關,大埔鄉公所(市場),5-02-004,大埔村,嘉義縣大埔鄉大埔村162之6號,"23.29477, 120.59357",地下1樓,102.0,
飯店,大埔山莊,5-02-005,大埔村,嘉義縣大埔鄉大埔村200之1號,"23.29612, 120.58759",地下1樓,215.0,
政府機關,中埔消防分隊,5-03-001,中埔村,嘉義縣中埔鄉中埔村中正路64號,"23.4251, 120.52372",地下1樓,70.0,
電信公司,中華電信中埔服務中心,5-03-002,中埔村,嘉義縣中埔鄉中埔村80之4號,"23.42192, 120.52155",地下1樓,642.0,不對外開放
金融機構,中埔郵局,5-03-003,中埔村,嘉義縣中埔鄉中埔村167號,"23.4247, 120.52312",地下1樓,167.0,不對外開放
集合式住宅,金僑建設公司,5-03-004,中埔村,嘉義縣中埔鄉中埔村80之11號,"23.42301, 120.52212",地下1樓,1083.0,
金融機構,中埔農會,5-03-005,中埔村,嘉義縣中埔鄉中埔村中正路75號,"23.42541, 120.52331",地下1樓,413.0,不對外開放
學校,黎明國小,5-04-001,觸口村,嘉義縣番路鄉觸口村164號,"23.43887, 120.60445",地下1樓,171.0,
工廠行號,綺泰企業股份有限公司,5-05-001,富收村,嘉義縣中埔鄉富收村興化廍23之4號,"23.44248, 120.47408",地下1樓,26.0,
工廠行號,信效化工廠,5-05-002,金蘭村,嘉義縣中埔鄉金蘭村頂山門11之2號,"23.4452, 120.50038",地下1樓,50.0,
大樓,德賀大樓(一貫道),5-05-003,富收村,嘉義縣中埔鄉富收村9鄰庄內1之9號,"23.44504, 120.49478",地下1樓,870.0,
電信公司,中華電信和睦機房,5-06-001,和睦村,嘉義縣中埔鄉和睦村4鄰中山路5段599號,"23.45112, 120.46667",地下1樓,415.0,不對外開放
公寓,楊鎰澤,5-06-002,和興村,嘉義縣中埔鄉和興村1鄰中山路5段901號,"23.45233, 120.46021",地下1樓,158.0,
電力公司,台電公司和美變電所,5-06-003,和美村,嘉義縣中埔鄉和美村1鄰司公廍7之3號,"23.4513, 120.48138",地下1樓,33.0,不對外開放
金融機構,京城銀行中埔分行,5-06-004,和睦村,嘉義縣中埔鄉和睦村8鄰中山路5段867號,"23.4516, 120.46083",地下1樓,470.0,不對外開放
醫院,仁友醫院和睦分院(陳枝旺),5-06-005,和睦村,嘉義縣中埔鄉和睦村23鄰中華路398號,"23.43923, 120.45401",地下1樓,2061.0,
工廠行號,林鴻玉(三洋機電),5-06-006,和興村,嘉義縣中埔鄉和興村1鄰中山路5段987之1號,"23.45417, 120.45949",地下1樓,147.0,
學校,和興國民小學,5-06-007,和興村,嘉義縣中埔鄉和興村33鄰和興路91號,"23.44307, 120.45349",地下1樓,1053.0,
