類別,電腦編號,村里別,地址,備註,緯度,經度,地下樓層數,可容納人數
后盤村公所,732.0,后盤村,金門縣金寧鄉后盤村2鄰后盤山33號,,24.43825,118.34488,1.0,111.0
金門大學,733.0,盤山村,金門縣金寧鄉盤山村23鄰大學路1號,,24.44517,118.32669,1.0,2222.0
金寧鄉公所,734.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村1號,,24.45096,118.33488,1.0,364.0
金寧分駐所,735.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村2號,,24.45143964,118.335299,1.0,222.0
金寧衛生所,736.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村2-1號,,24.45119941,118.3350622,1.0,222.0
金門地政局,737.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村3號,,24.45041,118.3344,1.0,111.0
更生保護會,738.0,盤山村,金門縣金寧鄉盤山村18鄰仁愛新村5號,,24.45182054,118.3349296,1.0,377.0
烈嶼分駐所,739.0,林湖村,金門縣烈嶼鄉林湖村西路37號,,24.44594,118.25209,1.0,55.0
卓環國小,740.0,林湖村,金門縣烈嶼鄉林湖村西路23號,,24.43150139,118.2464006,1.0,7.0
烈嶼公車站,741.0,林湖村,金門縣烈嶼鄉林湖村湖下35號,,24.42691517,118.2571147,1.0,22.0
烈嶼鄉公所,742.0,林湖村,金門縣烈嶼鄉林湖村西路60號,,24.43844,118.24342,1.0,1041.0
西口國小,745.0,西口村,金門縣烈嶼鄉西口村西方69號,,24.41097,118.29851,1.0,40.0
署立金門醫院烈嶼分院,746.0,上林村,金門縣烈嶼鄉上林村后井37號,,24.43482,118.23731,1.0,66.0
烈嶼國中,747.0,上林村,金門縣烈嶼鄉上林村后井38號,,24.43221,118.2435,1.0,146.0
上岐國小,749.0,上岐村,金門縣烈嶼鄉上岐村青岐123號,,24.42101,118.23492,1.0,11.0
海福飯店,751.0,西門里,金門縣金城鎮民權路85號,,24.43887,118.31972,1.0,141.0
金帝飯店,752.0,西門里,金門縣金城鎮民權路107號,,24.4339,118.31554,1.0,107.0
新華僑之家,753.0,西門里,金門縣金城鎮光前路147號,,24.43582,118.31278,1.0,132.0
外武廟管理委員會,754.0,西門里,金門縣金城鎮光前路72號,,24.43301,118.31542,1.0,111.0
華欣商務旅館,755.0,西門里,金門縣金城鎮莒光路156號之2,,24.43355,118.31632,1.0,95.0
臺灣中小型企業銀行,756.0,西門里,金門縣金城鎮民權路116號,,24.43608,118.31739,1.0,257.0
中華電信,757.0,西門里,金門縣金城鎮民權路182號,,24.43673,118.31755,1.0,555.0
金瑞飯店,758.0,西門里,金門縣金城鎮民權路166號,,24.43686,118.31805,1.0,111.0
大同之家,759.0,西門里,金門縣金城鎮民生路72號,,24.43474,118.31795,1.0,55.0
金信大樓,761.0,北門里,金門縣金城鎮北門里民生路25號,,24.43482,118.31948,2.0,416.0
IN99飯店,762.0,北門里,金門縣金城鎮北門里民生路16號,,24.43442,118.31979,1.0,72.0
群力建設開發有限公司,763.0,北門里,金門縣金城鎮北門里中興路205巷2號,,24.43427,118.31877,2.0,360.0
浯江飯店,764.0,賢庵里,金門縣金城鎮賢庵里西海路三段100號,,24.42233,118.31131,1.0,222.0
金芬芳股份有限公司,765.0,賢庵里,金門縣金城鎮賢庵里16鄰古區2-2號,,24.40847332,118.3132114,1.0,217.0
大樓,767.0,西門里,金門縣金城鎮西門里民權路226巷2弄11號,,24.43782,118.32859,1.0,721.0
金城聯,769.0,榜林村,金門縣金寧鄉榜林村29鄰伯玉路一段232號,,24.43627,118.32788,1.0,23.0
陸島酒店,770.0,湖埔村,金門縣金寧鄉湖埔村19鄰下埔下90號,,24.43687,118.32798,1.0,55.0
大樓,950.0,西門里,金門縣金城鎮西門里珠浦北路46號之2,,24.46392,118.32451,1.0,145.0
大樓,951.0,東門里,金門縣金城鎮東門里浯江北堤路31號,,24.43435,118.31646,1.0,135.0
大樓,952.0,南門里,金門縣金城鎮南門里民族路199號,,24.42932,118.31623,1.0,188.0
大樓,953.0,南門里,金門縣金城鎮南門里光前路39號之6,,24.43014,118.31699,1.0,58.0
寶雅,955.0,榜林村,金門縣金寧鄉榜林村伯玉路一段232-2號,,24.43413,118.31246,1.0,473.0
大樓,956.0,西門里,金門縣金城鎮西門里民權路202號,,24.43627,118.32788,1.0,158.0
大樓,957.0,西門里,金門縣金城鎮西門里民權路226巷4弄10號,,24.43608,118.31739,1.0,114.0
大樓,958.0,榜林村,金門縣金寧鄉榜林村伯玉路一段234-1號,,24.43337,118.31241,1.0,300.0
大樓,959.0,東門里,金門縣金城鎮東門里民族路93巷5弄17號,,24.43324,118.32493,1.0,165.0
寶雅,960.0,榜林村,金門縣金寧鄉榜林村伯玉路一段232-3號,,24.43384,118.31195,1.0,473.0
大樓,962.0,盤山村,金門縣金寧鄉盤山村頂堡5-9號,,24.44742,118.34083,1.0,350.0
湖埔國小,963.0,湖埔村,金門縣金寧鄉湖埔村湖下196號,,24.4322,118.33032,1.0,350.0
大樓,964.0,榜林村,金門縣金寧鄉榜林村伯玉路一段234號,,24.43764,118.32877,1.0,284.0
金門縣議會,965.0,東門里,金門縣金城鎮東門里金山路17之2號,,24.42829,118.32304,1.0,644.0
大樓,966.0,湖埔村,金門縣金寧鄉湖埔村湖峰一街8號,,24.45251,118.30497,1.0,133.0
大樓,967.0,湖埔村,金門縣金寧鄉湖埔村6鄰湖下293號,,24.45804,118.30545,1.0,1279.0
大樓,968.0,北門里,金門縣金城鎮北門里5鄰珠浦北路29巷6號,,24.43378,118.3179,1.0,282.0
公寓,969.0,盤山村,金門縣金寧鄉盤山村25鄰伯玉路二段680巷213號,,24.44398,118.34353,1.0,398.0
大樓,970.0,湖埔村,金門縣金寧鄉湖埔村26鄰湖峰二街18號,,24.4559,118.30691,1.0,365.0
大樓,971.0,湖埔村,金門縣金寧鄉湖埔村26鄰湖峰路18號,,24.45365,118.30598,1.0,98.0
大樓,972.0,南門里,金城鎮珠浦南路44巷12弄3之1號,,24.431615,118.31578,1.0,80.0,金城鎮珠浦南路44巷12弄3之1號
私人住宅,973.0,湖埔村,金門縣金寧鄉湖埔村湖峰路65號,,24.45365,118.30598,1.0,106.0,金門縣金寧鄉湖埔村湖峰路65號
私人住宅,974.0,湖埔村,金門縣金寧鄉湖埔村7鄰湖峰7街1號,,24.4536,118.30543,2.0,1382.0,金門縣金寧鄉湖埔村7鄰湖峰7街1號
私人住宅,975.0,西門里,金門縣金城鎮西門里44鄰民權路226巷3弄20號,,24.43987,118.36963,1.0,113.0,金門縣金城鎮西門里44鄰民權路226巷3弄20號
金門郵局,976.0,北門里,金門縣金城鎮北門里24鄰民生路4號,,24.4346,118.31969,1.0,204.0
