類別,檔案卡電腦編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,placemark_address
捷運民權西路站,,民權里,臺北市大同區民權西路72號,1、2、3,30228.0,臺北市大同區民權西路72號
捷運雙連站,,雙連里,臺北市大同區民生西路47號,1、2,21544.0,臺北市大同區民生西路47號
捷運北門站,,玉泉里,臺北市大同區塔城街10號,1、2、3,29858.0,臺北市大同區塔城街10號
捷運大橋頭站,,隆和里,臺北市大同區民權西路223號,1、2,11421.0,臺北市大同區民權西路223號
捷運中山站,,民安里,臺北市中山區南京西路16號,1、2、3、4,37952.0,臺北市中山區南京西路16號
捷運松江南京站,,中吉里,臺北市中山區松江路126號,1、2、3、4,35690.0,臺北市中山區松江路126號
捷運行天宮站,,新生里,臺北市中山區松江路316號,1、2、3,19086.0,臺北市中山區松江路316號
捷運中山國小站,,恆安里,臺北市中山區民權東路一段71號,1、2,9037.0,臺北市中山區民權東路一段71號
捷運大直站,,永安里,臺北市中山區北安路534之1號,1、2,10153.0,臺北市中山區北安路534之1號
