類別,電腦編號,村里別,地下層數位址,可容納人數,轄管分局,備註
大樓,EOA00001,一心里,1.0,"1,597 ",大溪分局,
公寓,EOA00003,一德里,1.0,"61 ",大溪分局,
公寓,EOA00004,一德里,1.0,"29 ",大溪分局,
公寓,EOA00005,一心里,1.0,"354 ",大溪分局,
公寓,EOA00006,月眉里,1.0,"160 ",大溪分局,
公寓,EOA00007,一德里,1.0,"68 ",大溪分局,
公寓,EOA00008,一德里,1.0,"42 ",大溪分局,
公寓,EOA00009,一德里,1.0,"77 ",大溪分局,
公寓,EOA00010,月眉里,1.0,"240 ",大溪分局,
公寓,EOA00011,一德里,1.0,"84 ",大溪分局,
公寓,EOA00012,一心里,1.0,"46 ",大溪分局,
公寓,EOA00013,一心里,1.0,"46 ",大溪分局,
公寓,EOA00014,一心里,1.0,"536 ",大溪分局,
公寓,EOA00016,一心里,1.0,"422 ",大溪分局,
公寓,EOA00017,一心里,1.0,"366 ",大溪分局,
公寓,EOA00018,一心里,1.0,"509 ",大溪分局,
公寓,EOA00019,一心里,1.0,"862 ",大溪分局,
公寓,EOA00020,一心里,1.0,"577 ",大溪分局,
公寓,EOA00021,一心里,1.0,"245 ",大溪分局,
公寓,EOA00022,一心里,1.0,"133 ",大溪分局,
公寓,EOA00024,一德里,1.0,"260 ",大溪分局,
公寓,EOA00025,一德里,1.0,"346 ",大溪分局,
大樓,EOA00027,一德里,1.0,"1,714 ",大溪分局,
銀行,EOA00028,一心里,1.0,"229 ",大溪分局,桃園市大溪區復興路168號
公寓,EOA00029,一心里,1.0,"892 ",大溪分局,
公寓,EOA00030,一心里,1.0,"204 ",大溪分局,
公寓,EOA00031,一德里,1.0,"696 ",大溪分局,
大樓,EOA00032,一心里,1.0,"1,773 ",大溪分局,
公寓,EOA00033,一心里,1.0,"653 ",大溪分局,
公寓,EOA00034,一心里,1.0,"309 ",大溪分局,
公寓,EOA00035,一心里,1.0,"946 ",大溪分局,
大樓,EOA00038,一德里,1.0,"1,062 ",大溪分局,
大樓,EOA00039,一心里,1.0,"1,986 ",大溪分局,
大樓,EOA00040,一心里,1.0,"885 ",大溪分局,
大樓,EOA00041,一心里,1.0,"489 ",大溪分局,
銀行,EOA00043,一心里,1.0,"1,272 ",大溪分局,桃園市大溪區信義路43號
公寓,EOA00044,南興里,1.0,"570 ",大溪分局,
公寓,EOA00045,南興里,1.0,"300 ",大溪分局,
公寓,EOA00046,仁善里,1.0,"53 ",大溪分局,
公寓,EOA00048,南興里,1.0,"178 ",大溪分局,
公寓,EOA00050,南興里,1.0,"213 ",大溪分局,
公寓,EOA00051,南興里,1.0,"533 ",大溪分局,
公寓,EOA00052,仁善里,1.0,"276 ",大溪分局,
公寓,EOA00053,仁愛里,1.0,"400 ",大溪分局,
大樓,EOA00054,仁武里,1.0,"1,020 ",大溪分局,
公寓,EOA00056,瑞源里,1.0,"168 ",大溪分局,
公寓,EOA00057,瑞源里,1.0,"25 ",大溪分局,
大樓,EOA00059,瑞源里,1.0,"1,568 ",大溪分局,
公寓,EOA00060,光明里,1.0,"130 ",大溪分局,
公寓,EOA00061,三元里,1.0,"476 ",大溪分局,
公寓,EOA00062,光明里,1.0,"492 ",大溪分局,
公寓,EOA00063,瑞源里,1.0,"420 ",大溪分局,
大樓,EOA00064,瑞源里,1.0,"1,026 ",大溪分局,
公寓,EOA00065,義和里,1.0,"24 ",大溪分局,
公寓,EOA00067,康安里,1.0,"644 ",大溪分局,
公寓,EOA00068,復興里,1.0,"184 ",大溪分局,
大樓,EOA00071,瑞興里,1.0,"1,300 ",大溪分局,
大樓,EOA00072,瑞興里,1.0,"2,758 ",大溪分局,
大樓,"EOA00073 ",美華里,2.0,"2,464 ",大溪分局,
大樓,EOA00074,永福里,1.0,"1,584 ",大溪分局,
大樓,EOA00075,永福里,1.0,"1,584 ",大溪分局,
公寓,EOA00076,澤仁里,1.0,"145 ",大溪分局,
公寓,EOA00077,興和里,1.0,"269 ",大溪分局,
公寓,EOA00078,田心里,1.0,"246 ",大溪分局,
大樓,EOA00079,一德里,1.0,"996 ",大溪分局,
大樓,EOA00080,一德里,1.0,"906 ",大溪分局,
大樓,EOA00081,一心里,1.0,"1,688 ",大溪分局,
大樓,EOA00082,一心里,1.0,"253 ",大溪分局,
公寓,EOA00083,一德里,1.0,"1,333 ",大溪分局,
大樓,EOA00084,一德里,1.0,"1,333 ",大溪分局,
大樓,EOA00085,一德里,1.0,"600 ",大溪分局,
公寓,EOA00088,一心里,1.0,"1,200 ",大溪分局,
公寓,EOA00089,興和里,1.0,"570 ",大溪分局,
公寓,EOA00090,興和里,1.0,"40 ",大溪分局,
公寓,EOA00091,瑞興里,1.0,"570 ",大溪分局,
公寓,EOA00092,田心里,1.0,"684 ",大溪分局,
公寓,EOA00094,月眉里,1.0,"117 ",大溪分局,
公寓,EOA00095,一德里,1.0,"56 ",大溪分局,
銀行,EOA00096,興和里,1.0,"276 ",大溪分局,桃園市大溪區康莊路111號
公寓,EOA00097,一心里,1.0,"72 ",大溪分局,
公寓,EOA00098,一德里,1.0,"178 ",大溪分局,
公寓,EOA00099,一德里,1.0,"221 ",大溪分局,
電信,EOA00101,一心里,1.0,"573 ",大溪分局,桃園市大溪區慈湖路78號
