電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
,建國里,臺北市中正區寶慶路32-1號,"25.041855,121.508775",1、2、3,34816.0,中正第一分局,
,黎明里,臺北市中正區忠孝西路一段49號,"25.047066,121.51767",1、2、3、4,41366.0,中正第一分局,,臺北市中正區忠孝西路一段49號
,幸福里,臺北市中正區忠孝東路一段58號,"25.044554,121.523529",1、2,19817.0,中正第一分局,,臺北市中正區忠孝東路一段58號
,頂東里,臺北市中正區羅斯福路二段164-1號,"25.025537,121.523303",1、2、3,15852.0,中正第二分局,
,龍福里,臺北市中正區羅斯福路一段8之1號,"25.0351404,121.517113
",1、2、3,15824.0,中正第二分局,
,南門里,臺北市中正區愛國西路22號,"25.03527,121.511088",1、2,11529.0,中正第二分局,
,林興里,臺北市中正區羅斯福路三段126之5號,"25.02061,121.527697",1、2,11548.0,中正第二分局,,臺北市中正區羅斯福路三段126之5號
,水源里,臺北市中正區羅斯福路四段74號,"25.014289,121.534509",1、2,14500.0,中正第二分局,,臺北市中正區羅斯福路四段74號
,景新里,臺北市信義區信義路五段20號,"25.0330461661484,121.563273833278",1、2,17813.0,信義分局,,臺北市信義區信義路五段20號
,三犁里,臺北市信義區信義路五段152號,"25.032464,121.569999",1、2,15256.0,信義分局,,臺北市信義區信義路五段152號
,富台里,臺北市信義區忠孝東路五段455號,"25.041049,121.57651",1、2,12742.0,信義分局,,臺北市信義區忠孝東路五段455號
,興雅里,臺北市信義區忠孝東路五段2號,"25.040963,121.564805",1、2,12453.0,信義分局,,臺北市信義區忠孝東路五段2號
,興隆里,臺北市信義區忠孝東路四段400號,"25.041134,121.557901",1、2,8625.0,信義分局,
,永康里,臺北市大安區信義路二段166號,"25.033693,121.529439",1、2、3、4,22034.0,大安分局,,臺北市大安區信義路二段166號
,龍門里,臺北市大安區信義路三段100號,"25.033322,121.536285",1、2,24220.0,大安分局,,臺北市大安區信義路三段100號
,住安里,臺北市大安區信義路四段6號,"25.033128,121.544127",1、2,21690.0,大安分局,,臺北市大安區信義路四段6號
,光武里,臺北市大安區忠孝東路四段47號,"25.041778,121.544984",1、2、3、4,16658.0,大安分局,,臺北市大安區忠孝東路四段47號
,義安里,臺北市大安區信義路四段212-1號,"25.033037,121.551996",1、2,15240.0,大安分局,,臺北市大安區信義路四段212-1號
,建倫里,臺北市大安區忠孝東路四段182號,"25.041264,121.551717",1、2、3,9880.0,大安分局,,臺北市大安區忠孝東路四段182號
,民炤里,臺北市大安區新生南路一段67號,"25.042455,121.533216",1、2、3,32534.0,大安分局,
,黎明里,臺北市中正區公園路52號,"25.040934,121.515817",1、2,6421.0,中正第一分局,,臺北市中正區公園路52號
