編號,里別,地址,可容納人數,經度,緯度,避難所在之地下樓層數,轄管分局
1.0,藍興里,臺中市西區藍興里06鄰公館路179號,103.0,120.668211,24.135386,1.0,第一分局
2.0,藍興里,臺中市西區藍興里25鄰大新街72號,184.0,120.667877,24.134886,1.0,第一分局
3.0,藍興里,臺中市西區藍興里25鄰大新街76號,88.0,120.667816,24.134948,1.0,第一分局
4.0,藍興里,臺中市西區藍興里25鄰大新街82號,87.0,120.667725,24.135026,1.0,第一分局
5.0,藍興里,臺中市西區藍興里26鄰大新街100號,65.0,120.667407,24.135304,1.0,第一分局
6.0,藍興里,臺中市西區藍興里26鄰大新街102號,87.0,120.667378,24.135331,1.0,第一分局
7.0,藍興里,臺中市西區藍興里26鄰大新街114號,87.0,120.667195,24.135486,1.0,第一分局
8.0,藍興里,臺中市西區藍興里26鄰大新街118號,49.0,120.667132,24.135539,1.0,第一分局
9.0,藍興里,臺中市西區藍興里26鄰大新街120號,49.0,120.667097,24.13557,1.0,第一分局
10.0,東昇里,臺中市西區東昇里12鄰朝陽街63號,263.0,120.6696544,24.13576158,1.0,第一分局
11.0,東昇里,臺中市西區東昇里10鄰朝陽街59之3號,119.0,120.669779,24.135574,1.0,第一分局
12.0,東昇里,臺中市西區東昇里16鄰朝陽街123號,187.0,120.668322,24.136804,1.0,第一分局
13.0,東昇里,臺中市西區東昇里12鄰朝陽街71號,212.0,120.669403,24.13587,1.0,第一分局
14.0,東昇里,臺中市西區東昇里11鄰樂群街216巷3號,134.0,120.668605,24.135767,1.0,第一分局
15.0,東昇里,臺中市西區東昇里017鄰樂群街216巷29號,161.0,120.6682905,24.13619596,1.0,第一分局
16.0,東昇里,臺中市西區東昇里11鄰樂群街216巷4號,123.0,120.668761,24.136005,1.0,第一分局
17.0,東昇里,臺中市西區東昇里017鄰柳川東路二段100號,117.0,120.6677202,24.13654597,1.0,第一分局
18.0,東昇里,臺中市西區東昇里16鄰柳川東路二段110號,197.0,120.668192,24.136683,1.0,第一分局
19.0,東昇里,臺中市西區東昇里11鄰樂群街236號,200.0,120.668589,24.135503,1.0,第一分局
20.0,藍興里,臺中市西區藍興里25鄰樂群街238號,106.0,120.668307,24.135217,1.0,第一分局
21.0,藍興里,臺中市西區藍興里25鄰樂群街246號,92.0,120.668165,24.135124,1.0,第一分局
22.0,藍興里,臺中市西區藍興里25鄰樂群街258號,184.0,120.667996,24.134903,1.0,第一分局
23.0,藍興里,臺中市西區藍興里25鄰樂群街260號,184.0,120.667966,24.134872,1.0,第一分局
24.0,藍興里,臺中市西區藍興里25鄰樂群街209號,134.0,120.66852,24.135103,1.0,第一分局
25.0,東昇里,臺中市西區東昇里03鄰樂群街93號,20.0,120.670627,24.137108,1.0,第一分局
26.0,東昇里,臺中市西區東昇里02鄰樂群街123號,230.0,120.669904,24.136403,1.0,第一分局
27.0,東昇里,臺中市西區東昇里08鄰樂群街200號,340.0,120.66913,24.136004,1.0,第一分局
28.0,東昇里,臺中市西區東昇里08鄰樂群街222號,94.0,120.6688,24.135688,1.0,第一分局
29.0,東昇里,臺中市西區東昇里02鄰貴和街35號,216.0,120.670343,24.136347,1.0,第一分局
30.0,東昇里,臺中市西區東昇里02鄰貴和街36號,102.0,120.6704348,24.13689043,1.0,第一分局
31.0,東昇里,臺中市西區東昇里02鄰貴和街53號,321.0,120.6697358,24.13690061,1.0,第一分局
32.0,東昇里,臺中市西區東昇里04鄰貴和街32號,694.0,120.670452,24.136626,1.0,第一分局
33.0,東昇里,臺中市西區東昇里09鄰大全街58巷12號,287.0,120.6700716,24.13649609,1.0,第一分局
34.0,藍興里,臺中市西區藍興里08鄰大全街55號,103.0,120.669437,24.134215,1.0,第一分局
35.0,藍興里,臺中市西區藍興里08鄰大全街69號,93.0,120.669152,24.133955,1.0,第一分局
36.0,三民里,臺中市西區三民里14鄰三民路一段181號,304.0,120.675162,24.138455,1.0,第一分局
37.0,三民里,臺中市西區三民里12鄰三民路一段170號,282.0,120.6748,24.137647,1.0,第一分局
38.0,三民里,臺中市西區三民里12鄰四維街43號,101.0,120.675194,24.137733,1.0,第一分局
39.0,三民里,臺中市西區三民里01鄰三民路一段194號,410.0,120.676606,24.139286,1.0,第一分局
40.0,三民里,臺中市西區三民里03鄰三民路一段171號,2699.0,120.67366,24.137805,1.0,第一分局
41.0,三民里,臺中市西區三民里09鄰公館路66號,104.0,120.67161,24.13293,1.0,第一分局
42.0,藍興里,臺中市西區藍興里08鄰公館路117號,91.0,120.669893,24.133883,1.0,第一分局
43.0,藍興里,臺中市西區藍興里08鄰公館路43號,400.0,120.671505,24.132591,2.0,第一分局
44.0,藍興里,臺中市西區藍興里22鄰三民路一段118號之6,1282.0,120.668353,24.130749,1.0,第一分局
