類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
基隆市政府,八斗001,八斗里,基隆市中正區漁港三街21號,0.0,595.0,
基隆市政府,八斗002,八斗里,基隆市中正區漁港三街168號,1.0,1497.0,
公寓,砂子001,砂子里,基隆市中正區調和街2之101號,1.0,2654.0,
公寓,砂子002,砂子里,基隆市中正區調和街1巷9號,1.0,238.0,
八斗國小,砂子003,砂子里,基隆市中正區北寧路396巷52號,0.0,225.0,
八斗國小,砂子004,砂子里,基隆市中正區北寧路396巷52號,1.0,353.0,
公寓,砂子005,砂子里,基隆市中正區北寧路390號,1.0,956.0,
大樓,砂子006,砂子里,基隆市中正區觀海街92號,4.0,25375.0,
公寓,砂子007,砂子里,基隆市中正區觀海街203號,3.0,20632.0,
基隆市政府,砂子008,砂子里,基隆市中正區北寧路396巷52號,1.0,755.0,
公寓,砂子009,砂子里,基隆市中正區調和街210號,1.0,1349.0,
八斗國小,砂子010,砂子里,基隆市中正區北寧路396巷52號,0.0,435.0,
公寓,砂子011,砂子里,基隆市中正區調和街298號,3.0,6870.0,
公寓,砂子012,砂子里,基隆市中正區北寧路367號,2.0,19380.0,
公寓,新富001,新富里,基隆市中正區新豐街303巷11弄21號,1.0,2690.0,
公寓,新富002,新富里,基隆市中正區新豐街343之1號,2.0,4574.0,
公寓,新富003,新富里,基隆市中正區新豐街161巷98號,1.0,1210.0,
公寓,新富004,新富里,基隆市中正區新豐街205巷9號,1.0,445.0,
公寓,新富005,新富里,基隆市中正區新豐街161巷53號,1.0,785.0,
公寓,新富006,新富里,基隆市中正區新豐街251巷9弄1號,0.0,1022.0,
公寓,新豐001,新豐里,基隆市中正區新豐街106號,1.0,324.0,
公寓,新豐002,新豐里,基隆市中正區新豐街333巷8號,2.0,4478.0,
公寓,新豐003,新豐里,基隆市中正區新豐街333巷30號,2.0,3350.0,
公寓,新豐004,新豐里,基隆市中正區新豐街344號,2.0,12755.0,
公寓,新豐005,新豐里,基隆市中正區新豐街136號1樓,1.0,667.0,
大樓,新豐006,新豐里,基隆市中正區新豐街290號,4.0,14001.0,
大樓,新豐007,新豐里,基隆市中正區新豐街466號,2.0,34910.0,
公寓,新豐008,新豐里,基隆市中正區新豐街162巷3號,1.0,1295.0,
公寓,新豐009,新豐里,基隆市中正區新豐里新豐街162巷31號,2.0,577.0,
公寓,新豐010,新豐里,基隆市中正區新豐里新豐街162巷13號,3.0,2195.0,
公寓,新豐011,新豐里,基隆市中正區新豐街162巷65號,2.0,2256.0,
公寓,新豐012,新豐里,基隆市中正區新豐街162巷73號,2.0,2286.0,
公寓,新豐013,新豐里,基隆市中正區新豐街162巷125號,3.0,4913.0,
公寓,碧砂001,碧砂里,基隆市中正區北寧路237號,1.0,704.0,
公寓,碧砂002,碧砂里,基隆市中正區北寧路364號,1.0,205.0,
基隆市政府,碧砂003,碧砂里,基隆市中正區環港街84號,1.0,375.0,
基隆市漁會,碧砂004,碧砂里,基隆市中正區環港街5號,1.0,1849.0,
公寓,碧砂005,碧砂里,基隆市中正區北寧路284號,1.0,933.0,
公寓,碧砂006,碧砂里,基隆市中正區北寧路296號,1.0,507.0,
電信總局,碧砂007,碧砂里,基隆市中正區環港街90號,1.0,267.0,
公寓,碧砂008,碧砂里,基隆市中正區北寧路250之6號,1.0,146.0,
忠孝國小,中正001,中正里,基隆市中正區中正路656巷150號,1.0,165.0,
公寓,中正002,中正里,基隆市中正區中正路672號,1.0,245.0,
基隆市政府,中正003,中正里,基隆市中正區中正路674號,1.0,370.0,
公寓,中濱001,中濱里,基隆市中正區中正路510號,1.0,210.0,
公寓,中濱002,中濱里,基隆市中正區中正路375號,3.0,1499.0,
公寓,中濱003,中濱里,基隆市中正區中正路381號1樓,1.0,513.0,
公寓,正濱001,正濱里,基隆市中正區中正路742號,1.0,215.0,
公寓,正濱002,正濱里,基隆市中正區正濱里6鄰中正路607號,1.0,990.0,
國立台灣海洋大學,海濱001,海濱里,基隆市中正區北寧路2號,1.0,1476.0,
國立台灣海洋大學,海濱002,海濱里,基隆市中正區北寧路2號,0.0,905.0,
國立台灣海洋大學,海濱003,海濱里,基隆市中正區北寧路2號,1.0,615.0,
國立台灣海洋大學,海濱004,海濱里,基隆市中正區北寧路2號,1.0,669.0,
國立台灣海洋大學,海濱005,海濱里,基隆市中正區北寧路2號,1.0,1004.0,
國立台灣海洋大學,海濱006,海濱里,基隆市中正區北寧路2號,1.0,174.0,
國立台灣海洋大學,海濱007,海濱里,基隆市中正區北寧路2號,1.0,4112.0,
國立台灣海洋大學,海濱008,海濱里,基隆市中正區北寧路2號,1.0,1357.0,
國立台灣海洋大學,海濱009,海濱里,基隆市中正區北寧路2號,1.0,638.0,
工廠,海濱010,海濱里,基隆市中正區北寧路67號,1.0,1710.0,
國立台灣海洋大學,海濱011,海濱里,基隆市中正區北寧路43號,0.0,922.0,
國立基隆高級海事職業學校,海濱012,海濱里,基隆市中正區祥豐街246號,1.0,605.0,
國立基隆高級海事職業學校,海濱013,海濱里,基隆市中正區祥豐街246號,1.0,408.0,
基隆市政府(基隆原住民會館),海濱014,海濱里,基隆市中正區正濱路116巷75號,1.0,628.0,
公寓,中砂001,中砂里,基隆市中正區豐稔街132號之1,2.0,555.0,
公寓,中砂002,中砂里,基隆市中正區正豐街36之1號2樓,1.0,698.0,
公寓,中砂003,中砂里,基隆市中正區豐稔街104號五樓,1.0,199.0,
公寓,中砂004,中砂里,基隆市中正區豐稔街118號,3.0,1547.0,
基隆市中正區公所,中砂005,中砂里,基隆市中正區中正路236號,2.0,2533.0,
公寓,正砂001,正砂里,基隆市中正區正榮街77巷53號,4.0,338.0,
"法務部調查局 法代人局長:吳東明",正砂003,正砂里,基隆市中正區中正路303號,1.0,813.0,
公寓,正砂004,正砂里,基隆市中正區正榮街28之4號,2.0,470.0,
公寓,正砂005,正砂里,基隆市中正區正榮街28之1號,2.0,427.0,
大樓,正砂006,正砂里,基隆市中正區中正路213號,1.0,572.0,
公寓,正砂007,正砂里,基隆市中正區正榮街59號,1.0,313.0,
公寓,正砂008,正砂里,基隆市中正區中正路400之3號,1.0,1886.0,
公寓,正砂009,正砂里,基隆市中正區中正路97號,2.0,611.0,
日盛國際商業銀行股份有限公司,正砂010,正砂里,基隆市中正區正砂里20鄰中正路335號,3.0,940.0,
行政院海岸巡防署海洋巡防總局,正砂011,正砂里,基隆市中正區中正路249號,1.0,1304.0,
基隆市立正濱國民中學,正砂012,正砂里,基隆市中正區正榮街88號,1.0,745.0,
公寓,正砂013,正砂里,基隆市中正區中正路315號,2.0,980.0,
大樓,正砂014,正砂里,基隆市中正區中正路331號,2.0,738.0,
公寓,正砂015,正砂里,基隆市中正區中正路464號,2.0,670.0,
國立台灣海洋大學,建國001,建國里,基隆市中正區祥豐街335號,1.0,1025.0,
財政部基隆關,建國002,建國里,基隆市中正區祥豐街198巷6號,0.0,1202.0,
基隆市私立二信高級中學,建國003,建國里,基隆市中正區立德路243號,1.0,759.0,
公寓,建國004,建國里,基隆市中正區立德路188號之1,1.0,226.0,
國立台灣海洋大學,建國005,建國里,基隆市中正區祥豐街237號,1.0,2884.0,
台灣省基隆市私立二信高級中學,建國006,建國里,基隆市中正區立德路243號,1.0,1817.0,
基隆市政府,建國007,建國里,基隆市中正區祥豐街216號,1.0,569.0,
基隆市政府,建國008,建國里,基隆市中正區祥豐街216號,1.0,2643.0,
二信學校財團法人基隆市二信高級中學,建國009,建國里,基隆市中正區立德路206號,1.0,835.0,
公寓,建國010,建國里,基隆市中正區祥豐街399號,1.0,722.0,
