電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,備註
1.0,萬丹里,南投縣名間鄉萬丹村新丹巷268號,23.875335,120.706086,1.0,466.0,國道公路警察局第七公路警察大隊,
2.0,萬丹里,南投縣名間鄉萬丹村新丹巷266號,23.875654,120.706207,1.0,466.0,國道公路警察局第七公路警察大隊,
