編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,備註,placemark_address
1.0,東路里,彰化縣田中鎮東路里南北街80號,田中鎮農會,地下室,1.0,160.0,JTA116,,彰化縣田中鎮東路里南北街80號
2.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司2,地下室,1.0,88.0,JTA011,,彰化縣田中鎮南路里興工路6號
3.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司3,地下室,1.0,375.0,JTA041,,彰化縣田中鎮南路里興工路6號
4.0,北路里,彰化縣田中鎮北路里新生街150巷20弄16號,大福地大廈,地下室,1.0,939.0,JTA120,,彰化縣田中鎮北路里新生街150巷20弄16號
5.0,北路里,彰化縣田中鎮北路里新生街112巷15號,名人市大廈,地下室,1.0,824.0,JTA128,,彰化縣田中鎮北路里新生街112巷15號
6.0,沙崙里,彰化縣田中鎮沙崙里中州路2段555號,兆陽興業公司,地下室,1.0,200.0,JTA043,,彰化縣田中鎮沙崙里中州路2段555號
7.0,沙崙里,彰化縣田中鎮沙崙里新工三路95號,大新工業區管理處,地下室,1.0,200.0,JTA048,,彰化縣田中鎮沙崙里新工三路95號
8.0,沙崙里,彰化縣田中鎮沙崙里中州路2段517號,東星製線公司,地下室,1.0,93.0,JTA049,,彰化縣田中鎮沙崙里中州路2段517號
9.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段96號,廣吉公司,地下室,1.0,33.0,JTA062,,彰化縣田中鎮沙崙里興酪路1段96號
10.0,沙崙里,彰化縣田中鎮沙崙里新工四路56號,天魁有限公司,地下室,1.0,84.0,JTA073,,彰化縣田中鎮沙崙里新工四路56號
11.0,沙崙里,彰化縣田中鎮沙崙里興酪路1段88號,三阪與業公司,地下室,1.0,84.0,JTA075,,彰化縣田中鎮沙崙里興酪路1段88號
12.0,沙崙里,彰化縣田中鎮沙崙里新工四路59號,伊諾華國際(原:川石照明工業),地下室,1.0,80.0,JTA098,,彰化縣田中鎮沙崙里新工四路59號
13.0,沙崙里,彰化縣田中鎮沙崙里酪農路50號,瑋新紙器公司,地下室,1.0,66.0,JTA099,,彰化縣田中鎮沙崙里酪農路50號
14.0,沙崙里,彰化縣田中鎮沙崙里新工四路36號,富竹實業公司,地下室,1.0,73.0,JTA117,,彰化縣田中鎮沙崙里新工四路36號
15.0,西路里,彰化縣田中鎮西路里斗中路1段198號,田中鎮公所,地下室,1.0,108.0,JTA006,,彰化縣田中鎮西路里斗中路1段198號
16.0,西路里,彰化縣田中鎮西路里建國路63巷18弄16號,天仁建設,地下室,1.0,100.0,JTA123,,彰化縣田中鎮西路里建國路63巷18弄16號
17.0,中潭里,彰化縣田中鎮中潭里員集路3段125巷54號,聖心修女會,地下室,1.0,492.0,JTA032,,彰化縣田中鎮中潭里員集路3段125巷54號
18.0,中潭里,彰化縣田中鎮中潭里員集路3段125巷34號,聖心堂,地下室,1.0,840.0,JTA134,,彰化縣田中鎮中潭里員集路3段125巷34號
19.0,仁雅村,彰化縣社頭鄉仁雅村中山路1段306號,啟智特殊教育學校,地下室,1.0,1900.0,JTA126,,彰化縣社頭鄉仁雅村中山路1段306號
20.0,松竹村,彰化縣社頭鄉松竹村社石路956號,舊社國小1,地下室,1.0,671.0,JTA140,,彰化縣社頭鄉松竹村社石路956號
21.0,松竹村,彰化縣社頭鄉松竹村社石路956號,舊社國小2,地下室,1.0,853.0,JTA130,,彰化縣社頭鄉松竹村社石路956號
22.0,新厝村,彰化縣社頭鄉新厝村永興路30號之35,峰暉塑膠公司,地下室,1.0,30.0,JTA025,,彰化縣社頭鄉新厝村永興路30號之35
23.0,聖化村,彰化縣二水鄉聖化村溪邊巷72號,二水鄉圖書館,地下室,1.0,912.0,JTA135,,彰化縣二水鄉聖化村溪邊巷72號
24.0,文化村,彰化縣二水鄉文化村光文路119號,二水國民小學活動中心1,地下室,1.0,1740.0,JTA030,,彰化縣二水鄉文化村光文路119號
25.0,文化村,彰化縣二水鄉文化村光文路119號,二水國民小學活動中心2,地下室,1.0,965.0,JTA138,,彰化縣二水鄉文化村光文路119號
26.0,裕民村,彰化縣二水鄉裕民村員集路3段295號,二水示範公墓,地下室,1.0,200.0,JTA042,,彰化縣二水鄉裕民村員集路3段295號
27.0,裕民村,彰化縣二水鄉裕民村南通路2段530號,錦懋興業公司,地下室,1.0,144.0,JTA039,,彰化縣二水鄉裕民村南通路2段530號
