類別,電腦編號,里別,緯經度,地下層數位址,可容納人數,轄管分局,停車場坡道,備註
大樓,B0063,復興里,"24.953862,121.205208",1.0,213.0,平鎮分局,○,
大樓,B0064,復旦里,"24.953923,121.202835",2.0,1177.0,平鎮分局,○,
大樓,B0065,平興里,"24.944238,121.201134",1.0,658.0,平鎮分局,,
大樓,B0067,復旦里,"24.942274,121.190871",2.0,12938.0,平鎮分局,○,桃園市平鎮區復旦里復旦路150巷255弄23號
公司,B0068,雙連里,"24.959711,121.182225",1.0,5120.0,平鎮分局,○,
育達高中,B0069,廣達里,"24.951907,121.209573",1.0,1581.0,平鎮分局,,
大樓,B0072,義民里,"24.947799,121.204172",1.0,542.0,平鎮分局,○,
大樓,B0073,復興里,"24.950624,121.205221",1.0,240.0,平鎮分局,○,
大樓,B0075,廣興里,"24.953852,121.213690",1.0,3820.0,平鎮分局,,
大樓,B0076,復興里,"24.952889,121.205318",1.0,534.0,平鎮分局,○,
大樓,B0077,義民里,"24.948065,121.203941",2.0,1356.0,平鎮分局,○,
大樓,B0078,復旦里,"24.956868,121.202697",3.0,3248.0,平鎮分局,○,
醫院,B0079,廣達里,"24.956885,121.203366",1.0,1686.0,平鎮分局,○,桃園市平鎮區廣達里民族路199號
大樓,B0080,義民里,"24.944254,121.208994",1.0,3902.0,平鎮分局,,
公司,B0081,復興里,"24.953297,121.206477",1.0,599.0,平鎮分局,,
大樓,B0082,義興里,"24.950100,121.213887",1.0,4236.0,平鎮分局,○,
透天,B0083,廣達里,"24.956451,121.209197",1.0,29.0,平鎮分局,,
透天,B0084,廣達里,"24.956392,121.209507",1.0,29.0,平鎮分局,,
大樓,B0086,復興里,"24.951428,121.205236",1.0,1868.0,平鎮分局,,
透天,B0091,廣達里,"24.951816,121.206900",1.0,76.0,平鎮分局,,
大樓,B0096,義民里,"24.946519,121.203441",2.0,1030.0,平鎮分局,,
大樓,B0097,平興里,"24.942452,121.205775",3.0,5826.0,平鎮分局,○,
大樓,B0098,復旦里,"24.947150,121.201342",1.0,3452.0,平鎮分局,○,
醫院,B0099,義興里,"24.948194,121.211437",1.0,1341.0,平鎮分局,○,
大樓,B0100,復興里,"24.956387,121.204596",1.0,2152.0,平鎮分局,○,
大樓,B0102,平興里,"24.944330,121.204526",1.0,633.0,平鎮分局,,
大樓,B0103,平興里,"24.944330,121.204526",1.0,704.0,平鎮分局,○,
透天,B0104,復旦里,"24.955494,121.202915",1.0,4785.0,平鎮分局,○,
公寓,B0105,廣達里,"24.957052,121.207658",1.0,160.0,平鎮分局,○,
大樓,B0106,復興里,"24.956414,121.204381",1.0,730.0,平鎮分局,○,
大樓,B0107,義興里,"24.950771,121.216427",1.0,2014.0,平鎮分局,,桃園市平鎮區義興里延平路二段1號
大樓,B0108,義民里,"24.950255,121.214140",1.0,2675.0,平鎮分局,○,
大樓,B0109,平興里,"24.944403,121.205588",2.0,6265.0,平鎮分局,○,
六和高中,B0110,雙連里,"24.945228,121.185949",1.0,4925.0,平鎮分局,,
大樓,B0111,廣興里,"24.950324,121.213796",1.0,5513.0,平鎮分局,○,
大樓,B0112,雙連里,"24.965628,121.188105",1.0,1130.0,平鎮分局,,桃園市平鎮區雙連里中央路21號
公司,B0113,高雙里,"24.956758,121.197231",1.0,237.0,平鎮分局,,
大樓,B0114,平興里,"24.942866,121.201885",3.0,2589.0,平鎮分局,○,
大樓,B0115,廣達里,"24.956757,121.207647",1.0,3561.0,平鎮分局,○,
大樓,B0116,高雙里,"24.956344,121.190068",3.0,1993.0,平鎮分局,○,
醫院,B0117,義民里,"24.947184,121.206039",1.0,556.0,平鎮分局,○,
大樓,B0118,廣達里,"24.957223,121.207110",1.0,875.0,平鎮分局,○,
大樓,B0120,平興里,"24.943333,121.204019",3.0,2062.0,平鎮分局,○,
大樓,B0121,義民里,"24.946854,121.207624",3.0,2762.0,平鎮分局,○,
大樓,B0122,義民里,"24.946991,121.208125",1.0,1221.0,平鎮分局,,
大樓,B0123,廣達里,"24.956310,121.207980",1.0,948.0,平鎮分局,○,
大樓,B0124,宋屋里,"24.943038,121.204101",1.0,1157.0,平鎮分局,○,
大樓,B0125,義興里,"24.947565,121.209025",1.0,988.0,平鎮分局,○,
透天,C0005,新勢里,"24.948327,121.216249",1.0,34.0,平鎮分局,,
透天,C0007,新榮里,"24.942573,121.211485",1.0,16.0,平鎮分局,,
大樓,C0014,新勢里,"24.949218,121.216035",1.0,314.0,平鎮分局,,桃園市平鎮區新勢里新榮路26號
平鎮衛生所,C0015,新富里,"24.945649,121.216104",1.0,188.0,平鎮分局,,
大樓,C0027,新勢里,"24.947461,121.217305",1.0,606.0,平鎮分局,,
透天,C0028,新勢里,"24.949832,121.218191",1.0,38.0,平鎮分局,,
大樓,C0029,新英里,"24.940104,121.213136",1.0,1121.0,平鎮分局,,桃園市平鎮區新英里新富五街102號
大樓,C0032,北勢里,"24.948296,121.220386",1.0,650.0,平鎮分局,,
大樓,C0033,新榮里,"24.943855,121.212665",1.0,1840.0,平鎮分局,○,
公寓,C0035,北安里,"24.951563,121.221214",1.0,45.0,平鎮分局,,
公寓,C0036,新富里,"24.941300,121.216775",1.0,100.0,平鎮分局,,
公寓,C0037,新富里,"24.941431,121.216786",1.0,105.0,平鎮分局,,
公寓,C0039,新勢里,"24.949293,121.218108",1.0,168.0,平鎮分局,,
公寓,C0041,新勢里,"24.948099,121.215526",1.0,658.0,平鎮分局,,
公寓,C0043,北安里,"24.951444,121.220652",1.0,34.0,平鎮分局,,
公寓,C0044,北安里,"24.952158,121.221358",1.0,70.0,平鎮分局,,
公司,C0045,新勢里,"24.951527,121.218680",1.0,84.0,平鎮分局,,
公寓,C0046,新勢里,"24.948316,121.215538",1.0,720.0,平鎮分局,,
公寓,C0049,北安里,"24.951890,121.221569",1.0,68.0,平鎮分局,,
大樓,C0053,新榮里,"24.945499,121.215368",2.0,2365.0,平鎮分局,○,
公寓,C0057,北勢里,"24.947184,121.220567",1.0,61.0,平鎮分局,,
透天,C0061,北勢里,"24.946596,121.220107",1.0,33.0,平鎮分局,,
北興里活動中心,C0062,金陵里,"24.941215,121.222112",1.0,40.0,平鎮分局,○,
大樓,C0063,新榮里,"24.942701,121.213494",1.0,938.0,平鎮分局,○,
公寓,C0064,新勢里,"24.946543,121.211942",1.0,26.0,平鎮分局,○,
公寓,C0065,新勢里,"24.949537,121.215457",1.0,56.0,平鎮分局,,
公寓,C0066,新榮里,"24.943024,121.212138",1.0,64.0,平鎮分局,○,
大樓,C0067,北勢里,"24.948684,121.220953",1.0,350.0,平鎮分局,,
公寓,C0069,北安里,"24.949040,121.220086",1.0,237.0,平鎮分局,,
公寓,C0070,新勢里,"24.947885,121.216755",1.0,408.0,平鎮分局,,
大樓,C0071,新英里,"24.939120,121.213794",1.0,2838.0,平鎮分局,○,
公寓,C0072,新勢里,"24.949340,121.218122",1.0,25.0,平鎮分局,,
公寓,C0073,新榮里,"24.943329,121.212640",1.0,124.0,平鎮分局,,桃園市平鎮區新榮里新德街251號
公寓,C0076,新富里,"24.906418,121.213159",1.0,225.0,平鎮分局,,
公寓,C0077,新富里,"24.941387,121.217887",1.0,108.0,平鎮分局,,桃園市平鎮區新富里德育路二段170巷27號
公寓,C0078,新富里,"24.910396,121.211872",1.0,108.0,平鎮分局,,桃園市平鎮區新富里中豐路327巷11號
大樓,C0081,北安里,"24.953529,121.220691",1.0,1152.0,平鎮分局,,
透天,C0082,新富里,"24.940725,121.216306",1.0,252.0,平鎮分局,,
透天,C0083,新勢里,"24.946581,121.213809",1.0,232.0,平鎮分局,,
公寓,C0085,新勢里,"24.947556,121.217034",1.0,254.0,平鎮分局,,
透天,C0086,新勢里,"24.948178,121.217556",1.0,24.0,平鎮分局,,
透天,C0088,新勢里,"24.949429,121.218389",1.0,26.0,平鎮分局,,
公司,C0089,新貴里,"24.933663,121.215490",1.0,45.0,平鎮分局,,
北勢國小,C0091,北興里,"24.935850,121.223844",1.0,1594.0,平鎮分局,○,
大樓,C0092,北華里,"24.940268,121.219814",1.0,3370.0,平鎮分局,○,
大樓,C0093,新英里,"24.938634,121.213641",1.0,4126.0,平鎮分局,○,
平鎮區公所,C0094,新富里,"24.945989,121.216163",1.0,1228.0,平鎮分局,○,
大樓,C0095,北華里,"24.945228,121.219319",2.0,726.0,平鎮分局,○,
新榮國小,C0096,新勢里,"24.952849,121.218359",1.0,3832.0,平鎮分局,○,
大樓,C0097,金陵里,"24.940305,121.221097",3.0,4092.0,平鎮分局,○,
大樓,C0098,新英里,"24.941285,121.212253",1.0,1315.0,平鎮分局,○,
大樓,C0099,北華里,"24.942062,121.220057",2.0,4162.0,平鎮分局,○,
大樓,C0100,金陵里,"24.941798,121.224510",1.0,316.0,平鎮分局,○,
平鎮高中,C0101,北興里,"24.939916,121.218938",1.0,3248.0,平鎮分局,○,
大樓,C0102,北華里,"24.941929,121.220615",1.0,3464.0,平鎮分局,○,
南區青年活動中心,C0103,新勢里,"24.950773,121.216891",1.0,4918.0,平鎮分局,○,
中壢國中,C0104,新勢里,"24.950257,121.219591",1.0,1588.0,平鎮分局,○,
大樓,C0105,新富里,"24.945395,121.219081",3.0,19813.0,平鎮分局,○,
大樓,C0107,新富里,"24.943212,121.219917",1.0,4267.0,平鎮分局,○,
大樓,C0108,北安里,"24.953808,121.220141",2.0,343.0,平鎮分局,○,桃園市平鎮區北安里德育路55巷8號
大樓,C0109,新英里,"24.940386,121.212841",1.0,5321.0,平鎮分局,○,
大樓,C0110,金陵里,"24.942259,121.221231",1.0,4137.0,平鎮分局,○,
大樓,C0111,新榮里,"24.944169,121.213740",3.0,3266.0,平鎮分局,○,
大樓,C0112,北華里,"24.942845,121.220619",3.0,2567.0,平鎮分局,○,
大樓,C0113,北安里,"24.950209,121.214408",3.0,1615.0,平鎮分局,○,
揚明護理之家,C0114,北興里,"24.937303,121.224292",1.0,750.0,平鎮分局,,
大樓,C0115,新富里,"24.945395,121.219081",1.0,519.0,平鎮分局,○,
大樓,C0116,新英里,"24.939331,121.212689",3.0,4516.0,平鎮分局,○,
大樓,C0117,北華里,"24.942747,121.219489",1.0,1898.0,平鎮分局,○,
公司,C0118,北興里,"24.934014,121.225307",2.0,6036.0,平鎮分局,○,
大樓,C0119,新勢里,"24.873549,121.213927",2.0,1282.0,平鎮分局,○,
工廠,D0003,東勢里,"24.896919,121.249701",1.0,232.0,平鎮分局,○,東勢村15-2號
工廠,D0006,東勢里,"24.902768,121.243381",1.0,172.0,平鎮分局,○,
工廠,D0007,新安里,"24.908361,121.251797",1.0,314.0,平鎮分局,○,建安村250號
工廠,D0009,東勢里,"24.897353,121.245941",1.0,261.0,平鎮分局,○,東勢村53號
東安國小,D0010,東安里,"24.917520,121.250291",1.0,1262.0,平鎮分局,○,
大樓,D0020,華安里,"24.917408,121.248024",2.0,1973.0,平鎮分局,○,桃園市平鎮區華安里新華路24號
東勢活動中心,D0021,東勢里,"24.910467,121.231471",1.0,289.0,平鎮分局,○,
大樓,D0023,華安里,"24.915792,121.248407",1.0,1729.0,平鎮分局,○,桃園市平鎮區華安里華安街2號
工廠,D0024,建安里,"24.910189,121.241244",1.0,1704.0,平鎮分局,,
工廠,D0025,建安里,"24.911767,121.239896",1.0,860.0,平鎮分局,○,
工廠,D0026,新安里,"24.908696,121.251790",1.0,284.0,平鎮分局,,
東安國中,D0027,東安里,"24.916586,121.249811",1.0,9933.0,平鎮分局,,
工廠,D0028,東勢里,"24.905639,121.243905",1.0,1089.0,平鎮分局,○,
大樓,D0030,新安里,"24.920528,121.251224",1.0,4838.0,平鎮分局,○,桃園市平鎮區新安里龍南路654巷60弄2號
大樓,D0031,華安里,"24.915065,121.249458",1.0,670.0,平鎮分局,○,桃園市平鎮區華安里平東路239巷27弄19-29號
老人長期照顧中心,D0032,北貴里,"24.929173,121.220847",1.0,1081.0,平鎮分局,,桃園市平鎮區北貴里關爺東路19-5號
工廠,D0035,建安里,"24.912003,121.240022",1.0,1558.0,平鎮分局,○,
工廠,D0036,建安里,"24.910204,121.241384",1.0,4365.0,平鎮分局,,
工廠,D0037,建安里,"24.910395,121.241078",1.0,1679.0,平鎮分局,○,桃園市平鎮區建安里平東路659巷56號
工廠,D0038,建安里,"24.910887,121.241481",1.0,7598.0,平鎮分局,○,
東安國小,D0040,東安里,"24.917520,121.250291",1.0,1070.0,平鎮分局,○,
工廠,D0041,東勢里,"24.878306,121.245676",1.0,56.0,平鎮分局,,桃園市平鎮區東勢里中興路九龍段155號
工廠,D0042,建安里,"24.911792,121.232883",2.0,2601.0,平鎮分局,,
工廠,D0043,新安里,"24.904100,121.250410",1.0,2701.0,平鎮分局,,桃園市平鎮區新安里太平東路1號
國立台北商業技術學院,D0044,東勢里,"24.902888,121.230344",1.0,4961.0,平鎮分局,○,
大樓,D0045,東勢里,"24.896598,121.229116",1.0,4817.0,平鎮分局,○,桃園市平鎮區東勢里金龍路190巷39弄108號
大樓,D0046,東勢里,"24.904285,121.230686",1.0,170.0,平鎮分局,○,
大樓,D0047,新安里,"24.914905,121.247971",1.0,1572.0,平鎮分局,○,桃園市平鎮區新安里平東路239巷285號
大樓,D0048,東勢里,"24.909740,121.223815",1.0,609.0,平鎮分局,○,
大樓,D0049,新安里,"24.917059,121.254086",3.0,2031.0,平鎮分局,○,
工廠,D0050,東勢里,"24.890436,121.249472",1.0,2741.0,平鎮分局,○,桃園市平鎮區東勢里東龍街1193號
大樓,E0002,東社里,"24.923875,121.243335",1.0,3572.0,平鎮分局,○,
透天,E0003,龍興里,"24.923387,121.248819",1.0,25.0,平鎮分局,○,
透天,E0005,龍興里,"24.923405,121.248769",1.0,32.0,平鎮分局,○,
大樓,E0006,東社里,"24.922551,121.248334",1.0,1164.0,平鎮分局,,
大樓,E0008,中正里,"24.927254,121.255610",1.0,2518.0,平鎮分局,,
大樓,E0012,貿易里,"24.926257,121.250783",1.0,3195.0,平鎮分局,,桃園市平鎮區貿易里貿三路2號
大樓,E0013,忠貞里,"24.928395,121.256425",4.0,3840.0,平鎮分局,,
大樓,E0014,忠貞里,"24.928450,121.256329",4.0,3940.0,平鎮分局,,
大樓,A0146,湧安里,"24.893722,121.203584",1.0,1927.0,平鎮分局,,
工廠,B0127,雙連里,"24.963209,121.187077",1.0,62.0,平鎮分局,○,
大樓,C0120,金陵里,"24.940302,121.220697",2.0,1204.0,平鎮分局,,
大樓,C0121,新勢里,"24.947480,121.217302",3.0,2381.0,平鎮分局,,
大樓,C0122,新榮里,"24.943681,121.213660",3.0,2376.0,平鎮分局,,
大樓,A0147,平安里,"24.917783,121.210045",3.0,3069.0,平鎮分局,,
大樓,A0148,金星里,"24.913491,121.204990",2.0,4170.0,平鎮分局,,
大樓,B0128,義興里,"24.948657,121.208156",2.0,2070.0,平鎮分局,,
大樓,B0129,宋屋里,"24.942812,121.204247",3.0,5546.0,平鎮分局,○,
工廠,D0052,東勢里,"24.901543,121.250615",1.0,1591.0,平鎮分局,,
大樓,B0130,高雙里,"24.958310,121.191716",3.0,2791.0,平鎮分局,○,
大樓,B0131,復旦里,"24.951493,121.201977",3.0,2072.0,平鎮分局,○,
大樓,B0132,廣興里,"24.952763,121.213805",1.0,1261.0,平鎮分局,○,
公司,A0149,平南里,"24.908758,121.206538",1.0,1848.0,平鎮分局,,
大樓,A0150,平安里,"24.921237,121.211214",1.0,3590.0,平鎮分局,,
公司,A0151,平南里,"24.907625,121.207219",1.0,3388.0,平鎮分局,,
大樓,A0152,平鎮里,"24.927503,121.196635",1.0,1539.0,平鎮分局,,
大樓,B0133,雙連里,"24.955811,121.188438",1.0,914.0,平鎮分局,,
大樓,A0153,福林里,"24.903690,121.215645",1.0,2953.0,平鎮分局,,桃園市平鎮區福林里福壽路12號
工廠,A0154,湧豐里,"24.903853,121.199954",2.0,12752.0,平鎮分局,,
大樓,A0155,鎮興里,"24.902222,121.191765",1.0,734.0,平鎮分局,,
大樓,B0134,宋屋里,"24.943630,121.203811",2.0,3166.0,平鎮分局,○,
大樓,C0123,北華里,"24.942629,121.218899",3.0,1061.0,平鎮分局,,
工廠,A0156,鎮興里,"24.921526,121.194640",1.0,2011.0,平鎮分局,,
大樓,D0053,北富里,"24.926171,121.225021",1.0,504.0,平鎮分局,,桃園市平鎮區北富里金陵路三段150巷168號
大樓,A0157,平南里,"24.911308,121.208959",1.0,5275.0,平鎮分局,,
圖書館,A0158,莊敬里,"24.902333,121.212325",1.0,630.0,平鎮分局,,桃園市平鎮區莊敬里坤慶路88號
工廠,B0135,雙連里,"24.961710,121.187796
",1.0,91.0,平鎮分局,○,
大樓,A0159,湧安里,"24.890655,121.202830",1.0,1221.0,平鎮分局,,
大樓,B0136,高雙里,"24.943810,121.196964",1.0,1117.0,平鎮分局,○,
