編號,村里別,地址,建築物名稱,類別,地下樓層數,可容納人數,電腦編號,緯經度,備註,placemark_address
1.0,東路里,彰化縣田中鎮東路里員集路2段456號,田中零售市場,地下室,1.0,600.0,JTA028,23.860468484542235，120.58512642556333,,彰化縣田中鎮東路里員集路2段456號
2.0,東路里,彰化縣田中鎮東路里南北街80號,田中鎮農會,地下室,1.0,160.0,JTA116,23.85958110402508，120.5864997832342,,彰化縣田中鎮東路里南北街80號
3.0,東路里,彰化縣田中鎮東路里復興路797巷68號,啟阜大廈,地下室,1.0,160.0,JTA137,23.86066985068382，120.58684741206959,,彰化縣田中鎮東路里復興路797巷68號
4.0,中路里,彰化縣田中鎮中路里福安路6號,帥帝賓館,地下室,1.0,80.0,JTA081,23.859569508434994，120.59009182556318,,彰化縣田中鎮中路里福安路6號
5.0,中路里,彰化縣田中鎮中路里福安路48號,庭園賓館,地下室,1.0,56.0,JTA107,23.859590780116754，120.59002816789238,,彰化縣田中鎮中路里福安路48號
6.0,中路里,彰化縣田中鎮中路里興工路553號,龍門大飯店,地下室,1.0,333.0,JTA088,23.85726119666441，120.59085476789244,,彰化縣田中鎮中路里興工路553號
7.0,中路里,彰化縣田中鎮中路里中州路1段194號,民宅,地下室,1.0,44.0,JTA102,23.858154117166947，120.58667425439866,,彰化縣田中鎮中路里中州路1段194號
8.0,中路里,彰化縣田中鎮中路里中新路229號,田中鎮立圖書館,地下室,1.0,60.0,JTA035,23.856603233230373，120.5886218967278,,彰化縣田中鎮中路里中新路229號
9.0,中路里,彰化縣田中鎮中路里興工路557號,民宅,地下室,1.0,80.0,JTA085,23.857388381452324，120.5908081543987,,彰化縣田中鎮中路里興工路557號
10.0,南路里,彰化縣田中鎮南路里員集路1段788號,泰山食品公司,地下室,1.0,80.0,JTA009,23.85010128587044，120.59137755439855,,彰化縣田中鎮南路里員集路1段788號
11.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司1,地下室,1.0,80.0,JTA010,23.84837375092281，120.5928048832339,,彰化縣田中鎮南路里興工路6號
12.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司2,地下室,1.0,88.0,JTA011,23.84837375092281，120.5928048832339,,彰化縣田中鎮南路里興工路6號
13.0,南路里,彰化縣田中鎮南路里興工路6號,泰山企業公司3,地下室,1.0,375.0,JTA041,23.84837375092281，120.5928048832339,,彰化縣田中鎮南路里興工路6號
14.0,南路里,彰化縣田中鎮南路里中南路3段405號,縣農會碾米廠,地下室,1.0,53.0,JTA013,23.853198596426967，120.59162546789233,,彰化縣田中鎮南路里中南路3段405號
15.0,南路里,彰化縣田中鎮南路里中南路3段405號,縣農會田中倉庫,地下室,1.0,60.0,JTA027,23.853198596426967，120.59162546789233,,彰化縣田中鎮南路里中南路3段405號
16.0,南路里,彰化縣田中鎮南路里中南路3段512號,建元醫院,地下室,1.0,333.0,JTA125,23.85343473351931，120.58938688138596,,彰化縣田中鎮南路里中南路3段512號
17.0,北路里,彰化縣田中鎮北路里中山街237巷46號,民宅,地下室,1.0,44.0,JTA103,23.858542801080546，120.59290695439879,,彰化縣田中鎮北路里中山街237巷46號
18.0,北路里,彰化縣田中鎮北路里福安路156號,民宅,地下室,1.0,80.0,JTA110,23.861959008199385，120.58908431206966,,彰化縣田中鎮北路里福安路156號
19.0,北路里,彰化縣田中鎮北路里新生街150巷20弄16號,大福地大廈,地下室,1.0,939.0,JTA120,23.862501743166977，120.58663089672787,,彰化縣田中鎮北路里新生街150巷20弄16號
20.0,北路里,彰化縣田中鎮北路里新生街112巷15號,名人市大廈,地下室,1.0,824.0,JTA128,23.862029102169643，120.5872459543988,,彰化縣田中鎮北路里新生街112巷15號
21.0,北路里,彰化縣田中鎮北路里員集路2段706巷26號,民宅,地下室,1.0,380.0,JTA132,23.865491734060722，120.58626945439887,,彰化縣田中鎮北路里員集路2段706巷26號
