編號,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,村里別
1.0,臺中市北屯區天津路4段165號,1.0,354.0,第五分局,120.6903791,24.16924089,平昌里
2.0,臺中市北屯區太原路3段139巷1號,1.0,416.0,第五分局,120.6897883,24.16539354,北屯里
3.0,臺中市北屯區國校巷60號,1.0,83.0,第五分局,120.6907001,24.16560143,北屯里
4.0,臺中市北屯區國校巷68號,1.0,83.0,第五分局,120.6907779,24.16538514,北屯里
5.0,臺中市北屯區興安路1段17號,1.0,92.0,第五分局,120.691235,24.16583263,北屯里
6.0,"臺中市北屯區北屯路226巷41弄65號 ",1.0,500.0,第五分局,120.697228,24.16915125,三光里
7.0,臺中市北屯區北屯路88號,1.0,744.0,第五分局,120.6933903,24.16330167,北興里
8.0,臺中市北屯區北平路4段118號,1.0,426.0,第五分局,120.6925293,24.17054126,平昌里
9.0,臺中市北屯區軍和街43號,1.0,1041.0,第五分局,120.7160874,24.17595208,軍功里
10.0,臺中市北屯區軍和街43號,1.0,500.0,第五分局,120.7160874,24.17595208,軍功里
11.0,臺中市北屯區軍和街43號,1.0,316.0,第五分局,120.7160874,24.17595208,軍功里
12.0,臺中市北屯區軍和街43號,1.0,941.0,第五分局,120.7160874,24.17595208,軍功里
13.0,"臺中市北屯區軍和街43號 ",1.0,500.0,第五分局,120.7160874,24.17595208,軍功里
14.0,"臺中市北屯區軍和街43號 ",1.0,682.0,第五分局,120.7160874,24.17595208,軍功里
15.0,臺中市北屯區興安路1段19號,1.0,625.0,第五分局,120.6912217,24.16584482,北屯里
16.0,臺中市北屯區興安路1段1號,1.0,447.0,第五分局,120.6910834,24.16552243,北屯里
17.0,"臺中市北屯區九龍街89號 ",1.0,1039.0,第五分局,120.6963058,24.16691843,三光里
18.0,臺中市北屯區三光一街1號,1.0,752.0,第五分局,120.6974613,24.16552342,三光里
19.0,臺中市北屯區北屯路178號-5,1.0,83.0,第五分局,120.6946511,24.16554379,三光里
20.0,臺中市北屯區北屯路178號-6,1.0,83.0,第五分局,120.6946296,24.16551442,三光里
21.0,臺中市北屯區北屯路178號-8,1.0,83.0,第五分局,120.6946833,24.16557315,三光里
22.0,臺中市北屯區北屯路222號-2,1.0,92.0,第五分局,120.6964819,24.16837763,三光里
23.0,臺中市北屯區北屯路222號-3,1.0,92.0,第五分局,120.6965034,24.16841678,三光里
24.0,臺中市北屯區三光巷22號,1.0,156.0,第五分局,120.6948112,24.16414945,北興里
25.0,"臺中市北屯區三光巷2號 ",1.0,197.0,第五分局,120.6941676,24.16437649,北興里
26.0,臺中市北屯區三光巷50弄1-1號,1.0,433.0,第五分局,120.6952054,24.1638071,北興里
27.0,臺中市北屯區三光巷50弄1號,1.0,125.0,第五分局,120.6952054,24.1638071,北興里
28.0,"臺中市北屯區三光巷50弄30-11號 ",1.0,266.0,第五分局,120.6958625,24.1639421,北興里
29.0,臺中市北屯區三光巷7-1號,1.0,100.0,第五分局,120.6944205,24.16460372,三光里
30.0,臺中市北屯區三光巷90弄57-15號,1.0,192.0,第五分局,120.6993735,24.16423867,北興里
31.0,臺中市北屯區三光巷90弄65號,1.0,392.0,第五分局,120.6982147,24.1641647,北興里
32.0,"臺中市北屯區天祥街13號 ",1.0,233.0,第五分局,120.7023931,24.15972981,北興里
33.0,"臺中市北屯區天祥街147巷10號 ",1.0,154.0,第五分局,120.699552,24.16057947,北興里
34.0,臺中市北屯區天祥街147巷15號,1.0,283.0,第五分局,120.6995735,24.16056968,北興里
35.0,臺中市北屯區天祥街1號,1.0,550.0,第五分局,120.6943456,24.16164886,北京里
36.0,"臺中市北屯區天祥街7號 ",1.0,208.0,第五分局,120.6944635,24.16161665,北京里
37.0,臺中市北屯區太原路3段109號,1.0,672.0,第五分局,120.6889466,24.16527619,平昌里
38.0,"臺中市北屯區太原路3段110號 ",2.0,584.0,第五分局,120.6892785,24.16506596,北京里
39.0,"臺中市北屯區太原路3段139巷1號 ",1.0,859.0,第五分局,120.6898312,24.16533481,北屯里
40.0,"臺中市北屯區太原路3段139巷36號 ",1.0,300.0,第五分局,120.6899497,24.16654798,北屯里
41.0,臺中市北屯區太原路3段161號,1.0,475.0,第五分局,120.6904305,24.16524387,北屯里
42.0,臺中市北屯區太原路3段199號,1.0,1697.0,第五分局,120.6918158,24.16521153,北屯里
43.0,"臺中市北屯區太原路3段199號 ",1.0,1052.0,第五分局,120.6918158,24.16521153,北屯里
44.0,"臺中市北屯區太原路3段245號 ",1.0,510.0,第五分局,120.6927347,24.16520121,北屯里
45.0,"臺中市北屯區太原路3段345巷18號 ",1.0,870.0,第五分局,120.6967918,24.16556007,三光里
46.0,臺中市北屯區太原路3段398號,1.0,678.0,第五分局,120.6947306,24.16499696,三光里
