類別,建築物名稱,電腦編號,村里別,地址,緯度,經度,地下樓層數,可容納人數,備註,placemark_address
地下室,公園華廈,293.0,大有里,鹿港鎮大有里公園一路52號,24.05402967,120.4316953,"1 ","1,429 ",,鹿港鎮大有里公園一路52號
地下室,鹿港鎮公有立體停車場,320.0,大有里,鹿港鎮大有里公園一路2號,24.05309194,120.4329834,"1 ","775 ",,鹿港鎮大有里公園一路2號
地下室,大圓圈服飾店,83.0,大有里,鹿港鎮大有里大明路72號,24.05446758,120.4323996,"1 ","373 ",,鹿港鎮大有里大明路72號
地下室,亞洲生活廣場,272.0,中興里,鹿港鎮中興里民族路120號,24.05536815,120.435298,"1 ","1,286 ",,鹿港鎮中興里民族路120號
地下室,鹿港鎮立圖書館,188.0,洛津里,鹿港鎮洛津里公園一路83號,24.05481395,120.4314834,"1 ","273 ",,鹿港鎮洛津里公園一路83號
地下室,洛津國小,217.0,洛津里,鹿港鎮洛津里公園三路51號,24.05459093,120.4310007,"1 ","170 ",,鹿港鎮洛津里公園三路51號
地下室,彰化縣消防局第三大隊,224.0,順興里,鹿港鎮順興里中山路296號,24.05688398,120.4333787,"1 ","202 ",,鹿港鎮順興里中山路296號
地下室,錦富機械,48.0,頂厝里,鹿港鎮頂厝里舊港巷143號,24.06801161,120.4444524,"1 ","333 ",,鹿港鎮頂厝里舊港巷143號
地下室,和豐碾米工廠,212.0,頂厝里,鹿港鎮頂厝里鹿和路1段411號,24.06399457,120.4468054,"1 ","32 ",,鹿港鎮頂厝里鹿和路1段411號
地下室,鹿基醫院,277.0,埔崙里,鹿港鎮埔崙里中正路480號,24.06029906,120.438394,"1 ","494 ",,鹿港鎮埔崙里中正路480號
地下室,鹿基醫院,323.0,埔崙里,鹿港鎮埔崙里中正路480號,24.06029906,120.438394,"1 ","1,922 ",,鹿港鎮埔崙里中正路480號
地下室,彰濱花園公寓大廈,255.0,埔崙里,鹿港鎮埔崙里中正路445號,24.06020304,120.4380293,"1 ","809 ",,鹿港鎮埔崙里中正路445號
地下室,天后宮香客大樓,281.0,新宮里,鹿港鎮新宮里中山路475號,24.05989804,120.4300567,"1 ","1,263 ",,鹿港鎮新宮里中山路475號
地下室,文開國小,187.0,新宮里,鹿港鎮新宮里文開路60號,24.0565613,120.4300899,"1 ","61 ",,鹿港鎮新宮里文開路60號
地下室,文開國小,229.0,新宮里,鹿港鎮新宮里文開路60號,24.0565613,120.4300899,"1 ","587 ",,鹿港鎮新宮里文開路60號
地下室,文開國小,268.0,新宮里,鹿港鎮新宮里文開路60號,24.0565613,120.4300899,"1 ","641 ",,鹿港鎮新宮里文開路60號
地下室,文開國小,303.0,新宮里,鹿港鎮新宮里文開路60號,24.0565613,120.4300899,"1 ","601 ",,鹿港鎮新宮里文開路60號
