類別,電腦編號,村里別,地下樓層數,可容納人數,轄館分局,備註
公寓,TMA0001,大新里,1.0,379.0,宜蘭分局,
公寓,TMA0002,新民里,1.0,148.0,宜蘭分局,
公寓,TMA0003,新民里,2.0,190.0,宜蘭分局,
公寓,TMA0004,新民里,1.0,79.0,宜蘭分局,
大樓,TMA0005,新民里,1.0,1101.0,宜蘭分局,
公家機關,TMA0006,新民里,1.0,521.0,宜蘭分局,
銀行,TMA0007,新民里,1.0,101.0,宜蘭分局,
公寓,TMA0008,新民里,1.0,96.0,宜蘭分局,
大樓,TMA0010,大新里,1.0,815.0,宜蘭分局,
大樓,TMA0011,大新里,1.0,312.0,宜蘭分局,
大樓,TMA0012,大新里,1.0,582.0,宜蘭分局,
大樓,TMA0013,民權里,1.0,963.0,宜蘭分局,
旅館,TMA0014,大新里,1.0,292.0,宜蘭分局,
旅館,TMA0015,大新里,1.0,262.0,宜蘭分局,
旅館,TMA0016,大新里,1.0,55.0,宜蘭分局,
旅館,TMA0017,大新里,1.0,236.0,宜蘭分局,
公寓,TMA0018,大新里,1.0,268.0,宜蘭分局,
公寓,TMA0020,神農里,1.0,102.0,宜蘭分局,
學校,TMA0021,神農里,1.0,562.0,宜蘭分局,
大樓,TMA0022,民權里,1.0,139.0,宜蘭分局,
公家機關,TMA0023,民權里,1.0,402.0,宜蘭分局,
大樓,TMA0024,神農里,1.0,2370.0,宜蘭分局,
公家機關,TMA0033,民權里,1.0,185.0,宜蘭分局,
公家機關,TMA0034,民權里,1.0,340.0,宜蘭分局,
公家機關,TMA0035,民權里,1.0,872.0,宜蘭分局,
大樓,TMA0036,民權里,1.0,1050.0,宜蘭分局,
公寓,TMA0038,民權里,1.0,40.0,宜蘭分局,
公寓,TMA0039,民權里,1.0,37.0,宜蘭分局,
醫院,TMA0040,神農里,1.0,100.0,宜蘭分局,
公寓,TMA0041,大新里,1.0,117.0,宜蘭分局,
大樓,TMA0042,大新里,1.0,302.0,宜蘭分局,
大樓,TMA0043,大新里,2.0,2750.0,宜蘭分局,
公家機關,TMA0044,民權里,1.0,505.0,宜蘭分局,
公家機關,TMA0046,民權里,1.0,170.0,宜蘭分局,
大樓,TMA0048,民權里,1.0,805.0,宜蘭分局,
公寓,TMA0049,民權里,1.0,160.0,宜蘭分局,
公家機關,TMA0051,神農里,2.0,7265.0,宜蘭分局,
大樓,TMA0053,神農里,1.0,2076.0,宜蘭分局,
旅館,TMA0055,大新里,1.0,268.0,宜蘭分局,
公家機關,TMA0056,神農里,1.0,487.0,宜蘭分局,
旅館,TMA0057,大新里,1.0,354.0,宜蘭分局,
公寓,TMA0058,新民里,1.0,43.0,宜蘭分局,
大樓,TMA0059,大新里,1.0,465.0,宜蘭分局,
廟宇,TMA0060,中山里,1.0,110.0,宜蘭分局,
公寓,TMA0062,西門里,1.0,294.0,宜蘭分局,
公寓,TMA0064,中山里,1.0,101.0,宜蘭分局,
電力公司,TMA0065,西門里,1.0,1752.0,宜蘭分局,
廟宇,TMA0066,中山里,1.0,245.0,宜蘭分局,
公寓,TMA0067,中山里,1.0,69.0,宜蘭分局,
公寓,TMA0068,中山里,1.0,138.0,宜蘭分局,
公寓,TMA0069,西門里,1.0,299.0,宜蘭分局,
醫院,TMA0070,東門里,1.0,1008.0,宜蘭分局,
大樓,TMA0071,慈安里,1.0,601.0,宜蘭分局,
公寓,TMA0072,慈安里,1.0,3206.0,宜蘭分局,
公寓,TMA0074,小東里,1.0,54.0,宜蘭分局,
公寓,TMA0075,東門里,1.0,35.0,宜蘭分局,
公寓,TMA0076,小東里,1.0,804.0,宜蘭分局,
祭祀公業,TMA0077,東門里,1.0,794.0,宜蘭分局,
公家機關,TMA0078,新民里,1.0,73.0,宜蘭分局,
大樓,TMA0079,慈安里,1.0,318.0,宜蘭分局,
公寓,TMA0080,新民里,1.0,136.0,宜蘭分局,
公寓,TMA0081,東門里,1.0,283.0,宜蘭分局,
大樓,TMA0082,新民里,2.0,1223.0,宜蘭分局,
公寓,TMA0084,慈安里,1.0,1109.0,宜蘭分局,
教會,TMA0086,東門里,1.0,484.0,宜蘭分局,
公寓,TMA0087,新民里,1.0,147.0,宜蘭分局,
醫院,TMA0088,東門里,1.0,1637.0,宜蘭分局,
公寓,TMA0090,東門里,1.0,625.0,宜蘭分局,
郵局,TMA0091,東門里,2.0,4350.0,宜蘭分局,
大樓,TMA0092,東門里,1.0,930.0,宜蘭分局,
大樓,TMA0093,小東里,1.0,604.0,宜蘭分局,
學校,TMA0094,小東里,1.0,1236.0,宜蘭分局,
農會,TMA0095,小東里,1.0,1603.0,宜蘭分局,
公家機關,TMA0096,神農里,1.0,942.0,宜蘭分局,
