類別,建築物名稱,電腦編號,地址,緯度,經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
,,EPA01555,12鄰松義三街252號,24.959784,121.165457,3,1557.0,中壢分局,,大崙所
,,EPA01567,14鄰松智路211號,24.959681,121.170874,1,370.0,中壢分局,,大崙所
,,EPA01568,8鄰月德路176巷1號,25.020826,121.181144,1,1078.0,中壢分局,,大崙所
,,EPA01569,12鄰松勇路217號,24.962493,121.163954,2,1491.0,中壢分局,,大崙所
,,EPA01578,11鄰月眉路三段101號2樓,25.013082,121.184445,1,437.0,中壢分局,,大崙所
,,EPA01600,19鄰大享街476號,24.974365,121.197177,2,544.0,中壢分局,,大崙所
,,EPA01607,13鄰松信路168號9樓,24.962966,121.166138,3,2177.0,中壢分局,,大崙所
,,EPA01611,14鄰松德路127號,24.960508,121.169086,3,985.0,中壢分局,,大崙所
,,EPA01613,14鄰松德路30號,24.959398,121.168388,3,972.0,中壢分局,,大崙所
,,EPA01615,7鄰聖德路二段385號,25.015704,121.194456,2,405.0,中壢分局,,大崙所
,,EPA01621,14鄰松仁路183號,24.961284,121.168438,2,1531.0,中壢分局,,大崙所
,,EPA01622,6鄰月桃路251巷16號六樓,25.007695,121.193455,2,1100.0,中壢分局,,大崙所
,,EPA01623,12鄰民族路六段136號十一樓之1,24.96052,121.163742,3,2515.0,中壢分局,,大崙所
,,EPA01625,14鄰松義路90號6樓,24.96061,121.1678,3,2306.0,中壢分局,,大崙所
,,EPA01627,5鄰環保路281號,25.00714,121.191181,2,3374.0,中壢分局,,大崙所
,,EPA01630,15鄰松仁路18號,24.959035,121.170053,2,1249.0,中壢分局,,大崙所
,,EPA01641,14鄰松智二街122號7樓之1,24.959366,121.171507,3,1428.0,中壢分局,,大崙所
,,EPA01649,11鄰月眉路三段97巷31號9樓,25.012964,121.183732,2,1119.0,中壢分局,,大崙所
,,EPA01671,8鄰月眉路三段238號,25.011355,121.184491,2,508.0,中壢分局,,大崙所
,,EPA01676,14鄰松義二街38號二樓,24.960533,121.167821,3,1402.0,中壢分局,,大崙所
,,EPA01677,5鄰圓光一路218號,25.004890,121.190072,2,3357.0,中壢分局,,大崙所
,,EPA01680,3鄰福嶺路一段117號,24.974965,121.178956,無,7.0,中壢分局,,大崙所
,,EPA01685,10鄰福嶺路二段65號,24.983688,121.180409,2,403.0,中壢分局,,大崙所
,,EPA01688,19鄰松勇三街50號,24.961551,121.163169,2,1088.0,中壢分局,,大崙所
,,EPA01699,8鄰高鐵南路三段727巷100號,24.986268,121.191106,2,857.0,中壢分局,,大崙所
,,EPA01705,20鄰過嶺里20鄰松勇路196號,24.961372,121.165411,3,964.0,中壢分局,,大崙所
,,EPA01709,14鄰過嶺里14鄰松勇路58號,24.959166,121.16715,2,3008.0,中壢分局,,大崙所
,,EPA01725,21鄰松勇路35號,24.95947,121.166581,3,1126.0,中壢分局,,大崙所
,,EPA01728,21鄰松義路100號,24.960266,121.166425,3,533.0,中壢分局,,大崙所
,,EPA01742,20鄰松信路109號六樓,24.96215,121.165042,3,1008.0,中壢分局,,大崙所
,,EPA01750,4鄰中正路四段324號,24.993389,121.177159,1,352.0,中壢分局,,大崙所
,,EPA01752,4鄰圓光路一段216號,25.001024,121.189718,2,2143.0,中壢分局,,大崙所
,,EPA01761,19鄰松勇二街59號,24.96137,121.16388,2,822.0,中壢分局,,大崙所
,,EPA01785,19鄰松勤路19號十四樓之2,24.960356,121.163723,4,2540.0,中壢分局,,大崙所
,,EPA01796,21鄰松義路179號,24.961504,121.167644,3,1429.0,中壢分局,,大崙所
,,EPA01816,19鄰內厝五路66號,24.976565,121.18716,2,1060.0,中壢分局,,大崙所
,,EPA01825,6鄰圓光路一段86號,25.000884,121.192119,1,103.0,中壢分局,,大崙所
,,EPA01838,高鐵南路五段888號,24.963082,121.163515,3,829.0,中壢分局,,大崙所
,,EPA01857,14鄰松義三街33號,24.95911168,121.1689972,2,976.0,中壢分局,,大崙所
,,EPA01862,10鄰青山一路461巷28號,,,1,423.0,中壢分局,,大崙所
大樓,SOGO百貨中壢店,EPA00457,33鄰元化路357號,24.962475,121.223559,4,6180.0,中壢分局,2.0,中福所
學校,啟英高中,EPA00465,9鄰西園路447號,24.972386,121.234552,1,1977.0,中壢分局,1.0,中福所
社區大樓,鶴之屋,EPA00466,28鄰福安二街50號,24.9689,121.232069,2,968.0,中壢分局,1.0,中福所
公務機關,中壢區公所,EPA01122,18鄰環北路380號,24.965779,121.225173,2,751.0,中壢分局,1.0,中福所
工廠,幸葉電子股份有限公司,EPA01128,5鄰南園二路1號,24.971753,121.238906,1,68.0,中壢分局,1.0,中福所
工廠,達洲實業有限公司,EPA01133,16鄰東園二路15號,24.975952,121.237997,1,132.0,中壢分局,1.0,中福所
大樓,台達電子中壢五廠東園路16號,EPA01138,14鄰東園路16號,24.969936,121.239941,1,1120.0,中壢分局,1.0,中福所
工廠,裕元興業,EPA01139,16鄰吉林路9號,24.979672,121.238905,1,196.0,中壢分局,0.0,中福所
工廠,恒青機電有限公司,EPA01141,18鄰南園路6號,24.969278,121.238377,1,1330.0,中壢分局,0.0,中福所
學校,啟英高中,EPA01142,9鄰中園路447號,24.975263,121.235783,1,500.0,中壢分局,1.0,中福所
,YKK承租宿舍,EPA01148,31鄰延平路90巷229號,24.965962,121.234143,1,605.0,中壢分局,0.0,中福所
社區大樓,儒林世家,EPA01149,30鄰福壽九街7號,24.966987,121.233715,1,3045.0,中壢分局,1.0,中福所
社區大樓,儒林世家,EPA01150,30鄰福壽九街7號,24.9669,121.233618,1,520.0,中壢分局,1.0,中福所
社區大樓,花與綠,EPA01152,11鄰福州一街252號,24.967426,121.233153,1,1140.0,中壢分局,1.0,中福所
大樓,宏致電子股份有限公司,EPA01154,7鄰東園路13號,24.969738,121.240323,1,393.0,中壢分局,1.0,中福所
社區大樓,雅典宮廷,EPA01155,18鄰新生路266號,24.964208,121.223088,2,4588.0,中壢分局,1.0,中福所
工廠,精材科技股份有限公司中壢三廠,EPA01178,6鄰中園路188號,24.982283,121.237995,1,6718.0,中壢分局,1.0,中福所
工廠,金像電子,EPA01179,12鄰西園路113號,24.985108,121.237188,1,1052.0,中壢分局,1.0,中福所
社區大樓,雅致名園,EPA01206,26鄰福星三街35號,24.956331,121.222025,2,808.0,中壢分局,1.0,中福所
工廠,桃苗豐田汽車,EPA01207,7鄰中園路162號,24.969805,121.236512,1,1121.0,中壢分局,1.0,中福所
社區大樓,宮廷樂章,EPA01211,新生路288號,24.964255,121.223291,2,3956.0,中壢分局,1.0,中福所
社區大樓,宮廷樂章,EPA01212,六合路56號(原-新生路288號),24.964213,121.223275,2,3977.0,中壢分局,1.0,中福所
工廠,台達電子中壢五廠東園路16號,EPA01215,14鄰東園路16號,24.969926,121.239887,1,61.0,中壢分局,,中福所
工廠,精華企業股份有限公司,EPA01220,7鄰南園路15號,24.970845,121.238511,1,24.0,中壢分局,0.0,中福所
學校,忠福國小,EPA01232,9鄰西園57號,24.976492,121.234878,1,2822.0,中壢分局,0.0,中福所
社區大樓,世紀三星NO.3,EPA01250,28鄰福州二街415號,24.968061,,2,1609.0,中壢分局,1.0,中福所
工廠,金像電子股份有限公司,EPA01263,6鄰西園路一三二號,24.98108,121.23451,1,2811.0,中壢分局,1.0,中福所
工廠," 台達電子工業",EPA01264,7鄰南園路四號,24.968887,121.238387,3,1738.0,中壢分局,1.0,中福所
公務機關,中福派出所,EPA01328,28鄰南園二路86號,24.972361,121.233262,1,379.0,中壢分局,1.0,中福所
工廠,智偉織造股份有限公司,EPA01357,7鄰東園路50號,24.982722,121.239977,1,3403.0,中壢分局,0.0,中福所
工廠,順益汽車中壢營業所,EPA01365,7鄰中園路158號,24.968155,121.237121,1,2277.0,中壢分局,1.0,中福所
社區大樓,海華帝國,EPA01379,35鄰六和路55號,24.964179,121.224578,2,1921.0,中壢分局,2.0,中福所
工廠,匯豐汽車中壢營業所,EPA01386,12鄰西園路101號,24.982282,121.235964,1,241.0,中壢分局,1.0,中福所
學校,萬能科技大學,EPA01395,4鄰萬能路1-1號,24.990387,121.232171,1,1062.0,中壢分局,0.0,中福所
工廠,久霆股份有限公司,EPA01409,6鄰西園路130號3樓,24.980486,121.234422,1,4047.0,中壢分局,1.0,中福所
社區大樓,海華國際之星,EPA01413,29鄰環北路352號,24.965887,121.22415,3,5389.0,中壢分局,2.0,中福所
工廠,宏惠光電股份有限公司,EPA01424,6鄰安東路5號,24.98235,121.241242,1,470.0,中壢分局,0.0,中福所
社區大樓,竑門天止,EPA01428,30鄰福壽六街15-8號,24.965482,121.233204,2,1845.0,中壢分局,1.0,中福所
社區大樓,新都廷,EPA01444,38鄰南園二路336號,24.971837,121.227051,3,1077.0,中壢分局,1.0,中福所
社區大樓,和瑞捷星,EPA01445,38鄰南園二路292號,24.971999,121.227912,3,2301.0,中壢分局,1.0,中福所
學校,啟英高中,EPA01449,6鄰中園路447號,24.975337,121.235744,1,860.0,中壢分局,0.0,中福所
社區大樓,海華大帝,EPA01461,2鄰六和路79號13樓之2,24.963102,121.224659,3,5957.0,中壢分局,2.0,中福所
社區大樓,鉑金苑,EPA01468,39鄰南園二路267號3樓,24.9717,121.227981,2,3450.0,中壢分局,1.0,中福所
工廠,人人化學製藥股份有限公司,EPA01469,7鄰南園二路3號,24.971737,121.234378,無,29.0,中壢分局,0.0,中福所
社區大樓,和瑞捷境,EPA01494,38鄰南園二路296巷21弄72號,24.972353,121.227648,3,1877.0,中壢分局,1.0,中福所
社區大樓,慶澤居,EPA01513,26鄰福洲二街351號,24.96745,121.230135,2,422.0,中壢分局,0.0,中福所
社區大樓,宮廷樂章,EPA01522,5鄰新生路288號,24.964324,121.223401,2,3956.0,中壢分局,1.0,中福所
社區大樓,麗朵,EPA01535,38鄰南園二路296巷26號2樓,24.972752,121.227874,3,3436.0,中壢分局,1.0,中福所
商辦,台中商業銀行中壢分行,EPA01551,21鄰環北路389號,24.966165,121.225666,1,290.0,中壢分局,1.0,中福所
社區大樓,興聚沐川,EPA01599,6鄰延平路90巷106號,24.964924,121.233154,3,1477.0,中壢分局,1.0,中福所
工廠,貫旭企業有限公司,EPA01636,7鄰西園路111-3號八樓,24.973276,121.234557,2,2125.0,中壢分局,1.0,中福所
工廠,"SUBARU_台灣意美汽車股份有限公司 ",EPA01655,4鄰東園路38-2號,24.976174,121.239794,無,438.0,中壢分局,1.0,中福所
工廠,青業電子工業股份有限公司,EPA01683,7鄰東園路5號,24.968191,121.239267,3,1045.0,中壢分局,0.0,中福所
工廠,安立司食品股份有限公司,EPA01692,7鄰西園路77巷32弄35號,24.978336,121.235295,1,410.0,中壢分局,1.0,中福所
學校,萬能科技大學,EPA01714,4鄰萬能路1-2號,24.992688,121.230171,1,880.0,中壢分局,0.0,中福所
商辦,鋒霖科技股份有限公司,EPA01723,7鄰西園路81號,24.978374,121.234768,1,2134.0,中壢分局,1.0,中福所
社區大樓,光合硯,EPA01727,38鄰南園二路296巷31號九樓,24.972771,121.227895,2,1614.0,中壢分局,1.0,中福所
透天,民宅,EPA01765,21鄰南園二路101巷5號二樓,24.97192,121.233175,1,222.0,中壢分局,0.0,中福所
商辦,智弘科技,EPA01770,6鄰西園路128號,24.979565,121.234465,2,2189.0,中壢分局,1.0,中福所
大樓,第一住屋延平路華廈,EPA01792,6鄰延平路90巷59號,24.964543,121.231848,1,383.0,中壢分局,0.0,中福所
商辦,台達電子中壢五廠,EPA01797,7鄰東園路16號二樓,24.972173,121.23978,3,10044.0,中壢分局,1.0,中福所
商辦,行健大樓,EPA01803,7鄰中園路168-1號,24.982331,121.237083,2,1873.0,中壢分局,1.0,中福所
公務機關,青年事務局,EPA01805,環北路390號,24.965837,121.225459,1,1216.0,中壢分局,1.0,中福所
工廠,知名藥妝物流中心,EPA01807,7鄰西園路105號,24.98298,121.235333,1,38.0,中壢分局,0.0,中福所
工廠,兆山辰精密科技股份有限公司,EPA01824,7鄰東園二路6號,24.974438,121.238406,2,1131.0,中壢分局,1.0,中福所
工廠,坤旺營造,EPA01863,5鄰中福路二段27號,24.98069256,121.2338109,1,790.0,中壢分局,1.0,中福所
,,EPA00127,龍岡路一段133號,24.949517,121.224175,1,151.0,中壢分局,,中壢所
,,EPA00392,8鄰大同路154號,24.9568,121.221427,1,48.0,中壢分局,,中壢所
,,EPA00396,8鄰大同路158號,24.956611,121.221561,1,57.0,中壢分局,,中壢所
,,EPA00397,9鄰中平路208號,24.956673,121.220995,1,46.0,中壢分局,,中壢所
,,EPA00398,8鄰大同路166號,24.956707,121.221314,1,53.0,中壢分局,,中壢所
,,EPA00400,8鄰大同路162號,24.956566,121.221516,1,171.0,中壢分局,,中壢所
,,EPA00404,9鄰中平路204號,24.955862,121.2219,1,46.0,中壢分局,,中壢所
,,EPA00405,9鄰中平路200號,24.956798,121.221187,1,54.0,中壢分局,,中壢所
,,EPA00411,22鄰延平路499號,24.957145,121.223697,2,1304.0,中壢分局,,中壢所
,,EPA00412,14鄰興建街12號,24.954033,121.22441,1,381.0,中壢分局,,中壢所
,,EPA00414,5鄰延平路466號,24.958275,121.223767,2,513.0,中壢分局,,中壢所
,,EPA00419,7鄰東興路76號,24.951493,121.224369,1,147.0,中壢分局,,中壢所
,,EPA00421,8鄰大同路136號,24.957157,121.221768,3,400.0,中壢分局,,中壢所
,,EPA00422,2鄰中山路222號,24.957057,121.222715,1,160.0,中壢分局,,中壢所
,,EPA00423,2鄰中山路228巷20號,24.956834,121.22247,1,135.0,中壢分局,,中壢所
,,EPA00437,22鄰延平路429號,24.958962,121.224478,3,1018.0,中壢分局,,中壢所
,,EPA00443,3鄰中正路141號,24.987966,121.222098,2,291.0,中壢分局,,中壢所
,,EPA00444,3鄰中山路119號,24.956694,121.227058,2,316.0,中壢分局,,中壢所
,,EPA00458,11鄰中美路一段18號,24.959959,121.223546,3,2900.0,中壢分局,,中壢所
,,EPA00949,11鄰長江路73號,24.957133,121.228381,1,929.0,中壢分局,,中壢所
,,EPA00955,14鄰中正路145號,24.955381,121.221758,1,328.0,中壢分局,,中壢所
,,EPA00956,13鄰中山路63號,24.955161,121.226787,2,346.0,中壢分局,,中壢所
,,EPA00957,6鄰東明街18號,24.953965,121.229163,1,435.0,中壢分局,,中壢所
,,EPA00958,14鄰興建街15號,24.953803,121.223974,1,171.0,中壢分局,,中壢所
,,EPA00959,8鄰新興路248號,24.954177,121.228871,1,52.0,中壢分局,,中壢所
,,EPA00960,1鄰延平路228號,24.962467,121.227172,2,281.0,中壢分局,,中壢所
,,EPA00962,3鄰中央西路一段1號,24.957332,121.223421,2,187.0,中壢分局,,中壢所
,,EPA00963,3鄰延平路500號,24.957088,121.223306,2,622.0,中壢分局,,中壢所
,,EPA00964,4鄰中山路206號,24.956815,121.223147,1,70.0,中壢分局,,中壢所
,,EPA00967,4鄰中山路212號,24.957081,121.222923,1,154.0,中壢分局,,中壢所
,,EPA00968,4鄰中山路214號,24.956979,121.222806,1,157.0,中壢分局,,中壢所
,,EPA00970,4鄰中山路218號,24.956962,121.222721,1,156.0,中壢分局,,中壢所
,,EPA00971,4鄰中山路220號,24.956894,121.22275,1,157.0,中壢分局,,中壢所
,,EPA00976,21鄰元化路215巷49號,24.961776,121.22809,1,59.0,中壢分局,,中壢所
,,EPA00980,5鄰延平路353巷45號,24.960484,121.225917,1,40.0,中壢分局,,中壢所
,,EPA00982,6鄰延平路205號,24.96391,121.233791,1,23.0,中壢分局,,中壢所
,,EPA00986,5鄰延平路285號,24.960953,121.226376,1,42.0,中壢分局,,中壢所
,,EPA00988,1鄰延平路216號,24.962445,121.227368,1,733.0,中壢分局,,中壢所
,,EPA00989,1鄰延平路202號,24.962483,121.227841,1,43.0,中壢分局,,中壢所
,,EPA00991,11鄰元化路271巷26弄15號,24.962876,121.22614,1,354.0,中壢分局,,中壢所
,,EPA00996,12鄰慈惠三街126巷1號,24.964297,121.225848,2,1002.0,中壢分局,,中壢所
,,EPA00997,12鄰慈惠三街158巷4號,24.96305,121.225775,2,4725.0,中壢分局,,中壢所
,,EPA00998,8鄰元化路275號,24.962231,121.22591,2,970.0,中壢分局,,中壢所
,,EPA00999,5鄰延平路261號,24.961274,121.226636,2,1252.0,中壢分局,,中壢所
,,EPA01001,16鄰中正路145號,24.95541,121.221833,1,302.0,中壢分局,,中壢所
,,EPA01002,17鄰延平路600巷30號,24.954698,121.221993,1,74.0,中壢分局,,中壢所
