電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
公寓,WXA00095,臺北市松山區三民路101巷2號,"25.057466,121.56336",1,1706.0,松山分局,
大樓,WXA00598,臺北市松山區民生東路五段138巷3號,"25.058468,121.561677",1,1542.0,松山分局,
公寓,WXA00077,臺北市松山區三民路113巷10號,"25.058066,121.562496",1,412.0,松山分局,
公寓,WXA00354,臺北市松山區三民路113巷16號,"25.058059,121.562365",1,288.0,松山分局,
大樓,WXA00404,臺北市松山區民生東路五段170號,"25.058274,121.562783",1,2248.0,松山分局,
大樓,WXA00476,臺北市松山區民生東路五段148.146號,"25.059078,121.56806",1,1080.0,松山分局,
大樓,WXA00477,臺北市松山區民生東路五段150號,"25.058548,121.562379",1,853.0,松山分局,
大樓,WXA00405,臺北市松山區民生東路五段143號,"25.059014,121.561932",2,106.0,松山分局,
大樓,WXA00600,臺北市松山區民生東路五段137巷2號,"25.059277,121.561671",1,1188.0,松山分局,
公寓,WXA00601,臺北市松山區民生東路五段137巷2號,"25.059277,121.561671",1,97.0,松山分局,
公寓,WXA00603,臺北市松山區民生東路五段137巷4弄7號,"25.05992,121.561856",1,212.0,松山分局,
公寓,WXA00604,臺北市松山區民生東路五段137巷6弄1號,"25.060397,121.561519",1,208.0,松山分局,
公寓,WXA00605,臺北市松山區民生東路五段137巷6弄11號,"25.060424,121.562037",1,124.0,松山分局,
公寓,WXA00606,臺北市松山區民生東路五段137巷6弄5號,"25.060406,121.561927",1,161.0,松山分局,
公寓,WXA01276,臺北市松山區富錦街442號之1,"25.060604,121.561592",1,446.0,松山分局,
公寓,WXA01277,臺北市松山區富錦街446號,"25.060713,121.561663",1,433.0,松山分局,
公寓,WXA01279,臺北市松山區富錦街450號,"25.060738,121.561931",1,230.0,松山分局,
公寓,WXA01727,臺北市松山區民生東路五段137巷6弄8號,"25.06022,121.561913",1,60.0,松山分局,
公寓,WXA00352,臺北市松山區三民路155巷32號,"25.061167,121.561514",1,56.0,松山分局,
公寓,WXA00563,臺北市松山區三民路161巷1號,"25.061537,121.562895",1,153.0,松山分局,
公寓,WXA00904,臺北市松山區三民路155巷18號,"25.061202,121.561986",1,89.0,松山分局,
公寓,WXA00917,臺北市松山區三民路155巷22號,"25.061195,121.561888",1,240.0,松山分局,
公寓,WXA00990,臺北市松山區三民路167巷2號,"25.061734,121.56294",1,365.0,松山分局,
公寓,WXA01278,臺北市松山區富錦街447號,"25.060904,121.56148",1,121.0,松山分局,
公寓,WXA01280,臺北市松山區富錦街451號,"25.060915,121.56164",1,196.0,松山分局,
公寓,WXA01281,臺北市松山區富錦街461號,"25.060945,121.562044",1,40.0,松山分局,
公寓,WXA01290,臺北市松山區富錦街429巷2號,"25.061105,121.561431",1,152.0,松山分局,
公寓,WXA01498,臺北市松山區三民路155巷30號,"25.061194,121.561614",1,45.0,松山分局,
公寓,WXA01500,臺北市松山區三民路155巷30號,"25.061194,121.561614",1,1120.0,松山分局,
臺北市政府民政局,WXA00608,臺北市松山區民生東路五段163-1號,"25.059287,121.562907",3,2426.0,松山分局,
民權國小,WXA00354,臺北市松山區三民路167巷1號,"25.061734,121.56294",1,1629.0,松山分局,
