電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QSA00013,豐田村,屏東縣內埔鄉豐田村延平路25號,1.0,40.0,內埔分局,
QSA00019,豐田村,屏東縣內埔鄉豐田村建國路1號,1.0,133.0,內埔分局,
QSA00024,豐田村,屏東縣內埔鄉豐田村建國路2號,1.0,46.0,內埔分局,
QSA00017,豐田村,屏東縣內埔鄉豐田村建國路3號,1.0,133.0,內埔分局,
QSA00113,豐田村,屏東縣內埔鄉豐田村建國路4號,1.0,338.0,內埔分局,
QSA00045,豐田村,屏東縣內埔鄉豐田村建國路8號,1.0,53.0,內埔分局,
QSA00102,豐田村,屏東縣內埔鄉豐田村建國路12號,1.0,68.0,內埔分局,
QSA00014,豐田村,屏東縣內埔鄉豐田村建國路16號,1.0,66.0,內埔分局,
QSA00022,豐田村,屏東縣內埔鄉豐田村建國路16-1號,1.0,26.0,內埔分局,
QSA00018,豐田村,屏東縣內埔鄉豐田村建國路18號,1.0,104.0,內埔分局,
QSA00021,豐田村,屏東縣內埔鄉豐田村建國路20號,1.0,168.0,內埔分局,
QSA00050,豐田村,屏東縣內埔鄉豐田村建國路24-1號,1.0,40.0,內埔分局,
QSA00040,豐田村,屏東縣內埔鄉豐田村建國路28號,1.0,66.0,內埔分局,
QSA00030,豐田村,屏東縣內埔鄉豐田村建國路61號,1.0,106.0,內埔分局,
QSA00016,豐田村,屏東縣內埔鄉豐田村永田路15號,1.0,66.0,內埔分局,
QSA00025,豐田村,屏東縣內埔鄉豐田村建工路2號,1.0,26.0,內埔分局,
QSA00048,豐田村,屏東縣內埔鄉豐田村建工路3號,1.0,33.0,內埔分局,
QSA00049,豐田村,屏東縣內埔鄉豐田村建工路8號,1.0,26.0,內埔分局,
QSA00028,豐田村,屏東縣內埔鄉豐田村建業路1號,1.0,93.0,內埔分局,
QSA00039,豐田村,屏東縣內埔鄉豐田村建邦路3號,1.0,23.0,內埔分局,
QSA00032,豐田村,屏東縣內埔鄉豐田村建邦路5號,1.0,106.0,內埔分局,
QSA00031,豐田村,屏東縣內埔鄉豐田村建邦路6號,1.0,53.0,內埔分局,
QSA00035,豐田村,屏東縣內埔鄉豐田村建富路8號,1.0,53.0,內埔分局,
QSA00042,豐田村,屏東縣內埔鄉豐田村建富路14號,1.0,53.0,內埔分局,
QSA00043,豐田村,屏東縣內埔鄉豐田村中正路11號,1.0,133.0,內埔分局,
QSA00044,豐田村,屏東縣內埔鄉豐田村建民路1號,1.0,26.0,內埔分局,
QSA00051,豐田村,屏東縣內埔鄉豐田村建民路3號,1.0,33.0,內埔分局,
QSA00046,豐田村,屏東縣內埔鄉豐田村中正路16號,1.0,33.0,內埔分局,
QSA00036,豐田村,屏東縣內埔鄉豐田村興中一巷22號,1.0,106.0,內埔分局,
QSA00052,上樹村,屏東縣內埔鄉上樹村北寧路2段88號,1.0,66.0,內埔分局,
QSA00063,龍泉村,屏東縣內埔鄉龍泉村金陵路212號,1.0,33.0,內埔分局,
QSA00066,龍潭村,屏東縣內埔鄉龍潭村昭勝路265號,1.0,26.0,內埔分局,
QSA00064,龍潭村,屏東縣內埔鄉龍潭村昭勝路安平一巷1號,1.0,1788.0,內埔分局,共有3處、總計可容納人數5240人
QSA00065,龍潭村,屏東縣內埔鄉龍潭村昭勝路安平一巷1號,1.0,1294.0,內埔分局,共有3處、總計可容納人數5240人
QSA00106,龍潭村,屏東縣內埔鄉龍潭村昭勝路安平一巷1號,1.0,2158.0,內埔分局,共有3處、總計可容納人數5240人
QSA00067,中林村,屏東縣內埔鄉中林村大同路88號,1.0,276.0,內埔分局,共有2處、總計可容納人數517人
QSA00068,中林村,屏東縣內埔鄉中林村大同路88號,1.0,241.0,內埔分局,共有2處、總計可容納人數517人
QSA00069,中林村,屏東縣內埔鄉中林村中林路877號,1.0,33.0,內埔分局,
QSA00071,老埤村,"屏東縣內埔鄉老埤村學府路1號22.645482834953068, 120.60838307421226",1.0,1144.0,內埔分局,共有15處、總計可容納人數14258人
QSA00072,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,594.0,內埔分局,共有15處、總計可容納人數14258人
QSA00073,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,313.0,內埔分局,共有15處、總計可容納人數14258人
QSA00074,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,3108.0,內埔分局,共有15處、總計可容納人數14258人
QSA00075,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,804.0,內埔分局,共有15處、總計可容納人數14258人
QSA00076,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,349.0,內埔分局,共有15處、總計可容納人數14258人
QSA00077,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,581.0,內埔分局,共有15處、總計可容納人數14258人
QSA00078,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,313.0,內埔分局,共有15處、總計可容納人數14258人
QSA00079,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,1858.0,內埔分局,共有15處、總計可容納人數14258人
QSA00080,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,594.0,內埔分局,共有15處、總計可容納人數14258人
QSA00081,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,1097.0,內埔分局,共有15處、總計可容納人數14258人
QSA00082,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,358.0,內埔分局,共有15處、總計可容納人數14258人
QSA00118,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,1445.0,內埔分局,共有15處、總計可容納人數14258人
QSA00119,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,1324.0,內埔分局,共有15處、總計可容納人數14258人
QSA00120,老埤村,屏東縣內埔鄉老埤村學府路1號,1.0,376.0,內埔分局,共有15處、總計可容納人數14258人
QSA00088,內埔村,屏東縣內埔鄉內埔村文化路177號,1.0,28.0,內埔分局,
QSA00104,內埔村,屏東縣內埔鄉內埔村文化路183號,1.0,797.0,內埔分局,
QSA00093,內埔村,屏東縣內埔鄉內埔村文化路233號,1.0,46.0,內埔分局,
QSA00091,內埔村,屏東縣內埔鄉內埔村文化路277號,1.0,165.0,內埔分局,
QSA00109,內埔村,屏東縣內埔鄉內埔村中興路158號,1.0,974.0,內埔分局,
QSA00111,內埔村,屏東縣內埔鄉內埔村廣濟路2號,1.0,880.0,內埔分局,
QSA00092,內埔村,屏東縣內埔鄉內埔村勝光路55號,1.0,36.0,內埔分局,
QSA00083,內埔村,屏東縣內埔鄉內埔村惠陽街34號,1.0,104.0,內埔分局,
QSA00101,內埔村,屏東縣內埔鄉內埔村光華街8號,1.0,2568.0,內埔分局,
QSA00084,美和村,屏東縣內埔鄉美和村學人路267號,1.0,2327.0,內埔分局,
QSA00099,美和村,屏東縣內埔鄉美和村學人路321號,1.0,2586.0,內埔分局,
QSA00105,美和村,屏東縣內埔鄉美和村屏光路21號,1.0,9797.0,內埔分局,
QSA00097,美和村,屏東縣內埔鄉美和村屏光路23號,1.0,2277.0,內埔分局,共有3處、總計可容納人數17767人
QSA00114,美和村,屏東縣內埔鄉美和村屏光路23號,1.0,882.0,內埔分局,共有3處、總計可容納人數17767人
QSA00115,美和村,屏東縣內埔鄉美和村屏光路23號,1.0,2534.0,內埔分局,共有3處、總計可容納人數17767人
QSA00116,美和村,屏東縣內埔鄉美和村陽明路39號,1.0,2069.0,內埔分局,
QSA00095,東寧村,屏東縣內埔鄉東寧村北寧路31號,1.0,62.0,內埔分局,
QSA00085,東寧村,屏東縣內埔鄉東寧村北寧路142號,1.0,42.0,內埔分局,
QSA00122,東寧村,屏東縣內埔鄉東寧村北寧路448號,1.0,890.0,內埔分局,
QSA00098,東寧村,屏東縣內埔鄉東寧村康寧路148號,1.0,1433.0,內埔分局,
QSA00094,東寧村,屏東縣內埔鄉東寧村南寧路168號,1.0,40.0,內埔分局,
QSA00107,東寧村,屏東縣內埔鄉東寧村平昌街1號,1.0,165.0,內埔分局,
QSA00086,和興村,屏東縣內埔鄉和興村學興路26號,1.0,3236.0,內埔分局,
QSA00117,內田村,屏東縣內埔鄉內田村永光路12號,1.0,2858.0,內埔分局,
QSA00087,內田村,屏東縣內埔鄉內田村德美路296號,1.0,1051.0,內埔分局,
QSA00110,內田村,屏東縣內埔鄉內田村光明路226號,1.0,600.0,內埔分局,
QSA00003,水門村,屏東縣內埔鄉水門村成功路83號,1.0,265.0,內埔分局,共有7處、總計可容納人數4957人
QSA00004,水門村,屏東縣內埔鄉水門村成功路83號,1.0,562.0,內埔分局,共有7處、總計可容納人數4957人
QSA00005,水門村,屏東縣內埔鄉水門村成功路83號,1.0,562.0,內埔分局,共有7處、總計可容納人數4957人
QSA00006,水門村,屏東縣內埔鄉水門村成功路83號,1.0,562.0,內埔分局,共有7處、總計可容納人數4957人
QSA00007,水門村,屏東縣內埔鄉水門村成功路83號,1.0,2470.0,內埔分局,共有7處、總計可容納人數4957人
QSA00100,水門村,屏東縣內埔鄉水門村成功路83號,1.0,268.0,內埔分局,共有7處、總計可容納人數4957人
QSA00108,水門村,屏東縣內埔鄉水門村成功路83號,1.0,268.0,內埔分局,共有7處、總計可容納人數4957人
QSA00112,水門村,屏東縣內埔鄉水門村中山路339號,1.0,106.0,內埔分局,
QSA00001,萬巒村,屏東縣萬巒鄉萬巒村中正路29號,1.0,458.0,內埔分局,
