電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備註
QRA00006,大平村,屏東縣里港鄉大平村大平路50號,1.0,342.0,里港分局,
QRA00007,大平村,屏東縣里港鄉大平村中山路1號,1.0,669.0,里港分局,
QRA00002,永春村,屏東縣里港鄉永春村中山路102號,1.0,874.0,里港分局,
QRA00055,永春村,屏東縣里港鄉永春村中山路104號,1.0,689.0,里港分局,
QRA00005,春林村,屏東縣里港鄉春林村中山路2號,1.0,600.0,里港分局,
QRA00004,春林村,屏東縣里港鄉春林村中山路24號,1.0,745.0,里港分局,
QRA00008,春林村,屏東縣里港鄉春林村里港路136號,1.0,206.0,里港分局,
QRA00009,春林村,屏東縣里港鄉春林村里中路24號,1.0,154.0,里港分局,
QRA00056,過江村,屏東縣里港鄉過江村過江路43-1號,1.0,877.0,里港分局,
QRA00001,載興村,屏東縣里港鄉載興村新民路11號之6,1.0,132.0,里港分局,
QRA00060,載興村,屏東縣里港鄉載興村載南路17號,1.0,113.0,里港分局,
QRA00003,玉田村,屏東縣里港鄉玉田村玉田路26號,1.0,173.0,里港分局,
QRA00072,玉田村,屏東縣里港鄉玉田村八德路91號,1.0,1629.0,里港分局,共有2處、總計可容納人數2627人
QRA00073,玉田村,屏東縣里港鄉玉田村八德路91號,1.0,998.0,里港分局,共有2處、總計可容納人數2627人
QRA00010,三廍村,屏東縣里港鄉三廍村三和路119號之49,1.0,116.0,里港分局,
QRA00011,三廍村,屏東縣里港鄉三廍村三和路119號之86,1.0,41.0,里港分局,
QRA00061,三廍村,屏東縣里港鄉三廍村三和路119號之92,1.0,11194.0,里港分局,
QRA00078,三廍村,屏東縣里港鄉三廍村江南巷2-13號,1.0,264.0,里港分局,
QRA00012,中和村,屏東縣里港鄉中和村中南路1-6號,1.0,100.0,里港分局,
QRA00023,東寧村,屏東縣九如鄉東寧村東寧路3號,1.0,133.0,里港分局,
QRA00021,東寧村,屏東縣九如鄉東寧村東寧路15-3號,1.0,36.0,里港分局,
QRA00014,東寧村,屏東縣九如鄉東寧村東寧路155號,1.0,97.0,里港分局,
QRA00019,東寧村,屏東縣九如鄉東寧村九如路二段316號,1.0,608.0,里港分局,
QRA00020,玉泉村,屏東縣九如鄉玉泉村黃金路51號,1.0,220.0,里港分局,
QRA00015,大坵村,屏東縣九如鄉大坵村九如路三段30號,1.0,253.0,里港分局,
QRA00077,九明村,屏東縣九如鄉九明村中路21號,1.0,114.0,里港分局,
QRA00060,九清村,屏東縣九如鄉九清村九如路二段3-1號,1.0,2310.0,里港分局,
QRA00016,九清村,屏東縣九如鄉九清村九如路二段36號之01,1.0,96.0,里港分局,
QRA00017,九清村,屏東縣九如鄉九清村九如路二段205號之01,1.0,300.0,里港分局,
QRA00027,鹽南村,屏東縣鹽埔鄉鹽南村興學路3號,1.0,246.0,里港分局,
QRA00025,鹽南村,屏東縣鹽埔鄉鹽南村興學路19號,1.0,176.0,里港分局,
QRA00069,鹽南村,屏東縣鹽埔鄉鹽南村勝利路32號,1.0,1840.0,里港分局,
QRA00070,鹽北村,屏東縣鹽埔鄉鹽北村勝利路187號,1.0,489.0,里港分局,
QRA00068,鹽中村,屏東縣鹽埔鄉鹽中村勝利路37號,1.0,864.0,里港分局,
QRA00026,鹽中村,屏東縣鹽埔鄉鹽中村民族路4號,1.0,60.0,里港分局,
QRA00039,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,878.0,里港分局,共有8處、總計可容納人數19534人
QRA00040,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,2568.0,里港分局,共有8處、總計可容納人數19534人
QRA00044,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,681.0,里港分局,共有8處、總計可容納人數19534人
QRA00062,新二村,屏東縣鹽埔鄉新二村維新路20號,1.2,8136.0,里港分局,共有8處、總計可容納人數19534人
QRA00063,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,2020.0,里港分局,共有8處、總計可容納人數19534人
QRA00064,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,1100.0,里港分局,共有8處、總計可容納人數19534人
QRA00065,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,3061.0,里港分局,共有8處、總計可容納人數19534人
QRA00066,新二村,屏東縣鹽埔鄉新二村維新路20號,1.0,1090.0,里港分局,共有8處、總計可容納人數19534人
QRA00042,新二村,屏東縣鹽埔鄉新二村維新路168號之8,1.0,80.0,里港分局,
QRA00030,新二村,屏東縣鹽埔鄉新二村維新路178號,1.0,37.0,里港分局,
QRA00029,新二村,屏東縣鹽埔鄉新二村德協路132號,1.0,54.0,里港分局,
QRA00032,新二村,屏東縣鹽埔鄉新二村大仁西街55號,1.0,300.0,里港分局,
QRA00075,彭厝村,屏東縣鹽埔鄉彭厝村莒光路168號,1.0,121.0,里港分局,
QRA00046,振興村,屏東縣鹽埔鄉振興村忠誠街30號,1.0,918.0,里港分局,
QRA00050,高樹村,屏東縣高樹鄉高樹村南興路12號,1.0,44.0,里港分局,
QRA00055,高樹村,屏東縣高樹鄉高樹村南興路74號,1.0,354.0,里港分局,
QRA00051,高樹村,屏東縣高樹鄉高樹村南興路99號,1.0,398.0,里港分局,
QRA00049,高樹村,屏東縣高樹鄉高樹村南興路141號,1.0,114.0,里港分局,
QRA00071,高樹村,屏東縣高樹鄉高樹村興中路329號,1.2,3288.0,里港分局,
QRA00053,高樹村,屏東縣高樹鄉高樹村興中路330號,1.0,1649.0,里港分局,
