類別,建築物名稱,電腦編號,村里別,地址,地下樓層數,可容納人數,派出所,備註,經度,緯度
大樓,大樓,D901000001,龍潭里,新北市瑞芳區明燈路3段69號,1.0,216.0,瑞芳派出所,,121.820295,25.106809
大樓,大樓,D901000002,龍潭里,新北市瑞芳區明燈路3段73號,1.0,251.0,瑞芳派出所,,121.820199,25.106848
大樓,宗倫大樓,D901000003,龍潭里,新北市瑞芳區民生街36號,1.0,366.0,瑞芳派出所,,121.80562,25.10709
公寓,瑞芳區公所,D901000004,龍鎮里,新北市瑞芳區逢甲路82號,1.0,320.0,瑞芳派出所,,121.809859,25.10889
公寓,義方國小,D901000005,龍山里,新北市瑞芳區逢甲路360號,1.0,542.0,瑞芳派出所,,121.802116,25.113092
大樓,瑞玉昌糧食華夏,D901000006,龍潭里,新北市瑞芳區明燈路3段77號,1.0,122.0,瑞芳派出所,,121.820107,25.106898
大樓,瑞慈風情,D901000007,爪峯里,新北市瑞芳區三爪子坑路106巷112號,1.0,405.0,瑞芳派出所,,121.808601,25.104172
大樓,建和大樓,D901000008,龍川里,新北市瑞芳區一坑路7號,1.0,277.0,瑞芳派出所,,121.803337,25.108276
公寓,瑞芳高工(桌球室),D901000009,龍安里,新北市瑞芳區瑞芳街60號,1.0,211.0,瑞芳派出所,,121.804681,25.110733
公寓,瑞芳高工(韻律教室),D901000010,龍安里,新北市瑞芳區瑞芳街60號,1.0,384.0,瑞芳派出所,,121.804681,25.110733
公寓,瑞芳郵局,D901000011,龍興里,新北市瑞芳區中正路13號,1.0,160.0,瑞芳派出所,,,
公寓,公寓,D901000012,龍興里,新北市瑞芳區明燈路3段38號,1.0,104.0,瑞芳派出所,,121.810097,25.107778
大樓,大樓,D901000013,龍興里,新北市瑞芳區中正路23號,1.0,125.0,瑞芳派出所,,121.807853,25.106998
大樓,大樓,D901000014,龍興里,新北市瑞芳區中正路34至38號,1.0,591.0,瑞芳派出所,,121.806339,25.107155
大樓,民族華夏,D901000015,龍興里,新北市瑞芳區中正路45號,1.0,503.0,瑞芳派出所,,121.807016,25.107202
公寓,公寓,D901000016,龍興里,新北市瑞芳區明燈路3段11號,1.0,74.0,瑞芳派出所,,121.808614,25.107426
公寓,公寓,D901000017,新峰里,新北市瑞芳區三爪子坑路14號,1.0,795.0,瑞芳派出所,,121.810288,25.106619
大樓,達樂花園社區,D901000018,新峰里,新北市瑞芳區員山子路3號,2.0,2038.0,瑞芳派出所,,121.819027,25.1045
公寓,台灣電力公司,D901000019,東和里,新北市瑞芳區中山路50號,1.0,306.0,瑞芳派出所,,,
