類別,電腦編號,村里別,地址,地下樓層數,可容納人數
學校,TOA0001,大忠村,宜蘭縣礁溪鄉大忠村礁溪路四段135號,1.0,409.0
住宅,TOA0002,大忠村,宜蘭縣礁溪鄉大忠村和平路35號,1.0,435.0
廟宇,TOA0003,大忠村,宜蘭縣礁溪鄉大忠村中山路一段51號,1.0,92.0
飯店,TOA0004,德陽村,宜蘭縣礁溪鄉德陽村溫泉路51-1號,1.0,304.0
飯店,TOA0005,德陽村,宜蘭縣礁溪鄉德陽村德陽路8巷1號,1.0,213.0
飯店,TOA0006,玉石村,宜蘭縣礁溪鄉玉石村公園路1號,1.0,276.0
住宅,TOA0007,德陽村,宜蘭縣礁溪鄉德陽村德陽路231巷14弄28號,1.0,1577.0
住宅,TOA0008,德陽村,宜蘭縣礁溪鄉德陽村德陽路247巷10號,1.0,993.0
住宅,TOA0009,德陽村,宜蘭縣礁溪鄉德陽村德陽路66巷1號,1.0,1170.0
住宅,TOA0010,德陽村,宜蘭縣礁溪鄉德陽村德陽路90巷12號,1.0,436.0
住宅,TOA0011,大忠村,宜蘭縣礁溪鄉大忠村礁溪路4段129號,1.0,564.0
住宅,TOA0012,德陽村,宜蘭縣礁溪鄉德陽村德陽路221號,1.0,485.0
住宅,TOA0013,大忠村,宜蘭縣礁溪鄉大忠村礁溪路4段108號,1.0,564.0
住宅,TOA0014,玉石村,宜蘭縣礁溪鄉玉石村忠孝路27巷8弄1號,1.0,1916.0
飯店,TOA0015,玉石村,宜蘭縣礁溪鄉玉石村忠孝路8號,1.0,873.0
鄉公所,TOA0016,六結村,宜蘭縣礁溪鄉六結村中山路二段3號,1.0,1176.0
住宅,TOA0017,德陽村,宜蘭縣礁溪鄉德陽村溫泉路53號,2.0,1181.0
住宅,TOA0018,德陽村,宜蘭縣礁溪鄉德陽村德陽路111巷16號,1.0,2561.0
工廠,TOA0019,大忠村,宜蘭縣礁溪鄉大忠村五峰路41之1號,1.0,49.0
住宅,TOA0020,大忠村,宜蘭縣礁溪鄉大忠村化龍街22號,1.0,287.0
飯店,TOA0021,大忠村,宜蘭縣礁溪鄉大忠村五峰路69號,2.0,643.0
住宅,TOA0022,大忠村,宜蘭縣礁溪鄉大忠村和平路93號,1.0,734.0
住宅,TOA0023,大忠村,宜蘭縣礁溪鄉大忠村化龍街1號,1.0,737.0
住宅,TOA0024,大忠村,宜蘭縣礁溪鄉大忠村大忠路125號,1.0,451.0
住宅,TOA0025,大忠村,宜蘭縣礁溪鄉大忠村和平路110號,1.0,2130.0
飯店,TOA0026,玉石村,宜蘭縣礁溪鄉玉石村礁溪路5段121號,1.0,320.0
飯店,TOA0027,玉石村,宜蘭縣礁溪鄉玉石村公園路25號,1.0,190.0
農會,TOA0028,六結村,宜蘭縣礁溪鄉六結村中山路1段175之1號,1.0,583.0
郵局,TOA0029,六結村,宜蘭縣礁溪鄉六結村礁溪路4段130號,1.0,648.0
飯店,TOA0030,德陽村,宜蘭縣礁溪鄉德陽村礁溪路5段112號,4.0,2241.0
