電腦編號,建築物名稱,縣(市),鄉鎮市區,村里別,緯度,經度,避難樓層,防空避難設備面積,是否兼作停車空間,容量,類別,依建築物類型分類,依容納人數分類,進出口2處(含)以上,有發電機,有通風設備,有照明設備,轄管分局,建檔日期,最後修正日期,備註
B02-01-002,私人住宅,桃園市,龜山區,龍華里,25.017397,121.403788,1.0,189.0,,210.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B02-02-003,大樓社區,桃園市,龜山區,龍華里,25.016481,121.400478,2.0,520.0,V,361.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-01-004,工廠,桃園市,龜山區,龍壽里,25.017095,121.395994,1.0,31.0,,34.0,F4,F,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-02-005,社區大樓,桃園市,龜山區,龍壽里,25.016776,121.39601,1.0,45.0,,50.0,E4,E,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-05-008,工廠,桃園市,龜山區,龍壽里,25.016528,121.395578,1.0,21.0,,23.0,F4,F,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-06-009,工廠(客惟您食品),桃園市,龜山區,龍壽里,25.015837,121.394233,1.0,401.0,,445.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-08-011,私人住宅,桃園市,龜山區,龍壽里,25.01642,121.395941,1.0,87.0,,96.0,E4,E,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-10-013,創業家大樓,桃園市,龜山區,龍壽里,25.016406,121.395965,1.0,179.0,,198.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-11-014,工廠,桃園市,龜山區,龍壽里,25.016361,121.393622,3.0,5026.0,V,3490.0,F2,F,2.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
B04-02-016,私人住宅,桃園市,龜山區,龍壽里,25.010318,121.389094,1.0,27.0,,30.0,E4,E,4.0,,,v,v,龜山分局,4/19/2023,12/31/2023,
B04-03-017,私人住宅,桃園市,龜山區,龍壽里,25.010318,121.389094,1.0,180.0,,200.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B04-04-018,工廠,桃園市,龜山區,龍壽里,25.011177,121.377671,1.0,148.0,,164.0,F3,F,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
B04-05-019,工廠,桃園市,龜山區,龍壽里,25.011128,121.37764,1.0,202.0,,224.0,F3,F,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
B04-06-020,証瓏企業大樓,桃園市,龜山區,龍壽里,25.009234,121.378947,1.0,67.0,,74.0,E4,E,4.0,,,,,龜山分局,4/19/2023,12/31/2023,
B04-07-021,大樓,桃園市,龜山區,龍壽里,25.00948,121.375294,4.0,712.0,V,494.0,E3,F,3.0,v,v,,,龜山分局,4/19/2023,12/31/2023,
B04-08-022,大樓,桃園市,龜山區,龍壽里,25.007929,121.378916,1.0,97.87,,108.0,E3,F,3.0,,,v,v,龜山分局,4/19/2023,12/31/2023,
B05-01-023,工廠,桃園市,龜山區,龍壽里,25.009375,121.380193,1.0,141.0,,156.0,F3,F,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
B06-01-024,工廠,桃園市,龜山區,迴龍里,25.018503,121.406051,1.0,503.0,V,349.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B06-02-025,21世紀社區大樓,桃園市,龜山區,迴龍里,25.019179,121.406533,1.0,915.0,,1016.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B06-03-026,21世紀社區大樓,桃園市,龜山區,迴龍里,25.018452,121.406875,1.0,1181.0,V,820.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B06-04-027,社區大樓,桃園市,龜山區,迴龍里,25.01995,121.406411,1.0,3242.0,,3602.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B06-06-029,社區大樓,桃園市,龜山區,迴龍里,25.019603,121.406712,1.0,2559.0,V,1777.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B06-07-030,社區大樓,桃園市,龜山區,迴龍里,25.019333,121.407029,3.0,844.0,V,586.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B08-01-031,龍華天下大樓,桃園市,龜山區,龍華里,25.017496,121.402494,1.0,649.0,,721.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B08-02-032,"龍華科技大學大樓
(語言中心)",桃園市,龜山區,龍華里,25.018292,121.401055,1.0,431.0,V,299.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B08-03-033,金元寶社區大樓,桃園市,龜山區,龍華里,25.018215,121.402847,1.0,408.0,,453.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B08-04-034,"龍華科技大學
(第一教學大樓)",桃園市,龜山區,龍華里,25.018592,121.402952,1.0,1005.0,,1116.0,E3,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B08-05-035,"龍華科技大學大樓
(創新育成中心)",桃園市,龜山區,龍華里,25.020303,121.401119,1.0,1005.0,,1116.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B08-06-036,"龍華科技大學
(法治大樓)",桃園市,龜山區,龍華里,25.019673,121.401223,1.0,983.0,,1092.0,E2,E,2.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B09-05-041,社區大樓,桃園市,龜山區,龍華里,25.017195,121.401537,2.0,615.0,,683.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B10-01-042,辦公大樓,桃園市,龜山區,龍華里,25.016497,121.398162,1.0,7872.0,V,5466.0,F2,F,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B14-01-060,龍鳳學院社區,桃園市,龜山區,迴龍里,25.018847,121.405468,1.0,1363.1,V,946.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B01-02-063,新世紀工廠,桃園市,龜山區,龍壽里,25.009996,121.378505,1.0,668.49,V,464.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A01-15-048,社區大樓,桃園市,龜山區,迴龍里,25.018961,121.404125,2.0,470.95,V,327.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B01-10-110,新東電子工廠,桃園市,龜山區,龍華里,25.016456,121.398852,2.0,586.89,V,407.0,F3,F,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B03-10-055,工廠,桃園市,龜山區,龍華里,25.017337,121.399331,1.0,347.3,,385.0,F3,F,3.0,,,,,龜山分局,4/19/2023,12/31/2023,
B03-10-056,佳佑上境社區大樓,桃園市,龜山區,迴龍里,25.019337,121.406437,2.0,375.9,,417.0,E3,E,3.0,,,,,龜山分局,4/19/2023,12/31/2023,
B03-10-057,大樓,桃園市,龜山區,龍壽里,25.00952,121.379104,0.0,642.67,V,446.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2024,12/31/2024,
A01-03-003,H(龜山派出所),桃園市,龜山區,龜山里,24.995278,121.338654,1.0,437.0,V,303.0,H3,H,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A01-04-004,私人住宅,桃園市,龜山區,龜山里,24.994883,121.337847,1.0,272.0,V,188.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A01-05-005,龜山國小,桃園市,龜山區,龜山里,24.994086,121.338873,1.0,490.0,,544.0,C3,C3,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A02-02-007,私人住宅,桃園市,龜山區,龜山里,24.999251,121.345736,1.0,1267.0,V,879.0,E3,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A02-03-008,社區大樓,桃園市,龜山區,龜山里,25.000131,121.347089,2.0,963.66,V,669.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A02-04-009,社區大樓,桃園市,龜山區,龜山里,25.000589,121.346668,2.0,720.6,V,500.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A02-05-010,工廠,桃園市,龜山區,龜山里,25.002143,121.341751,2.0,175.58,V,121.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A02-06-011,社區大樓,桃園市,龜山區,龜山里,25.000592,121.346672,2.0,1412.69,V,981.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A05-04-017,大樓(皇家豪景),桃園市,龜山區,楓樹里,25.007136,121.342491,2.0,467.0,V,324.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A05-05-018,工廠,桃園市,龜山區,楓福里,25.000482,121.3451,1.0,308.0,V,213.0,F3,F,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A07-09-027,工廠,桃園市,龜山區,福源里,24.983501,121.344802,1.0,210.0,V,145.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A07-16-034,工廠,桃園市,龜山區,福源里,24.98097,121.344878,1.0,49.0,V,34.0,F4,F,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A07-17-035,私人住宅,桃園市,龜山區,福源里,24.984289,121.348525,1.0,150.0,V,104.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A08-01-039,社區大樓,桃園市,龜山區,陸光里,24.996651,121.331061,2.0,4789.0,V,3325.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A09-01-040,社區大樓,桃園市,龜山區,陸光里,24.995607,121.330891,2.0,3513.0,V,2439.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A09-02-041,社區大樓,桃園市,龜山區,陸光里,24.995509,121.33154,2.0,1682.0,V,1168.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A10-01-042,私人住宅,桃園市,龜山區,嶺頂里,25.002416,121.350233,1.0,224.0,V,155.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A10-25-066,大樓,桃園市,龜山區,嶺頂里,24.998633,121.356538,1.0,151.0,V,104.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A10-30-071,社區大樓,桃園市,龜山區,嶺頂里,25.003109,121.350488,1.0,1505.0,V,1045.0,E2,E,2.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-07-090,"學校 (銘傳大學地下停車場A)",桃園市,龜山區,大同里,24.985383,121.343316,1.0,744.0,V,516.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-08-091,"學校 (銘傳大學地下停車場B)",桃園市,龜山區,大同里,24.985293,121.343595,1.0,860.0,V,597.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-18-101," 大樓",桃園市,龜山區,大同里,24.988563,121.344011,1.0,778.0,V,540.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A18-05-109,"私人住宅 (忠恕道院)",桃園市,龜山區,兔坑里,24.991936,121.372099,1.0,75.0,V,52.0,E4,E,4.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-19-127,"學校 (銘傳大學體育館大樓)",桃園市,龜山區,大同里,24.984319,121.342371,1.0,118.0,V,81.0,E4,E,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A12-01-129,龜山區公所,桃園市,龜山區,新路里,24.99258,121.33799,1.0,2146.0,V,1490.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A05-06-142,大樓,桃園市,龜山區,楓樹里,25.008795,121.342081,1.0,195.0,V,135.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A37-03-153,"大樓 (森麟御)",桃園市,龜山區,楓樹里,25.00883,121.342631,1.0,1658.0,V,1151.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A37-02-156,"大樓 (護理之家)",桃園市,龜山區,楓樹里,25.010131,121.341439,1.0,1191.0,V,827.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
C04-01-003,"學校 (中央警察大學)",桃園市,龜山區,大崗里,25.046672,121.350933,1.0,152.0,V,105.0,C3,C,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
C13-02-028,大樓(翔鳳座A棟),桃園市,龜山區,大湖里,25.055454,121.359862,1.0,158.53,V,110.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
C13-03-029,大樓(翔鳳座B棟),桃園市,龜山區,大湖里,25.055515,121.359536,1.0,193.3,V,134.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
C04-01-002,"學校 (中央警察大學)",桃園市,龜山區,大崗里,25.047143,121.351038,1.0,304.71,V,211.0,E2,E,2.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO1-05-005,私人住宅,桃園市,龜山區,南上里,25.042319,121.29912,1.0,72.51,V,50.0,E4,E,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO1-09-009,私人住宅,桃園市,龜山區,南上里,25.040798,121.300621,2.0,1766.0,V,1226.0,E2,E,2.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO2-01-013,工廠,桃園市,龜山區,南上里,25.033812,121.304989,1.0,221.18,V,153.0,F3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO2-16-028,工廠,桃園市,龜山區,南上里,25.034035,121.302578,1.0,161.0,V,111.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO2-17-029,私人住宅,桃園市,龜山區,南上里,25.034758,121.302106,1.0,1745.0,V,1211.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO3-11-044,工廠,桃園市,龜山區,大坑里,25.044177,121.30605,3.0,608.0,V,422.0,F3,F,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO3-13-046,私人住宅,桃園市,龜山區,大坑里,25.044558,121.309626,1.0,106.0,V,73.0,E4,E,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
DO5-03-054,大樓,桃園市,龜山區,南美里,25.045366,121.301082,1.0,55.0,V,38.0,E2,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
E01-04-004,"私人住宅 (長庚養生村)",桃園市,龜山區,舊路里,25.018446,121.368466,1.0,302.44,V,210.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
E05-02-013,工廠,桃園市,龜山區,樂善里,25.050781,121.381892,1.0,166.0,V,115.0,F3,F,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
E01-06-041,"私人住宅 (長庚養生村)",桃園市,龜山區,舊路里,25.019764,121.370412,1.0,1922.0,V,1334.0,F2,F,2.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
F03-02-059,"學校 (幸福國中圖書館)",桃園市,龜山區,幸福里,24.987962,121.332538,1.0,2017.0,V,1400.0,C2,C,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
F14-40-069,(法務部矯正署臺北監獄),桃園市,龜山區,山頂里,24.980191,121.332292,1.0,2760.0,V,1916.0,C2,C,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
G04-04-014,"私人住宅 (私立丞格幼稚園)",桃園市,龜山區,文化里,25.057638,121.369127,3.0,7541.0,V,5236.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
G22-01-006,大樓,桃園市,龜山區,文化里,25.05864,121.369056,1.0,223.0,V,154.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
G22-01-015,大樓,桃園市,龜山區,文化里,25.056516,121.371156,1.0,1226.08,V,851.0,F2,F,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A13-04-081,透天社區,桃園市,龜山區,大同里,24.991594,121.343384,1.0,480.29,V,333.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A13-05-082,大樓,桃園市,龜山區,大同里,24.989387,121.346849,1.0,520.0,V,361.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A13-06-083,大樓,桃園市,龜山區,大同里,24.991427,121.344627,1.0,900.0,V,625.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-02-085,私人住宅,桃園市,龜山區,大同里,24.987794,121.348064,2.0,2031.0,V,1410.0,E2,E,2.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
A14-03-086,大樓,桃園市,龜山區,大同里,24.988425,121.346836,1.0,740.39,V,514.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-06-089,大樓,桃園市,龜山區,大同里,24.992683,121.340929,2.0,2466.0,V,1712.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-13-096,大樓,桃園市,龜山區,大同里,24.988482,121.343078,2.0,3158.0,V,2193.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A15-01-102,私人住宅,桃園市,龜山區,嶺頂里,25.002836,121.367413,1.0,304.53,V,211.0,E3,E,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
A17-01-104,大樓,桃園市,龜山區,新路里,24.993268,121.337547,2.0,1374.32,V,954.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A18-04-108,工廠,桃園市,龜山區,兔坑里,24.989036,121.365482,1.0,775.6,V,538.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A21-02-111,大樓,桃園市,龜山區,龜山里,24.99662,121.33788,3.0,2637.51,V,1831.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A23-01-113,工廠,桃園市,龜山區,兔坑里,24.99661,121.363671,3.0,1838.11,V,1276.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
