電腦編號,建築物名稱,縣(市),鄉鎮市區,村里別,緯度,經度,避難樓層,防空避難設備面積,是否兼作停車空間,容量,類別,依建築物類型分類,依容納人數分類,進出口2處(含)以上,有發電機,有通風設備,有照明設備,轄管分局,建檔日期,最後修正日期,備註
B09-03-039,私人住宅,桃園市,龜山區,龍華里,25.017227,121.401356,1.0,122.0,,135.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B11-03-045,私人住宅,桃園市,龜山區,迴龍里,25.02021,121.406613,1.0,37.0,,41.0,E4,E,4.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B12-01-047,大樓,桃園市,龜山區,迴龍里,25.018347,121.407556,1.0,464.0,,515.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B12-02-048,私人住宅(私立南華幼兒園),桃園市,龜山區,迴龍里,25.018357,121.407474,3.0,183.0,V,127.0,E3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B12-03-049,社區大樓,桃園市,龜山區,迴龍里,25.01727,121.405819,1.0,1906.0,,2117.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B12-04-050,私人住宅(育全迴龍幼兒園),桃園市,龜山區,迴龍里,25.017911,121.406038,3.0,70.0,V,48.0,E4,E,4.0,,,v,v,龜山分局,4/19/2023,12/31/2023,
B13-02-052,私人住宅,桃園市,龜山區,迴龍里,25.018444,121.406356,1.0,57.0,,63.0,E4,E,4.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
B13-03-053,學校(迴龍國民中小學),桃園市,龜山區,迴龍里,25.019488,121.405081,3.0,2277.38,,2530.0,C2,C,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B13-04-054,私人住宅,桃園市,龜山區,迴龍里,25.018994,121.404032,1.0,317.0,V,220.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B13-05-055,社區大樓,桃園市,龜山區,迴龍里,25.01964,121.40787,1.0,1028.0,V,713.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B13-06-056,學校(私立光啟高中),桃園市,龜山區,迴龍里,25.020246,121.402291,1.0,1509.0,V,1047.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B13-07-057,社區大樓,桃園市,龜山區,迴龍里,25.018445,121.406359,3.0,1242.0,,1380.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B07-01-058,社區大樓,桃園市,龜山區,迴龍里,25.018461,121.410313,1.0,206.0,V,143.0,E3,E,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
B04-09-059,工廠,桃園市,龜山區,龍壽里,25.0081,121.379261,1.0,455.94,V,316.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
B01-02-061,H(迴龍派出所),桃園市,龜山區,迴龍里,25.018694,121.408915,1.0,330.69,V,229.0,H3,H,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
B01-02-062,社區大樓,桃園市,龜山區,龍華里,25.016219,121.399378,1.0,196.17,V,136.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A02-13-141,社區大樓,桃園市,龜山區,龍華里,25.016668,121.401311,2.0,1499.48,V,1041.0,E2,E,2.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A04-01-013,工廠(太友工程),桃園市,龜山區,嶺頂里,25.003637,121.368223,1.0,610.0,V,423.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A05-03-016,工廠,桃園市,龜山區,楓福里,25.001944,121.345121,1.0,3651.0,V,2535.0,F2,F,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A07-20-038,工廠,桃園市,龜山區,福源里,24.982292,121.354029,1.0,30.0,V,20.0,F4,F,4.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A10-21-062,工廠,桃園市,龜山區,嶺頂里,25.001277,121.354454,1.0,511.0,V,354.0,F3,F,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A10-32-073,私人住宅,桃園市,龜山區,嶺頂里,24.999422,121.355453,1.0,575.0,V,399.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A11-03-077,私人住宅,桃園市,龜山區,新路里,24.991347,121.333976,1.0,1803.0,V,1252.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-04-087,大樓,桃園市,龜山區,新路里,24.993505,121.337711,1.0,756.4,V,525.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-09-092,大樓,桃園市,龜山區,大同里,24.990803,121.341802,1.0,1516.0,V,1052.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-14-097,大樓,桃園市,龜山區,大同里,24.989481,121.342259,2.0,1743.0,V,1210.0,E3,E,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
A14-15-098,"大樓 (大學之道)",桃園市,龜山區,大同里,24.988416,121.343647,2.0,1618.0,V,1123.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A14-16-099,大樓,桃園市,龜山區,大同里,24.990075,121.342449,1.0,149.72,V,103.0,E3,E,3.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
A14-17-100,大樓,桃園市,龜山區,大同里,24.99004,121.344497,2.0,1618.13,V,1123.0,D2,D,2.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
A15-02-103,大樓,桃園市,龜山區,嶺頂里,25.00119,121.363379,2.0,1479.02,V,1027.0,E2,E,2.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
A24-01-116,"私人住宅 (透天社區)",桃園市,龜山區,兔坑里,24.995345,121.358054,2.0,1275.79,V,885.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A26-02-118,大樓,桃園市,龜山區,新嶺里,24.99915,121.362031,3.0,1274.28,V,884.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A27-03-121,大樓,桃園市,龜山區,大同里,24.996661,121.344717,3.0,604.18,V,419.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
A27-11-135,大樓,桃園市,龜山區,大同里,24.998587,121.346996,2.0,1435.77,V,997.0,E3,E,3.0,,v,v,v,龜山分局,4/19/2023,12/31/2023,
A22-03-145,"學校 (壽山高中)",桃園市,龜山區,龜山里,24.99457,121.340991,1.0,578.0,,642.0,C2,C,2.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-093,大樓,桃園市,龜山區,樂善里,25.052926,121.390805,4.0,2188.48,V,1519.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-086,大樓,桃園市,龜山區,長庚里,25.055473,121.383815,4.0,9363.66,V,6502.0,E2,E,2.0,v,v,v,v,龜山分局,6/28/2023,12/31/2023,
E22-02-094,私人住宅,桃園市,龜山區,文青里,25.039906,121.388453,4.0,985.42,V,684.0,E3,E,3.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-095,大樓,桃園市,龜山區,樂善里,25.050557,121.384174,4.0,714.49,V,496.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-096,大樓,桃園市,龜山區,樂善里,25.046184,121.392423,1.0,60.0,V,41.0,E4,E,4.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-097,大樓,桃園市,龜山區,樂善里,25.051179,121.383309,1.0,26.0,V,18.0,E4,E,4.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-098,大樓,桃園市,龜山區,樂善里,25.051896,121.388724,1.0,55.0,V,38.0,E4,E,4.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-099,大樓,桃園市,龜山區,樂善里,25.04812,121.381859,1.0,26.0,V,18.0,E4,E,4.0,,,v,v,龜山分局,4/19/2023,12/31/2023,
E22-02-100,大樓(A7大亮時代),桃園市,龜山區,樂善里,25.04473,121.384627,1.0,2938.0,V,2040.0,E2,E,2.0,v,,v,v,龜山分局,4/19/2023,12/31/2023,
F06-01-003,工廠,桃園市,龜山區,山福里,24.989523,121.328827,1.0,600.0,V,416.0,E4,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
F06-02-004,私人住宅,桃園市,龜山區,山福里,24.988989,121.328652,1.0,3017.0,V,2095.0,E4,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
F06-03-005,工廠,桃園市,龜山區,山福里,24.988602,121.32903,1.0,46.0,V,31.0,F4,F,2.0,,,v,v,龜山分局,4/19/2023,12/31/2023,
F06-06-008,私人住宅,桃園市,龜山區,山福里,24.988802,121.328982,1.0,132.0,V,91.0,F4,F,3.0,,,v,v,龜山分局,4/19/2023,12/31/2023,
G22-01-002,大樓,桃園市,龜山區,文化里,25.046005,121.378873,2.0,446.36,,495.0,D2,D,2.0,,,,,龜山分局,4/19/2023,12/31/2023,
G22-01-013,大樓,桃園市,龜山區,文化里,25.046972,121.378799,1.0,298.89,V,207.0,F2,F,2.0,v,v,v,v,龜山分局,5/6/2024,12/31/2024,
G22-01-014,大樓,桃園市,龜山區,文化里,25.054277,121.373224,2.0,584.16,V,405.0,F2,F,2.0,v,v,v,v,龜山分局,5/1/2024,12/31/2024,
B01-01-001,大樓社區,桃園市,龜山區,迴龍里,25.020947,121.410527,1.0,1081.0,,1201.0,E2,E,2.0,v,v,v,v,龜山分局,4/19/2023,12/31/2023,
