類別,電腦編號,村里別,地址,地下層數層數,可容納人數,備註
公寓,1.0,新市里,金門縣金湖鎮新市里中正路32號,1.0,20人,
公寓,2.0,新市里,金門縣金湖鎮新市里中正路34號,1.0,20人,
公寓,3.0,新市里,金門縣金湖鎮新市里中正路59號,1.0,10人,
公寓,4.0,新市里,金門縣金湖鎮新市里中正路59之1號,1.0,10人,
公寓,5.0,新市里,金門縣金湖鎮新市里中正路59之3號,1.0,10人,
公寓,6.0,新市里,金門縣金湖鎮新市里中正路59之5號,1.0,10人,
公寓,7.0,新市里,金門縣金湖鎮新市里復興路6號,1.0,10人,
公寓,8.0,新市里,金門縣金湖鎮新市里復興路6之1號,1.0,10人,
公寓,9.0,新市里,金門縣金湖鎮新市里復興路6之2號,1.0,10人,
公寓,10.0,新市里,金門縣金湖鎮新市里復興路10號,1.0,10人,
公寓,11.0,新市里,金門縣金湖鎮新市里復興路12號,1.0,10人,
公寓,12.0,新市里,金門縣金湖鎮新市里復興路14號,1.0,10人,
公寓,13.0,新市里,金門縣金湖鎮新市里復興路15號,1.0,10人,
公寓,14.0,新市里,金門縣金湖鎮新市里復興路20號,1.0,10人,
公寓,15.0,新市里,金門縣金湖鎮新市里復興路21號,1.0,10人,
公寓,16.0,新市里,金門縣金湖鎮新市里復興路31號,1.0,10人,
公寓,17.0,新市里,金門縣金湖鎮新市里復興路32號,1.0,10人,
公寓,18.0,新市里,金門縣金湖鎮新市里復興路33號,1.0,10人,
公寓,19.0,新市里,金門縣金湖鎮新市里復興路39號,1.0,10人,
公寓,20.0,新市里,金門縣金湖鎮新市里復興路66號,1.0,20人,
公寓,21.0,新市里,金門縣金湖鎮新市里國順街1號,1.0,10人,
公寓,22.0,新市里,金門縣金湖鎮新市里國順街2號,1.0,10人,
公寓,23.0,新市里,金門縣金湖鎮新市里國順街3號,1.0,10人,
公寓,24.0,新市里,金門縣金湖鎮新市里國順街4號,1.0,10人,
公寓,25.0,新市里,金門縣金湖鎮新市里國順街5號,1.0,10人,
公寓,26.0,新市里,金門縣金湖鎮新市里國順街6號,1.0,10人,
公寓,27.0,新市里,金門縣金湖鎮新市里國順街7號,1.0,10人,
公寓,28.0,新市里,金門縣金湖鎮新市里國順街8號,1.0,10人,
公寓,29.0,新市里,金門縣金湖鎮新市里國順街9號,1.0,10人,
公寓,30.0,新市里,金門縣金湖鎮新市里國順街10號,1.0,10人,
公寓,31.0,新市里,金門縣金湖鎮新市里國順街11號,1.0,10人,
公寓,32.0,新市里,金門縣金湖鎮新市里國順街14號,1.0,10人,
公寓,33.0,新市里,金門縣金湖鎮新市里國順街16號,1.0,20人,
公寓,34.0,新市里,金門縣金湖鎮新市里國順街17號,1.0,10人,
公寓,35.0,新市里,金門縣金湖鎮新市里國順街18號,1.0,20人,
公寓,36.0,新市里,金門縣金湖鎮新市里國順街19號,1.0,10人,
公寓,37.0,新市里,金門縣金湖鎮新市里國順街20號,1.0,5人,
公寓,38.0,新市里,金門縣金湖鎮新市里國順街21號,1.0,10人,
公寓,39.0,新市里,金門縣金湖鎮新市里國順街23號,1.0,10人,
公寓,40.0,新市里,金門縣金湖鎮新市里國順街25號,1.0,10人,
公寓,41.0,新市里,金門縣金湖鎮新市里國順街27號,1.0,10人,
公寓,42.0,新市里,金門縣金湖鎮新市里國順街28號,1.0,5人,
公寓,43.0,新市里,金門縣金湖鎮新市里國順街29號,1.0,10人,
公寓,44.0,新市里,金門縣金湖鎮新市里國順街30號,1.0,5人,
公寓,45.0,新市里,金門縣金湖鎮新市里國順街32號,1.0,5人,
公寓,46.0,新市里,金門縣金湖鎮新市里國順街33號,1.0,10人,
公寓,47.0,新市里,金門縣金湖鎮新市里國順街35號,1.0,10人,
公寓,48.0,新市里,金門縣金湖鎮新市里武德新莊1號,1.0,10人,
