類別,電腦編號,村里別,地址,地下樓層數,可容納人數,備註
公寓,三民001,三民里,基隆市安樂區麥金路482之1號,1.0,2120,
公寓,干城005,干城里,基隆市安樂區安一路346號,1.0,390,
公寓,干城008,干城里,基隆市安樂區安一路348之14號,2.0,263,
公寓,干城009,干城里,基隆市安樂區安一路348之22號,1.0,114,
公寓,干城010,干城里,基隆市安樂區安一路348之22號,2.0,114,
公寓,干城011,干城里,基隆市安樂區安一路313號,1.0,115,
公寓,干城012,干城里,基隆市安樂區安一路370巷22號,1.0,723,
安樂高中,干城016,干城里,基隆市安樂區安一路360號,1.0,68,
公寓,干城018,干城里,基隆市安樂區安一路329號,2.0,422,
公寓,干城019,干城里,基隆市安樂區安一路370巷1之5號,1.0,2235,
公寓,中山001,中山里,基隆市中山區中山一路207號,1.0,71,
公寓,中山002,中山里,基隆市中山區中山一路153號,1.0,38,
公寓,中山003,中山里,基隆市中山區中山一路205號,1.0,53,
公寓,中山004,中山里,基隆市中山區中山一路211之3號,2.0,158,
公寓,中山005,中山里,基隆市中山區中山一路155號,1.0,69,
公寓,中山006,中山里,基隆市中山區中山一路113巷10號,1.0,424,
公寓,中和002,中和里,基隆市中山區中和路70巷1號,1.0,313,
中和國小,中和003,中和里,基隆市中山區中和路64號,1.0,402,
中和國小,中和004,中和里,基隆市中山區中和路64號,1.0,263,
公寓,中和005,中和里,基隆市中山區中和路10號,1.0,158,
公寓,中崙001,中崙里,基隆市安樂區武訓街20號,1.0,80,
公寓,中崙002,中崙里,基隆市安樂區武訓街16號,1.0,37,
公寓,中崙003,中崙里,基隆市安樂區武訓街28號,1.0,693,
公寓,中崙004,中崙里,基隆市安樂區武訓街47號,1.0,40,
公寓,中崙005,中崙里,基隆市安樂區武訓街35號,1.0,36,
公寓,中崙006,中崙里,基隆市安樂區武訓街15號,1.0,48,
公寓,中崙007,中崙里,基隆市安樂區武訓街45號,1.0,153,
公寓,中崙008,中崙里,基隆市安樂區武訓街43號,1.0,646,
公寓,中崙009,中崙里,基隆市安樂區武訓街50號,1.0,20,
公寓,中崙010,中崙里,基隆市安樂區基金二路13號,2.0,730,
公寓,中崙011,中崙里,基隆市安樂區基金二路1巷174之1號,3.0,10170,
公寓,中崙012,中崙里,基隆市安樂區基金二路1巷176號,2.0,7797,
公寓,中崙013,中崙里,基隆市安樂區基金二路45號,2.0,699,
公寓,中崙014,中崙里,基隆市安樂區武訓街8號,1.0,153,
公寓,中崙015,中崙里,基隆市安樂區基金二路1巷33號,1.0,855,
公寓,中崙016,中崙里,基隆市安樂區武訓街16號,1.0,442,
公寓,中崙017,中崙里,基隆市安樂區武訓街15號,1.0,173,
公寓,中崙018,中崙里,基隆市安樂區基金二路1巷32號,1.0,814,
公寓,中崙019,中崙里,基隆市安樂區基金二路1巷50號,1.0,402,
