電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,管轄分局,備註
603.0,九隆里,西螺鎮九隆里3鄰九隆44號,"23.74972, 120.43686",1.0,119.0,西螺分局,
604.0,大有村,"崙背鄉大有村大有路286號  ","23.75869, 120.30321",1.0,49.0,西螺分局,
605.0,大園里,"西螺鎮大園里大同路58號  ","23.79952, 120.46595",1.0,302.0,西螺分局,
606.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,830.0,西螺分局,
607.0,大園里,"西螺鎮大園里光復東路1號  ","23.79792, 120.46665",1.0,558.0,西螺分局,
608.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,189.0,西螺分局,
609.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,235.0,西螺分局,
610.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,205.0,西螺分局,
611.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,248.0,西螺分局,
612.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,141.0,西螺分局,
613.0,大園里,"西螺鎮大園里大同路4號  ","23.79451, 120.46832",1.0,205.0,西螺分局,
614.0,大園里,"西螺鎮大園里光復東路63巷1弄60-1號  ","23.79907, 120.47028",1.0,152.0,西螺分局,
615.0,中和里,"西螺鎮中和里中山路66號  ","23.80024, 120.46242",1.0,158.0,西螺分局,
616.0,中和里,西螺鎮中和里中山路70號,"23.80012, 120.46221",1.0,265.0,西螺分局,
617.0,中興里,"西螺鎮中興里西興南路11巷6號  ","23.8001, 120.45544",1.0,1319.0,西螺分局,
618.0,中興里,"西螺鎮中興里延平路353號  ","23.80037, 120.45463",1.0,1345.0,西螺分局,
619.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,348.0,西螺分局,
620.0,中興里,"西螺鎮中興里延平路504號  ","23.80023, 120.45208",1.0,240.0,西螺分局,
621.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,1695.0,西螺分局,
622.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,347.0,西螺分局,
623.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,180.0,西螺分局,
624.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,478.0,西螺分局,
625.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,32.0,西螺分局,
626.0,中興里,"西螺鎮中興里東南路326號  ","23.80278, 120.45182",1.0,562.0,西螺分局,
627.0,中興里,"西螺鎮中興里新興路160巷4號  ","23.79576, 120.45212",1.0,367.0,西螺分局,
628.0,正興里,"西螺鎮正興里光復西路180巷2號  ","23.79685, 120.46017",1.0,784.0,西螺分局,
629.0,正興里,"西螺鎮正興里興農西路217號  ","23.7923, 120.46054",1.0,893.0,西螺分局,
630.0,正興里,"西螺鎮正興里福興路166號  ","23.79963, 120.46089",1.0,154.0,西螺分局,
631.0,正興里,"西螺鎮正興里中正路127號  ","23.79843, 120.4598",1.0,46.0,西螺分局,
632.0,光華里,"西螺鎮光華里延平路209號  ","23.80084, 120.45851",1.0,784.0,西螺分局,
633.0,安定里,西螺鎮安定里堤防路2號,"23.77552, 120.44728",1.0,104.0,西螺分局,
634.0,東明村,"崙背鄉東明村正義路179號  ","23.76113, 120.35738",1.0,40.0,西螺分局,
635.0,河南里,西螺鎮河南里埔心210號,"23.80127, 120.44057",1.0,533.0,西螺分局,
636.0,南陽村,"崙背鄉南陽村建國路35號  ","23.75977, 120.35411",1.0,1968.0,西螺分局,
637.0,南陽村,"崙背鄉南陽村大城路91號  ","23.75793, 120.3491",1.0,2192.0,西螺分局,
638.0,南陽村,"崙背鄉南陽村民主路5號  ","23.75956, 120.35288",1.0,80.0,西螺分局,
639.0,南陽村,"崙背鄉南陽村南光路42號  ","23.75908, 120.35271",1.0,26.0,西螺分局,
640.0,崙西村,"二崙鄉崙西村中興路5號 ","23.77152, 120.41292",1.0,266.0,西螺分局,
641.0,崙西村,"二崙鄉崙西村中興路5號之1  ","23.77113, 120.41298",1.0,181.0,西螺分局,
642.0,崙西村,"二崙鄉崙西村民生路145號  ","23.76832, 120.40985",1.0,178.0,西螺分局,
643.0,崙西村,"二崙鄉崙西村中山路392號  ","23.76679, 120.40507",1.0,128.0,西螺分局,
644.0,崙西村,"二崙鄉崙西村中山路357號  ","23.76704, 120.40701",1.0,238.0,西螺分局,
645.0,崙西村,"二崙鄉崙西村中山路369號  ","23.76689, 120.4068",1.0,80.0,西螺分局,
646.0,崙東村,"二崙鄉崙東村中興路118號  ","23.773, 120.41244",1.0,1425.0,西螺分局,
647.0,崙東村,"二崙鄉崙東村中興路170號  ","23.77362, 120.41205",1.0,81.0,西螺分局,
648.0,崙東村,"二崙鄉崙東村中興路120號  ","23.77329, 120.41224",1.0,181.0,西螺分局,
649.0,南陽村,"崙背鄉崙前村南光路5號  ","23.75902, 120.3532",1.0,132.0,西螺分局,
650.0,崙前村,"崙背鄉崙前村大利街28號  ","23.75208, 120.34807",1.0,210.0,西螺分局,
651.0,崙前村,"崙背鄉崙前村大利街29號  ","23.75247, 120.34834",1.0,95.0,西螺分局,
652.0,港後村,二崙鄉港後村太平路1-31號,"23.81396, 120.39501",1.0,269.0,西螺分局,
653.0,新豐里,"西螺鎮新豐里新社路259號  ","23.78363, 120.44621",1.0,450.0,西螺分局,
654.0,新豐里,"西螺鎮新豐里新社路321號  ","23.78363, 120.44633",1.0,3451.0,西螺分局,
655.0,新豐里,"西螺鎮新豐里新社路257號  ","23.78801, 120.44463",1.0,311.0,西螺分局,
656.0,新豐里,"西螺鎮新豐里新社路321-89號  ","23.78615, 120.44705",1.0,546.0,西螺分局,
657.0,新豐里,西螺鎮新豐里市南路371號,"23.78716, 120.44544",1.0,3550.0,西螺分局,
658.0,漢光里,"西螺鎮漢光里建興路101號  ","23.79609, 120.45887",1.0,182.0,西螺分局,
659.0,漢光里,"西螺鎮漢光里中山路225號  ","23.79956, 120.45758",1.0,1184.0,西螺分局,
660.0,漢光里,"西螺鎮漢光里平和路111號  ","23.79859, 120.45768",1.0,426.0,西螺分局,
661.0,福田里,西螺鎮福田里社口68-21號,"23.78913, 120.4336",1.0,44.0,西螺分局,
662.0,福田里,西螺鎮福田里社口68-38號,"23.78913, 120.4336",1.0,102.0,西螺分局,
663.0,福田里,西螺鎮福田里社口68-18號,"23.78913, 120.4336",1.0,133.0,西螺分局,
664.0,福興里,"西螺鎮福興里修文路8巷3號  ","23.80308, 120.46312",1.0,251.0,西螺分局,
665.0,福興里,"西螺鎮福興里修文路8巷3號  ","23.80308, 120.46312",1.0,251.0,西螺分局,
666.0,福興里,"西螺鎮福興里建興路248號  ","23.80045, 120.45937",1.0,2465.0,西螺分局,
667.0,福興里,"西螺鎮福興里延平路162號  ","23.80139, 120.46095",1.0,502.0,西螺分局,
668.0,廣福里,"西螺鎮廣福里光復西路20號  ","23.79793, 120.4655",1.0,744.0,西螺分局,
669.0,廣福里,"西螺鎮廣福里新街路2號  ","23.79464, 120.46534",1.0,1582.0,西螺分局,
670.0,廣興里,"西螺鎮廣興里廣興路180號  ","23.7937, 120.46518",1.0,1800.0,西螺分局,
671.0,廣興里,西螺鎮廣興里廣興59號,"23.7664, 120.45867",1.0,98.0,西螺分局,
672.0,港尾村,"崙背鄉港尾村港尾48號  ","23.74847, 120.37528",1.0,505.0,西螺分局,
673.0,羅厝村,"崙背鄉羅厝村東興247號  ","23.75673, 120.36906",1.0,49.0,西螺分局,
