編號,村里別,地址,可容納人數,地下樓層數,類別,備註,placemark_address
54.0,瓦北村,彰化縣埔心鄉瓦北村員鹿路5之31號,"120 ","1 ",五山食品,,彰化縣埔心鄉瓦北村員鹿路5之31號
55.0,瓦北村,彰化縣埔心鄉瓦北村柳橋東323號,"97 ","1 ",傑欣貿易公司,,彰化縣埔心鄉瓦北村柳橋東323號
56.0,瓦北村,彰化縣埔心鄉瓦北村西安南路178號,"396 ","1 ",明聖國小,,彰化縣埔心鄉瓦北村西安南路178號
57.0,瓦北村,彰化縣埔心鄉瓦北村柳橋東路250號,"406 ","1 ",五山食品,,彰化縣埔心鄉瓦北村柳橋東路250號
58.0,瓦南村,彰化縣埔心鄉瓦南村中山路311號,"256 ","1 ",臺隆塑膠公司,,彰化縣埔心鄉瓦南村中山路311號
59.0,瓦南村,彰化縣埔心鄉瓦南村中山路319號,"8,824 ","1 ",大樓,,彰化縣埔心鄉瓦南村中山路319號
60.0,太平村,彰化縣埔心鄉太平村自強路67號,"315 ","1 ",員林紡織公司,,彰化縣埔心鄉太平村自強路67號
61.0,經口村,彰化縣埔心鄉經口村經口路23號,"222 ","1 ",川奇機械公司,,彰化縣埔心鄉經口村經口路23號
62.0,經口村,彰化縣埔心鄉經口村柳橋西路75號,"48 ","1 ",有為工業公司,,彰化縣埔心鄉經口村柳橋西路75號
63.0,經口村,彰化縣埔心鄉經口村經口路77巷51號,"108 ","1 ",大樓,,彰化縣埔心鄉經口村經口路77巷51號
64.0,舊館村,彰化縣埔心鄉舊館村員鹿路4段201號,"156 ","1 ",舊館國小,,彰化縣埔心鄉舊館村員鹿路4段201號
65.0,舊館村,彰化縣埔心鄉舊館村員鹿路4段30號,"87 ","1 ",允強實業公司,,彰化縣埔心鄉舊館村員鹿路4段30號
66.0,舊館村,彰化縣埔心鄉舊館村員鹿路4段33號,"303 ","1 ",允強實業公司,,彰化縣埔心鄉舊館村員鹿路4段33號
67.0,舊館村,彰化縣埔心鄉舊館村中正路2段80號,"12,412 ","1 ",衛福部彰化醫院,,彰化縣埔心鄉舊館村中正路2段80號
68.0,芎蕉村,彰化縣埔心鄉芎蕉村員鹿路5段384號,"317 ","1 ",瑞星鞋廠,,彰化縣埔心鄉芎蕉村員鹿路5段384號
69.0,二重村,彰化縣埔心鄉二重村五通南路180號,"83 ","1 ",貝世登實業公司,,彰化縣埔心鄉二重村五通南路180號
70.0,太平村,彰化縣埔鹽鄉太平村大新路1巷25號,"151 ","1 ",岱聖公司,110.11.11,彰化縣埔鹽鄉太平村大新路1巷25號
71.0,永樂村,彰化縣埔鹽鄉永樂村番金路94之11號,"864 ","1 ",聚隆纖維公司,110.11.11,彰化縣埔鹽鄉永樂村番金路94之11號
72.0,好修村,彰化縣埔鹽鄉好修村員鹿路2段60號,"217 ","1 ",埔鹽鄉圖書館,110.11.11,彰化縣埔鹽鄉好修村員鹿路2段60號
73.0,角樹村,彰化縣埔鹽鄉角樹村員鹿路1段118號,"80 ","1 ",羽展工業,110.12.06,彰化縣埔鹽鄉角樹村員鹿路1段118號
74.0,角樹村,彰化縣埔鹽鄉角樹村員鹿路1段129號,"42 ","1 ",宏洋精密,110.12.06,彰化縣埔鹽鄉角樹村員鹿路1段129號
75.0,埔鹽村,彰化縣埔鹽鄉埔鹽村彰水路2段150號,"120 ","1 ",世家塑膠股份有限公司,,彰化縣埔鹽鄉埔鹽村彰水路2段150號
76.0,埔鹽村,彰化縣埔鹽鄉埔鹽村中正路27巷23弄7號,"565 ","1 ",埔鹽鄉私有零售市場,,彰化縣埔鹽鄉埔鹽村中正路27巷23弄7號
77.0,埔南村,彰化縣埔鹽鄉埔南村埔菜路52之21號,"88 ","1 ",順昱實業股份有限公司,,彰化縣埔鹽鄉埔南村埔菜路52之21號
78.0,埔南村,彰化縣埔鹽鄉埔南村彰水路1段365巷16號,"265 ","1 ",大樓,,彰化縣埔鹽鄉埔南村彰水路1段365巷16號
79.0,埔南村,彰化縣埔鹽鄉埔南村埔菜路67號,"64 ","1 ",吉品機械有限公司,,彰化縣埔鹽鄉埔南村埔菜路67號
80.0,埔南村,彰化縣埔鹽鄉埔南村彰水路1段205號之6,"119 ","1 ",建宏塑膠有限公司,,彰化縣埔鹽鄉埔南村彰水路1段205號之6
81.0,出水村,彰化縣埔鹽鄉出水村埔港路32之2號,"81 ","1 ",互利國際股份有限公司,,彰化縣埔鹽鄉出水村埔港路32之2號
