類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註
冠豪公司,461.0,下寮村,元長鄉下寮村經建街8號,1.0,60.0,虎尾分局,
品寶公司,462.0,下寮村,元長鄉下寮村興工街2號,1.0,250.0,虎尾分局,
侯秦公司,463.0,下寮村,元長鄉下寮村經建街1號,1.0,120.0,虎尾分局,
台億公司,464.0,下寮村,元長鄉下寮村經建街10號,1.0,101.0,虎尾分局,
素食園公司,465.0,下寮村,元長鄉下寮村經建街1號,1.0,80.0,虎尾分局,
嘉楠食品公司,466.0,下寮村,元長鄉下寮村18鄰興工街3號,1.0,82.0,虎尾分局,
公寓,467.0,中山里,虎尾鎮中山里中正路94號,1.0,28.0,虎尾分局,
公寓,468.0,中山里,虎尾鎮中山里中正路100號,1.0,212.0,虎尾分局,
公寓,469.0,中山里,虎尾鎮中山里仁愛路60號,1.0,27.0,虎尾分局,
公寓,470.0,中山里,虎尾鎮中山里中正路106號,1.0,77.0,虎尾分局,
公寓,471.0,中山里,虎尾鎮中山里中正路108號,1.0,82.0,虎尾分局,
公寓,472.0,中山里,虎尾鎮中山里中正路110號,1.0,89.0,虎尾分局,
公寓,473.0,中山里,虎尾鎮中山里中正路116號,1.0,22.0,虎尾分局,
公寓,474.0,中山里,虎尾鎮中山里中正路121號,1.0,64.0,虎尾分局,
公寓,475.0,中山里,虎尾鎮中山里中正路143號,1.0,22.0,虎尾分局,
公寓,476.0,中山里,虎尾鎮中山里仁愛路1號,1.0,128.0,虎尾分局,
公寓,477.0,中山里,虎尾鎮中山里中正路140號,1.0,46.0,虎尾分局,
公寓,478.0,中山里,虎尾鎮中山里中正路140號,1.0,152.0,虎尾分局,
公寓,479.0,中山里,虎尾鎮中山里中正路146號,1.0,26.0,虎尾分局,
公寓,480.0,中山里,虎尾鎮中山里公安路115號,1.0,110.0,虎尾分局,
大樓,481.0,中山里,虎尾鎮中山里新生路157號,1.0,2709.0,虎尾分局,
公寓,482.0,中山里,虎尾鎮中山里新興路63號,1.0,152.0,虎尾分局,
公寓,483.0,中山里,虎尾鎮中山里中山路82號,1.0,251.0,虎尾分局,
公寓,484.0,中山里,虎尾鎮中山里德興路16號,1.0,880.0,虎尾分局,
永慶房屋,485.0,中山里,虎尾鎮中山里中正路39號,1.0,204.0,虎尾分局,
公寓,486.0,中山里,虎尾鎮中山里中正路140號,1.0,198.0,虎尾分局,
公寓,487.0,中山里,虎尾鎮中山里中山路67號,1.0,140.0,虎尾分局,
不開放,488.0,中民村,褒忠鄉中民村15鄰自強路100號,1.0,721.0,虎尾分局,
"高治機械
",489.0,中民村,褒忠鄉中民村中正路14之5號,1.0,123.0,虎尾分局,
"吉升飼料
",490.0,中民村,褒忠鄉中民村中正路28之18號,1.0,520.0,虎尾分局,
"三仁醫院
",491.0,中勝村,褒忠鄉中勝村中正路466號,1.0,220.0,虎尾分局,
大樓,492.0,公安里,虎尾鎮公安里林森路1段416巷31號,1.0,1262.0,虎尾分局,
大樓,493.0,公安里,虎尾鎮林森路1段360巷41號,1.0,730.0,虎尾分局,
大樓,494.0,公安里,虎尾鎮林森路1段360巷9號,1.0,3392.0,虎尾分局,
公寓,495.0,公安里,虎尾鎮公安里博愛路20號,1.0,26.0,虎尾分局,
公寓,496.0,公安里,虎尾鎮公安里博愛路96號,1.0,37.0,虎尾分局,
公寓,497.0,公安里,虎尾鎮公安里博愛路106巷39號,1.0,33.0,虎尾分局,
公寓,498.0,公安里,虎尾鎮公安里博愛路106巷41號,1.0,33.0,虎尾分局,
公寓,499.0,公安里,虎尾鎮公安里博愛路106巷37之1號,1.0,33.0,虎尾分局,
公寓,500.0,公安里,虎尾鎮公安里博愛路98號,1.0,37.0,虎尾分局,
大樓,501.0,公安里,虎尾鎮公安里新興路114號,1.0,545.0,虎尾分局,
大樓,502.0,公安里,虎尾鎮公安里光復路482號,1.0,444.0,虎尾分局,
公寓,503.0,公安里,虎尾鎮林森路1段396巷47號,1.0,232.0,虎尾分局,
公寓,504.0,公安里,虎尾鎮光復路446號,1.0,167.0,虎尾分局,
公寓,505.0,公安里,虎尾鎮公安里博愛路43號,1.0,212.0,虎尾分局,
公寓,506.0,公安里,虎尾鎮林森路1段416巷13號,1.0,314.0,虎尾分局,
公寓,507.0,公安里,虎尾鎮公安里明正東路40號,1.0,266.0,虎尾分局,
不開放,508.0,公安里,虎尾鎮林森路1段490號,1.0,785.0,虎尾分局,
虎尾國小,509.0,公安里,虎尾鎮公安里明正路88號,1.0,1686.0,虎尾分局,
啟楠公司,510.0,公安里,虎尾鎮公安里光復路432號,1.0,165.0,虎尾分局,
虎尾帝王管委會,511.0,公安里,虎尾鎮林森路1段476至488號,1.0,1710.0,虎尾分局,
公寓,512.0,公安里,虎尾鎮公安里公安路178號之18,1.0,668.0,虎尾分局,
公寓,513.0,平和里,虎尾鎮光明路56號,1.0,490.0,虎尾分局,
大樓,514.0,平和里,虎尾鎮平和里成德街100號,1.0,727.0,虎尾分局,
雲林農田水利會,515.0,平和里,虎尾鎮平和里七鄰光明路91之1號,1.0,235.0,虎尾分局,
"大成商工
升學大樓",516.0,平和里,虎尾鎮光復路130號,1.0,1920.0,虎尾分局,
"平和國小
B棟",517.0,平和里,虎尾鎮平和里光復路22號,1.0,670.0,虎尾分局,
平和國小A棟,518.0,平和里,虎尾鎮平和里光復路22號,1.0,224.0,虎尾分局,
"佳聯有線
",519.0,平和里,虎尾鎮平和里光復路64至66號,1.0,548.0,虎尾分局,
"大成商工
行政大樓",520.0,平和里,虎尾鎮成平街21號,1.0,888.0,虎尾分局,
圖書館,521.0,平和里,虎尾鎮平和里光明路68號,1.0,808.0,虎尾分局,
不開放,522.0,瓦瑤村,元長鄉瓦瑤村中央路1之5號,1.0,378.0,虎尾分局,
"土庫鎮公所
",523.0,石廟里,土庫鎮石廟里菜園路110號,1.0,2764.0,虎尾分局,
大樓,524.0,立仁里,虎尾鎮立仁里北平路228號,1.0,4086.0,虎尾分局,
公寓,525.0,立仁里,虎尾鎮立仁里復興路147巷1-5號,1.0,226.0,虎尾分局,
公寓,526.0,立仁里,虎尾鎮立仁里北平路218號,1.0,48.0,虎尾分局,
大樓,527.0,立仁里,虎尾鎮立仁里立仁路51號,1.0,2012.0,虎尾分局,
大樓,528.0,立仁里,虎尾鎮立仁里忠孝路216號,1.0,2302.0,虎尾分局,
大樓,529.0,立仁里,虎尾鎮立仁里北平路250號,1.0,4085.0,虎尾分局,
公寓,530.0,立仁里,虎尾鎮立仁里復興路149號,1.0,3570.0,虎尾分局,
"立仁國小
後棟",531.0,立仁里,虎尾鎮立仁里立仁路40號,1.0,541.0,虎尾分局,
