類別,編號,村里別,地址,地下層數,可容納人數,定位點,備考
政府機關,1.0,中樂村,嘉義縣民雄鄉中樂村文化路7號之3,地下1層,145,"23.55174, 120.42873",
農會,2.0,中樂村,嘉義縣民雄鄉中樂村民族路42號,地下1層,661,"23.55572, 120.42904",
圖書館,3.0,中樂村,嘉義縣民雄鄉中樂村民族路43號之1,地下1層,619,"23.55535, 120.42879",
學校,4.0,中樂村,嘉義縣民雄鄉中樂村24鄰民族路43號,地下1層,3582,"23.55486, 120.4294",
電信公司,5.0,西安村,嘉義縣民雄鄉西安村12鄰保生街291號,地下1層,374,"23.55769, 120.4253",不對外開放
診所,6.0,西安村,嘉義縣民雄鄉西安村民溪路46號,地下1層,263,"23.55868, 120.42387",
學校,7.0,西安村,嘉義縣民雄鄉西安村西安路147號,地下1層,85,"23.55709, 120.42022",
學校,8.0,西安村,嘉義縣民雄鄉西安村西安路147號,地下1層,769,"23.55737, 120.41982",
學校,9.0,西安村,嘉義縣民雄鄉西安村西安路147號,地下1層,93,"23.55772, 120.41997",
學校,10.0,西安村,嘉義縣民雄鄉西安村西安路147號,地下1層,391,"23.5576, 120.42074",
學校,11.0,西安村,嘉義縣民雄鄉西安村西安路147號,地下1層,972,"23.55708, 120.42096",
學校,12.0,西安村,嘉義縣民雄鄉西安村西安路147號,地下1層,1063,"23.55754, 120.42018",
醫院,13.0,西安村,嘉義縣民雄鄉西安村19鄰民族路49號,地下1層,750,"23.55548, 120.42835",
大樓,14.0,西安村,嘉義縣民雄鄉西安村20鄰安和路40-1號,地下1層,2608,"23.55569, 120.42654",
大樓,15.0,西安村,嘉義縣民雄鄉西安村安和路96號,地下1層,1059,"23.55499, 120.42546",
學校,16.0,頂崙村,嘉義縣民雄鄉頂崙村12鄰崙仔頂105號,地下1層,279,"23.557603, 120.4356211",
學校,17.0,頂崙村,嘉義縣民雄鄉頂崙村12鄰崙仔頂105號,地下1層,376,"23.5579711, 120.4352975",
電力公司,18.0,東湖村,嘉義縣民雄鄉東湖村東勢湖86號之8,地下1層,270,"23.55405, 120.43511",不對外開放
工廠行號,19.0,福權村,嘉義縣民雄鄉福權村福權2號之2,地下1層,44,"23.55898, 120.41057",
工廠行號,20.0,福權村,嘉義縣民雄鄉福權村福權2號之6,地下1層,201,"23.55901, 120.41037",
學校,21.0,東榮村,嘉義縣民雄東榮村建國路2段285巷11號,地下1層,621,"23.5481722, 120.4302904",
政府機關,22.0,東榮村,嘉義縣民雄鄉東榮村民族路21號,地下1層,184,"23.55466, 120.4303",不對外開放
電信公司,23.0,東榮村,嘉義縣民雄鄉東榮村24鄰文化路30號,地下1層,244,"23.55338, 120.43051",不對外開放
大樓,24.0,東榮村,嘉義縣民雄鄉東榮村建國路1段211號,地下1層,407,"23.55862, 120.43353",
大樓,25.0,東榮村,嘉義縣民雄鄉東榮村文化路30號之3,地下1層,2963,"23.5527, 120.43036",
大樓,26.0,東榮村,嘉義縣民雄鄉東榮村中庄108號,地下1層,1171,"23.55701, 120.43422",
學校,28.0,興中村,嘉義縣民雄鄉興中村12鄰江厝店30號,地下1層,472,"23.52676, 120.41998",
學校,29.0,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,地下1層,150,"23.53297, 120.43406",
學校,30.0,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,地下1層,2765,"23.53669, 120.43540",
學校,31.0,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,地下1層,172,"23.53251, 120.43402",
學校,32.0,文隆村,嘉義縣民雄鄉文隆村鴨母坔85號,地下1層,4209,"23.54273, 120.42506",
學校,33.0,中和村,嘉義縣民雄鄉中和村5鄰社溝130號,地下1層,480,"23.54288, 120.42199",
學校,34.0,文隆村,嘉義縣民雄鄉文隆村鴨母坔85號,地下1層,333,"23.54413, 120.42090",
學校,35.0,文隆村,嘉義縣民雄鄉文隆村鴨母坔81號,地下1層,718,"23.53948, 120.42578",
學校,36.0,文隆村,嘉義縣民雄鄉文隆村鴨母坔81號,地下1層,333,"23.54159, 120.42531",
工廠行號,37.0,中央村,嘉義縣民雄鄉中央村17-2號,地下1層,184,"23.53447, 120.40561",
工廠行號,38.0,興南村,嘉義縣民雄鄉興南村工業三路2號,地下1層,331,"23.5207058, 120.4380074",
工廠行號,39.0,興南村,嘉義縣民雄鄉興南村工業一路1號,地下1層,565,"23.51962, 120.43720",
工廠行號,41.0,興南村,嘉義縣民雄鄉興南村工業一路4號,地下1層,224,"23.51996, 120.43542",
工廠行號,42.0,興南村,嘉義縣民雄鄉興南村工業三路1號,地下1層,197,"23.5203198, 120.4360207",
工廠行號,43.0,興南村,嘉義縣民雄鄉興南村工業一路10號,地下1層,112,"23.51937, 120.42678",
工廠行號,44.0,興南村,嘉義縣民雄鄉興南村工業三路24號,地下1層,204,"23.52090, 120.42959",
工廠行號,45.0,興南村,嘉義縣民雄鄉興南村工業三路18號,地下1層,161,"23.52449, 120.43071",
工廠行號,46.0,興南村,嘉義縣民雄鄉興南村工業二路11號,地下1層,407,"23.52142, 120.43242",
工廠行號,47.0,興南村,嘉義縣民雄鄉興南村工業二路7號,地下1層,204,"23.52144, 120.43367",
工廠行號,48.0,興南村,嘉義縣民雄鄉興南村工業五路7-1號,地下1層,66,"23.52056, 120.43293",
工廠行號,49.0,興南村,嘉義縣民雄鄉興南村工業二路20號,地下1層,58,"23.52255, 120.42976",
工廠行號,50.0,興南村,嘉義縣民雄鄉興南村工業三路15號,地下1層,244,"23.51903, 120.43032",
工廠行號,51.0,興南村,嘉義縣民雄鄉興南村工業三路7號,地下1層,174,"23.52358, 120.43303",
工廠行號,52.0,興南村,嘉義縣民雄鄉興南村工業三路9號,地下1層,204,"23.5235321, 120.4322098",
工廠行號,53.0,興南村,嘉義縣民雄鄉興南村工業一路9號,地下1層,269,"23.51858, 120.43159",
工廠行號,54.0,興南村,嘉義縣民雄鄉興南村工業一路15號,地下1層,272,"23.51792, 120.42885",
工廠行號,55.0,興南村,嘉義縣民雄鄉興南村工業三路2號,地下1層,337,"23.5202533, 120.437986",
工廠行號,56.0,興南村,嘉義縣民雄鄉興南村工業三路6-3號,地下1層,204,"23.52116, 120.43606",
工廠行號,57.0,興南村,嘉義縣民雄鄉興南村工業二路2-1號,地下1層,98,"23.52287, 120.43611",
工廠行號,58.0,興南村,嘉義縣民雄鄉興南村工業三路13號,地下1層,103,"23.52368, 120.43047",
工廠行號,59.0,興南村,嘉義縣民雄鄉興南村工業二路11號,地下1層,1272,"23.52137, 120.43115",
學校,60.0,興中村,嘉義縣民雄鄉興中村江厝店30號,地下1層,512,"23.52737, 120.42049",
集合式住宅,61.0,興南村,嘉義縣民雄鄉興南村頭橋751號(工業五路),地下1層,2137,"23.51704, 120.43274",
工廠行號,62.0,興南村,嘉義縣民雄鄉興南村工業二路2號,地下1層,400,"23.52313, 120.43651",
工廠行號,63.0,興南村,嘉義縣民雄鄉興南村工業五路8號,地下1層,57,"23.52090, 120.43331",
工廠行號,64.0,興南村,嘉義縣民雄鄉興南村工業三路20-4號,地下1層,66,"23.52374, 120.42959",
金融機構,65.0,興南村,嘉義縣民雄鄉興南村建國路三段83號,地下1層,709,"23.52146, 120.43967",不對外開放
學校,66.0,文隆村,嘉義縣民雄鄉文隆村鴨母坔81號,地下1層,1441,"23.54003, 120.42544",
工廠行號,67.0,興南村,嘉義縣民雄鄉興南村工業三路6-7號,地下1層,684,"23.52379, 120.43451",
學校,68.0,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,地下1層,1156,"23.53204, 120.43531",
工廠行號,69.0,興南村,嘉義縣民雄鄉興南村工業三路8號,地下1層,182,"23.52414, 120.43394",
工廠行號,70.0,興南村,嘉義縣民雄鄉興南村工業二路14-2號,地下1層,98,"23.52226, 120.43016",
工廠行號,71.0,興南村,嘉義縣民雄鄉興南村工業一路8-1號,地下1層,161,"23.51907, 120.43050",
工廠行號,72.0,興南村,嘉義縣民雄鄉興南村工業二路11號,地下1層,76,"23.52040, 120.43223",
學校,73.0,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,地下1層,427,"23.53240, 120.43480",
文化中心,74.0,文隆村,嘉義縣民雄鄉文隆村建國路二段265號,地下1層,11385,"23.54383, 120.43185",
工廠行號,75.0,福興村,嘉義縣民雄鄉福興村牛稠溪1-69號,地下1層,3693,"23.51967, 120.42422",
工廠行號,76.0,興南村,嘉義縣民雄鄉興南村工業二路5號,地下1層,347,"23.52132, 120.43400",
學校,77.0,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,地下1層,1495,"23.53528, 120.43457",
學校,78.0,文隆村,嘉義縣民雄鄉文隆村建國路二段27號,地下1層,1293,"23.53471, 120.43420",
工廠行號,79.0,福興村,嘉義縣民雄鄉福興村牛稠溪1-61號,地下1層,896,"23.51980, 120.42468",
學校,80.0,文隆村,嘉義縣民雄鄉文隆村建國路二段31號,地下1層,150,"23.53312, 120.43406",
工廠行號,81.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路1號,地下1層,190,"23.52108, 120.46216",
工廠行號,82.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路2號,地下1層,121,"23.52177, 120.46182",
工廠行號,83.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路5號,地下1層,52,"23.52087, 120.46088",
工廠行號,84.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路6號,地下1層,107,"23.52140, 120.46140",
工廠行號,85.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路7號,地下1層,69,"23.52081, 120.46063",
工廠行號,86.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路9號,地下1層,75,"23.52065, 120.46005",
工廠行號,87.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路10號,地下1層,192,"23.52113, 120.46045",
工廠行號,88.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路11號,地下1層,92,"23.52055, 120.45980",
工廠行號,89.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路12號,地下1層,16,"23.52096, 120.45983",
工廠行號,90.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路13號,地下1層,69,"23.52052, 120.45943",
工廠行號,91.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路14號,地下1層,48,"23.52088, 120.45957",
工廠行號,92.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路18號,地下1層,138,"23.52070, 120.45889",
工廠行號,93.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路19號,地下1層,?,"23.52018, 120.45838",
工廠行號,94.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路25號,地下1層,47,"23.51920, 120.45496",
工廠行號,95.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路26號,地下1層,65,"23.52034, 120.45766",
工廠行號,96.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路30號,地下1層,48,"23.52009, 120.45659",
工廠行號,97.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路33號,地下1層,266,"23.51873, 120.45330",
工廠行號,98.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路35號,地下1層,162,"23.51860, 120.45305",
工廠行號,99.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路36號,地下1層,193,"23.51982, 120.45552",
工廠行號,100.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路37號,地下1層,148,"23.51859, 120.45279",
工廠行號,101.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路38號,地下1層,174,"23.51985, 120.45516",
工廠行號,102.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路41號,地下1層,29,"23.51819, 120.45189",
工廠行號,103.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路46號,地下1層,87,"23.51924, 120.45355",
工廠行號,104.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路47號,地下1層,62,"23.51787, 120.44972",
工廠行號,105.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路48號,地下1層,51,"23.51918, 120.45340",
工廠行號,106.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路52號,地下1層,273,"23.51891, 120.45264",
工廠行號,107.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路54號,地下1層,119,"23.51884, 120.45207",
工廠行號,108.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中正路60號,地下1層,82,"23.51876, 120.45016",
政府機關,109.0,北斗村,嘉義縣民雄鄉福樂村民雄工業區中正路68號,地下1層,460,"23.52278, 120.44781",
工廠行號,110.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街1號,地下1層,1026,"23.52077, 120.45123",
工廠行號,111.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街7號,地下1層,246,"23.52101, 120.45359",
工廠行號,112.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街20號,地下1層,163,"23.52094, 120.45495",
工廠行號,113.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街23-33號,地下1層,613,"23.52189, 120.45604",
工廠行號,114.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街32號,地下1層,61,"23.52138, 120.45656",
工廠行號,115.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街35號,地下1層,68,"23.52201, 120.45774",
工廠行號,116.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街36號,地下1層,81,"23.52154, 120.45712",
工廠行號,117.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街38號,地下1層,58,"23.52177, 120.45784",
工廠行號,118.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街41號,地下1層,156,"23.52230, 120.45872",
工廠行號,119.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街45號,地下1層,87,"23.52252, 120.45926",
工廠行號,120.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功街45-1號,地下1層,323,"23.52264, 120.45956",
工廠行號,121.0,北斗村,嘉義縣民雄鄉北斗村民雄工業中華路82號,地下1層,277,"23.52658, 120.45560",
工廠行號,122.0,北斗村,嘉義縣民雄鄉北斗村民雄工業中華路86號,地下1層,241,"23.52535, 120.45589",
工廠行號,123.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中華路89號,地下1層,729,"23.52731, 120.45765",
工廠行號,124.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區中華路92號,地下1層,602,"23.52362, 120.45660",
工廠行號,125.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街7號,地下1層,235,"23.52245, 120.45408",
工廠行號,126.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街11號,地下1層,173,"23.52257, 120.45465",
工廠行號,127.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街19號,地下1層,68,"23.52292, 120.45569",
工廠行號,128.0,北斗村,嘉義縣民雄鄉北斗村民雄工業區成功一街27號,地下1層,64,"23.52329, 120.45721",
