編號,里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度
1.0,南屯里,臺中市南屯區南屯里萬和路一段47號,1.0,450.0,第四分局,120.6392473,24.13747403
2.0,楓樹里,臺中市南屯區楓樹里黎明路7巷58弄28號,1.0,250.0,第四分局,120.6256567,24.11269189
3.0,楓樹里,臺中市南屯區楓樹里黎明路7巷58弄30號,1.0,66.0,第四分局,120.6256996,24.11263313
4.0,楓樹里,臺中市南屯區楓樹里黎明路7巷58弄16號,1.0,86.0,第四分局,120.6255601,24.112545
5.0,楓樹里,臺中市南屯區楓樹里黎明路7巷58弄34號,1.0,90.0,第四分局,120.6256245,24.11266251
6.0,楓樹里,臺中市南屯區楓樹里黎明路7巷38號,1.0,90.0,第四分局,120.6292304,24.12216652
7.0,楓樹里,臺中市南屯區楓樹里黎明路7巷46號,1.0,90.0,第四分局,120.629284,24.12216652
8.0,楓樹里,臺中市南屯區楓樹里黎明路7巷50號,1.0,90.0,第四分局,120.6293377,24.12216652
9.0,楓樹里,臺中市南屯區楓樹里黎明路7巷54號,1.0,90.0,第四分局,120.6293377,24.12216653
10.0,永定里,臺中市南屯區楓樹里黎明路7巷9-1號,1.0,66.0,第四分局,120.6294074,24.12221058
11.0,大興里,臺中市南屯區大興里南屯路二段81號,1.0,66.0,第四分局,120.6526495,24.13601856
12.0,楓樹里,臺中市南屯區楓樹里萬和路一段互愛巷7-3號,1.0,66.0,第四分局,120.6282302,24.11764396
13.0,楓樹里,臺中市南屯區楓樹里6鄰楓樹巷37巷15號,1.0,532.0,第四分局,120.6293728,24.11842382
14.0,永定里,臺中市南屯區永定里9鄰南美街30號,1.0,433.0,第四分局,120.6367301,24.13993578
15.0,中和里,臺中市南屯區中和里20鄰中和北一巷1號,1.0,89.0,第四分局,120.6248514,24.11586777
16.0,中和里,臺中市南屯區中和里20鄰中和北一巷3號,1.0,89.0,第四分局,120.6247226,24.11559358
17.0,中和里,臺中市南屯區中和里20鄰中和北一巷5號,1.0,89.0,第四分局,120.6245939,24.11586777
18.0,中和里,臺中市南屯區中和里20鄰中和北一巷7號,1.0,89.0,第四分局,120.6249801,24.11610279
19.0,楓樹里,臺中市南屯區楓樹里萬和路一段13巷7號,1.0,87.0,第四分局,120.6362624,24.13170722
20.0,鎮平里,臺中市南屯區楓樹里萬和路一段13巷7號,1.0,400.0,第四分局,120.6362624,24.13170722
21.0,永定里,臺中市南屯區永定里文昌街227巷3號,1.0,60.0,第四分局,120.6353457,24.13872556
22.0,永定里,臺中市南屯區永定里文昌街227巷5號,1.0,60.0,第四分局,120.6353457,24.13872556
23.0,永定里,臺中市南屯區永定里文昌街227巷7號,1.0,60.0,第四分局,120.6353457,24.13872556
24.0,永定里,臺中市南屯區永定里文昌街227巷9號,1.0,60.0,第四分局,120.6352475,24.13864936
25.0,永定里,臺中市南屯區永定里文昌街227巷11號,1.0,60.0,第四分局,120.6352475,24.13864936
26.0,永定里,臺中市南屯區永定里文昌街227巷15號,1.0,60.0,第四分局,120.6353495,24.13849078
27.0,永定里,臺中市南屯區永定里文昌街227巷17號,1.0,60.0,第四分局,120.6353495,24.13849078
28.0,永定里,臺中市南屯區永定里文昌街227巷19號,1.0,74.0,第四分局,120.6350884,24.13853853
29.0,永定里,臺中市南屯區永定里文昌街227巷21號,1.0,74.0,第四分局,120.6350884,24.13853853
30.0,永定里,臺中市南屯區永定里文昌街227巷21號,1.0,85.0,第四分局,120.6350884,24.13853853
31.0,永定里,臺中市南屯區永定里8鄰文昌街227巷33號,1.0,85.0,第四分局,120.6350989,24.13823791
32.0,永定里,臺中市南屯區永定里文昌街228巷52號,1.0,62.0,第四分局,120.6356167,24.13988418
33.0,永定里,臺中市南屯區永定里文昌街206之1號,1.0,187.0,第四分局,120.6362157,24.13873154
34.0,永定里,臺中市南屯區永定里文昌街220號,1.0,385.0,第四分局,120.6359307,24.13884364
35.0,永定里,臺中市南屯區永定里文昌街226巷2號,1.0,385.0,第四分局,120.6355442,24.1389251
36.0,南屯里,臺中市南屯區南屯里萬和路147號,1.0,150.0,第四分局,120.6406185,24.13496114
37.0,豐樂里,臺中市南屯區豐樂里南屯路2段37號,1.0,683.0,第四分局,120.6452786,24.13774515
38.0,南屯里,臺中市南屯區南屯里萬和路一段47號,1.0,119.0,第四分局,120.6390757,24.13749361
39.0,南屯里,臺中市南屯區南屯里南興巷28弄22號,1.0,89.0,第四分局,120.6380938,24.13854331
40.0,鎮平里,臺中市南屯區鎮平里萬和路一段285號,1.0,131.0,第四分局,120.6379005,24.13494113
41.0,永定里,臺中市南屯區永定里南屯路3段1號之11,1.0,56.0,第四分局,120.6081933,24.14833817
42.0,南屯里,臺中市南屯區南屯里黎明路1-65號,1.0,358.0,第四分局,120.6084507,24.14872976
43.0,南屯里,臺中市南屯區南屯里黎明路1-66號,1.0,151.0,第四分局,120.6084507,24.14872976
44.0,南屯里,台中市南屯區南屯里黎明路1-62號,1.0,83.0,第四分局,120.6084507,24.14872976
45.0,南屯里,臺中市南屯區南屯里文昌南一巷1-11號,1.0,150.0,第四分局,120.6092232,24.14943463
