類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,CMA00001,富裕里,臺南市東區富裕里4鄰裕農路60號,"22.985201,120.226073",B01,1044.0,第一分局,
一般住宅,CMA00002,大同里,臺南市東區大同里16鄰大同路一段257號,"22.982703, 120.211468",B01,162.0,第一分局,
一般住宅,CMA00003,龍山里,臺南市東區龍山里23鄰府東街43號,"22.985405,120.219823",B01,281.0,第一分局,
一般住宅,CMA00004,龍山里,臺南市東區龍山里22鄰府東街22號,"22.985346,120.220463",B01,514.0,第一分局,
一般住宅,CMA00005,龍山里,臺南市東區龍山里11鄰光華街12號,"22.984504,120.219303",B02,1020.0,第一分局,
一般住宅,CMA00006,龍山里,臺南市東區龍山里23鄰東門路二段96號,"22.98609, 120.220079",B01,133.0,第一分局,
一般住宅,CMA00007,龍山里,臺南市東區龍山里12鄰長榮路一段246號,"22.985997,120.218781",B02,1094.0,第一分局,
一般住宅,CMA00008,龍山里,臺南市東區龍山里19鄰長榮路一段223號,"22.985498,120.21822",B02,1652.0,第一分局,
一般住宅,CMA00009,新東里,臺南市東區新東里5鄰裕農路43巷28號,"22.986571,120.225978",B01,58.0,第一分局,
一般住宅,CMA00010,新東里,臺南市東區新東里5鄰裕農路43巷1號,"22.985811,120.225922",B01,160.0,第一分局,
一般住宅,CMA00011,新東里,臺南市東區新東里5鄰裕農路43巷25號,"22.986332,120.225821",B01,1017.0,第一分局,
一般住宅,CMA00012,新東里,臺南市東區新東里5鄰裕農路43巷39號,"22.986933,120.225603",B01,71.0,第一分局,
一般住宅,CMA00014,龍山里,臺南市東區龍山里6鄰林森路一段339號,"22.984254,120.220667",B01,308.0,第一分局,
公有,CMA00015,龍山里,臺南市東區龍山里8鄰林森路一段318號,"22.983059,120.220325",B01,631.0,第一分局,
一般住宅,CMA00016,龍山里,臺南市東區龍山里17鄰崇學路221巷15號,"22.981338,120.223594",B01,310.0,第一分局,
一般住宅,CMA00017,龍山里,臺南市東區龍山里2鄰崇仁街83號,"22.983642,120.224129",B01,285.0,第一分局,
一般住宅,CMA00019,大同里,臺南市東區大同里16鄰大同路一段259號,"22.982659,120.211499",B01,175.0,第一分局,
一般住宅,CMA00020,大同里,臺南市東區大同里16鄰大同路一段261號,"22.982634,120.211522",B01,160.0,第一分局,
