電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備駐
QMA00313,大埔里,屏東縣屏東市大埔里05鄰光復路138號,1,26.0,屏東分局,
QMA00312,大埔里,屏東縣屏東市大埔里05鄰光復路140號,1,26.0,屏東分局,
QMA00304,大埔里,屏東縣屏東市大埔里05鄰光復路144號,1,26.0,屏東分局,
QMA00306,大埔里,屏東縣屏東市大埔里05鄰光復路152號,1,26.0,屏東分局,
QMA00360,大埔里,屏東縣屏東市大埔里光復路198號,1,80.0,屏東分局,
QMA00362,大埔里,屏東縣屏東市大埔里05鄰光復路198-1號,1,40.0,屏東分局,共有2處、總計可容納人數80人
QMA00363,大埔里,屏東縣屏東市大埔里05鄰光復路198-1號,1,40.0,屏東分局,共有2處、總計可容納人數80人
QMA00361,大埔里,屏東縣屏東市大埔里05鄰光復路200號,1,40.0,屏東分局,
QMA00364,大埔里,屏東縣屏東市大埔里05鄰光復路208號,1,53.0,屏東分局,
QMA00302,大埔里,屏東縣屏東市大埔里02鄰重慶路1號,1,26.0,屏東分局,
QMA00301,大埔里,屏東縣屏東市大埔里02鄰重慶路3號,1,26.0,屏東分局,
QMA00298,大埔里,屏東縣屏東市大埔里04鄰重慶路7號,1,26.0,屏東分局,
QMA00300,大埔里,屏東縣屏東市大埔里04鄰重慶路9號,1,26.0,屏東分局,
QMA00303,大埔里,屏東縣屏東市大埔里02鄰重慶路20號,1,26.0,屏東分局,
QMA00297,大埔里,屏東縣屏東市大埔里04鄰貴陽街2-3號,1,26.0,屏東分局,
QMA00296,大埔里,屏東縣屏東市大埔里06鄰柳州街2號,1,26.0,屏東分局,
QMA00295,大埔里,屏東縣屏東市大埔里06鄰柳州街8-1號,1,26.0,屏東分局,
QMA00294,大埔里,屏東縣屏東市大埔里06鄰柳州街10-3號,1,26.0,屏東分局,
QMA00359,大埔里,屏東縣屏東市大埔里04鄰柳州街15號,1,40.0,屏東分局,
QMA00233,大埔里,屏東縣屏東市大埔里03鄰柳州街39號,1,36.0,屏東分局,
QMA00232,大埔里,屏東縣屏東市大埔里03鄰柳州街41號,1,26.0,屏東分局,
QMA00230,大埔里,屏東縣屏東市大埔里06鄰柳州街70號,1,26.0,屏東分局,
QMA00229,大埔里,屏東縣屏東市大埔里06鄰柳州街80號,1,33.0,屏東分局,
QMA00365,大埔里,屏東縣屏東市大埔里03鄰北極街32號,1,40.0,屏東分局,
QMA00366,大埔里,屏東縣屏東市大埔里03鄰北極街34號,1,40.0,屏東分局,
QMA00367,大埔里,屏東縣屏東市大埔里03鄰北極街34號,1,40.0,屏東分局,
QMA00341,光榮里,屏東縣屏東市光榮里03鄰中山路31號,1,66.0,屏東分局,
QMA02011,光榮里,屏東縣屏東市光榮里03鄰中山路41號,1,1294.0,屏東分局,共有3處、總計可容納人數3210人
QMA02012,光榮里,屏東縣屏東市光榮里03鄰中山路41號,1,1016.0,屏東分局,共有3處、總計可容納人數3210人
QMA02013,光榮里,屏東縣屏東市光榮里03鄰中山路41號,1,900.0,屏東分局,共有3處、總計可容納人數3210人
QMA00197,光榮里,屏東縣屏東市光榮里05鄰中山路43號,1,332.0,屏東分局,
QMA00206,光榮里,屏東縣屏東市光榮里05鄰中山路59號,1,160.0,屏東分局,
QMA00206,光榮里,屏東縣屏東市光榮里05鄰中山路61號,1,26.0,屏東分局,
QMA00198,光榮里,屏東縣屏東市光榮里05鄰中山路63號,1,40.0,屏東分局,
QMA00334,光榮里,屏東縣屏東市光榮里03鄰重慶路26號,1,40.0,屏東分局,
QMA00335,光榮里,屏東縣屏東市光榮里05鄰重慶路37號,1,40.0,屏東分局,
QMA00336,光榮里,屏東縣屏東市光榮里05鄰重慶路39號,1,40.0,屏東分局,
QMA00200,光榮里,屏東縣屏東市光榮里04鄰重慶路40號,1,26.0,屏東分局,
QMA00337,光榮里,屏東縣屏東市光榮里05鄰重慶路49號,1,40.0,屏東分局,
QMA00204,光榮里,屏東縣屏東市光榮里04鄰重慶路52號,1,26.0,屏東分局,
QMA00267,光榮里,屏東縣屏東市光榮里05鄰重慶路69號,1,36.0,屏東分局,
QMA00268,光榮里,屏東縣屏東市光榮里05鄰重慶路71-3號,1,33.0,屏東分局,
QMA00205,光榮里,屏東縣屏東市光榮里04鄰重慶路94號,1,53.0,屏東分局,
QMA00202,光榮里,屏東縣屏東市光榮里07鄰重慶路154號,1,26.0,屏東分局,
QMA00201,光榮里,屏東縣屏東市光榮里07鄰重慶路156號,1,26.0,屏東分局,
QMA00203,光榮里,屏東縣屏東市光榮里07鄰重慶路158號,1,26.0,屏東分局,
QMA00199,光榮里,屏東縣屏東市光榮里07鄰重慶路174號,1,26.0,屏東分局,
QMA00284,光榮里,屏東縣屏東市光榮里06鄰忠孝路32號,1,33.0,屏東分局,
