類別,建築物名稱,電腦編號,村里別,地址,"地下樓 層數","可容納 人數",派出所,備註,經度,緯度
公寓,公寓,D601000004,百福里,新北市新店區百福里福園街5巷6號,1,564.0,碧潭派出所,,121.5334,24.97248
公寓,公寓,D601000006,百福里,新北市新店區百福里福園街5巷7號,1,1418.0,碧潭派出所,,121.5338,24.97276
大樓,崇光大廈,D601000007,中華里,新北市新店區中華里三民路31號,1,758.0,碧潭派出所,,121.5379,24.97036
公寓,公寓,D601000009,文明里,新北市新店區文明里檳榔路22巷2號,1,147.0,碧潭派出所,,121.5411,24.96415
公寓,公寓,D601000012,國校里,新北市新店區國校里國校路45號,1,302.0,碧潭派出所,,121.5381,24.95515
大樓,能仁家商,D601000019,文中里,新北市新店區文中里文中路53巷10號,1,291.0,碧潭派出所,,121.5404,24.95692
大樓,中央名仕園,D601000020,福德里,新北市新店區福德里百忍街66巷11號,1,208.0,碧潭派出所,,121.5332,24.97719
公寓,公寓,D601000021,福德里,新北市新店區福德里中正路399巷20號,1,252.0,碧潭派出所,,121.534,24.97684
大樓,名仕大廈,D601000026,新生里,新北市新店區新生里環河路68號,1,649.0,碧潭派出所,,121.5372,24.96293
大樓,啟昇商業大樓,D601000031,新德里,新北市新店區新德里北新路一段351號,1,105.0,碧潭派出所,,121.5418,24.96932
公寓,公寓,D601000033,張北里,新北市新店區張北里中興路二段121巷1號,1,377.0,碧潭派出所,,121.5473,24.97235
公寓,公寓,D601000038,五峰里,新北市新店區五峰里五峰路61巷5號,1,812.0,碧潭派出所,,121.5488,24.96974
大樓,新店中正閱覽室,D601000039,中正里,新北市新店區中正里中正路275巷17號之1,1,145.0,碧潭派出所,,121.5372,24.9735
大樓,星殿社區,D601000040,國校里,新北市新店區國校里國校路49巷112號,1、2,1946.0,碧潭派出所,,121.5386,24.95489
大樓,捷運新廈,D601000041,文明里,新北市新店區文明里光明街140號,1,246.0,碧潭派出所,,121.5394,24.96141
大樓,富仕名廈,D601000042,新生里,新北市新店區新生里環河路12號,1,474.0,碧潭派出所,,121.5381,24.96194
大樓,華廈,D601000051,國校里,新北市新店區國校里北宜路一段80號,1,210.0,碧潭派出所,,121.5385,24.95568
大樓,中正國宅,D601000052,中正里,新北市新店區中正里中正路265巷2-14號,1,905.0,碧潭派出所,,121.538,24.97391
大樓,華廈,D601000054,新德里,新北市新店區新德里中華路53號,1,156.0,碧潭派出所,,121.5399,24.96794
大樓,新店國小,D601000055,國校里,新北市新店區國校里國校路67號,1,521.0,碧潭派出所,,121.5388,24.95331
大樓,嘉新林園大樓,D601000056,中興里,新北市新店區中興里中興路一段302號,2,749.0,碧潭派出所,,121.54642,24.9697003
大樓,國民黨黨部大樓,D601000057,五峰里,新北市新店區五峰里中正路37號,1,164.0,碧潭派出所,不張貼標誌牌,,
大樓,法務部調查局,D601000058,中華里,新北市新店區中華里中華路125號,2,1456.0,碧潭派出所,不張貼標誌牌,,
大樓,中興金典,D601000059,中興里,新北市新店區中興里中興路一段289號,1,236.0,碧潭派出所,,121.5454,24.9689
大樓,維多利亞大廈,D601000060,中正里,新北市新店區中正里三民路2號,1,693.0,碧潭派出所,,121.5397,24.97259
大樓,北新花園大廈,D601000061,張北里,新北市新店區張北里德正街27巷22-26號,1、2,951.0,碧潭派出所,,121.5453,24.97125
大樓,碧園華廈,D601000062,新店里,新北市新店區新店里新店路192號,1,370.0,碧潭派出所,,121.5372,24.95617
大樓,大樓,D601000063,新店里,新北市新店區新店里新店路82號,1,55.0,碧潭派出所,,121.5373,24.95404
大樓,華廈,D601000065,國校里,新北市新店區國校里國校路69號,1,247.0,碧潭派出所,,121.5387,24.95275
大樓,大樓,D601000066,新店里,新北市新店區新店里新店路66號,1,149.0,碧潭派出所,,121.5374,24.95371
大樓,大樓,D601000067,新店里,新北市新店區新店里新店路70號,1,106.0,碧潭派出所,,121.5374,24.95381
大樓,華廈,D601000068,新店里,新北市新店區新店里新店後街52-54號,1,143.0,碧潭派出所,,121.5378,24.9539
大樓,大樓,D601000069,新店里,新北市新店區新店里新店路155號,1,68.0,碧潭派出所,,121.537,24.95504
大樓,名家二期,D601000070,福民里,新北市新店區福民里中央路107號,1,1150.0,碧潭派出所,,121.53099,24.974656
大樓,藍天大地,D601000071,長春里,新北市新店區長春里新坡一街82號,2,1446.0,碧潭派出所,,121.5484,24.9626
大樓,大樓,D601000072,建國里,新北市新店區建國里中正路280巷5號,1,99.0,碧潭派出所,,121.5392,24.97449
大樓,總棧大廈,D601000073,張南里,新北市新店區張南里北宜路一段60-72號,1,652.0,碧潭派出所,,121.5383,24.95617
大樓,涵煙翠,D601000074,長春里,新北市新店區長春里新坡一街101號,1,2308.0,碧潭派出所,,121.5476,24.96276
大樓,電捷新境大樓,D601000075,文中里,新北市新店區文中里文中路40號,1,466.0,碧潭派出所,,121.5398,24.95645
大樓,東坡小雅,D601000076,長春里,新北市新店區長春里新坡一街1號,1,2993.0,碧潭派出所,,121.5492,24.96247
大樓,華廈,D601000077,百和里,新北市新店區百和里中正路418巷4號,1,127.0,碧潭派出所,,121.5346,24.97798
大樓,法務部調查局,D601000078,中正里,新北市新店區中正里中華路74號,1,4131.0,碧潭派出所,不張貼標誌牌,,
大樓,大樓,D601000079,建國里,新北市新店區建國里中正路284巷4弄3號之6,1,170.0,碧潭派出所,,121.5384,24.97482
大樓,台北國際學舍,D601000080,長春里,新北市新店區長春里新坡一街102號,2,644.0,碧潭派出所,,121.5486,24.96353
大樓,馬公友誼運動公園,D601000082,新生里,新北市新店區新生里北新路一段92號,2,4657.0,碧潭派出所,,121.5425,24.96857
大樓,大樓,D601000083,國校里,新北市新店區國校里國校路75號,2,156.0,碧潭派出所,,121.5387,24.95243
大樓,大樓,D601000084,文中里,新北市新店區文中里北宜路一段105巷4弄5號,1,438.0,碧潭派出所,,121.5401,24.95554
大樓,萊茵河畔,D601000085,新生里,新北市新店區新生里環河路60號,1,351.0,碧潭派出所,,121.5371,24.9626
大樓,中興花都,D601000086,中興里,新北市新店區中興里中興路一段267號之1,1,315.0,碧潭派出所,,121.544974,24.967919
