行政區,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
中正區,WOA01073,三愛里,臺北市中正區臨沂街75巷6號,"25.034645,121.528668",1,"40 ",中正第一分局,,臺北市中正區臨沂街75巷6號
中正區,WOA00801,三愛里,臺北市中正區臨沂街59巷35號,"25.036266,121.531236",1,"33 ",中正第一分局,,臺北市中正區臨沂街59巷35號
中正區,WOA00839,三愛里,臺北市中正區臨沂街75巷15號,"25.034745,121.528942",1,"620 ",中正第一分局,,臺北市中正區臨沂街75巷15號
中正區,WOA01080,三愛里,臺北市中正區臨沂街75巷2-3號,"25.034732,121.528229",1,"358 ",中正第一分局,,臺北市中正區臨沂街75巷2-3號
中正區,WOA00841,三愛里,臺北市中正區臨沂街75巷29號,"25.034738,121.529405",1,"464 ",中正第一分局,,臺北市中正區臨沂街75巷29號
中正區,WOA00842,三愛里,臺北市中正區臨沂街75巷4-1號,"25.034645,121.528571",1,"644 ",中正第一分局,,臺北市中正區臨沂街75巷4-1號
中正區,WOA01330,三愛里,臺北市中正區臨沂街71巷17-5號,"25.035169,121.529048",1,"138 ",中正第一分局,,臺北市中正區臨沂街71巷17-5號
中正區,WOA01348,三愛里,臺北市中正區信義路二段135號,"25.034172,121.528079",1,"1222 ",中正第一分局,,臺北市中正區信義路二段135號
中正區,WOA01497,三愛里,臺北市中正區信義路二段163號,"25.034065,121.528863",1.2,"777 ",中正第一分局,,臺北市中正區信義路二段163號
中正區,WOA01523,三愛里,臺北市中正區信義路二段177號,"25.034013,121.529267",1.2,"491 ",中正第一分局,,臺北市中正區信義路二段177號
中正區,WOA01357,三愛里,臺北市中正區臨沂街75巷35號,"25.034742,121.529878",1,"564 ",中正第一分局,,臺北市中正區臨沂街75巷35號
中正區,WOA00739,三愛里,臺北市中正區臨沂街67之2號,"25.036024,121.528395",1,"273 ",中正第一分局,,臺北市中正區臨沂街67之2號
中正區,WOA00816,三愛里,臺北市中正區臨沂街65巷18號,"25.035534,121.529702",1,"448 ",中正第一分局,,臺北市中正區臨沂街65巷18號
中正區,WOA00827,三愛里,臺北市中正區臨沂街71巷10號,"25.03498,121.529258",1,"250 ",中正第一分局,,臺北市中正區臨沂街71巷10號
中正區,WOA01285,三愛里,臺北市中正區臨沂街69巷19號,"25.035581,121.529004",1,"198 ",中正第一分局,,臺北市中正區臨沂街69巷19號
中正區,WOA01294,三愛里,臺北市中正區臨沂街71巷19弄3號,"25.035405,121.529466",1,"228 ",中正第一分局,,臺北市中正區臨沂街71巷19弄3號
中正區,WOA01311,三愛里,臺北市中正區臨沂街71巷12號,"25.035021,121.529484",1,"492 ",中正第一分局,,臺北市中正區臨沂街71巷12號
中正區,WOA01375,三愛里,臺北市中正區臨沂街69巷11號,"25.035731,121.528729",1,"540 ",中正第一分局,,臺北市中正區臨沂街69巷11號
中正區,WOA01512,三愛里,臺北市中正區臨沂街65巷1號,"25.036279,121.528918",1,"961 ",中正第一分局,,臺北市中正區臨沂街65巷1號
中正區,WOA00819,三愛里,臺北市中正區臨沂街65巷5之1號,"25.036092,121.529169",1,"458 ",中正第一分局,,臺北市中正區臨沂街65巷5之1號
中正區,WOA01515,三愛里,臺北市中正區臨沂街61巷2號,"25.03687,121.529038",1,"657 ",中正第一分局,,臺北市中正區臨沂街61巷2號
中正區,WOA00804,三愛里,臺北市中正區臨沂街61巷15號,"25.036415,121.530341",1,"65 ",中正第一分局,,臺北市中正區臨沂街61巷15號
中正區,WOA00805,三愛里,臺北市中正區臨沂街61巷18號,"25.036458,121.52995",1,"148 ",中正第一分局,,臺北市中正區臨沂街61巷18號
