類別,建築物名稱,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)"
一般建築,,YH0394,南端里,高雄市鹽埕區南端里公園二路95之1號,1,35,鹽埕分局,,,
一般建築,一般民宅,YH0434,博愛里,高雄市鹽埕區博愛里建國四路287號,1,64,鹽埕分局,1111026.0,,
一般建築,鹽埕區公所,YH0391,府北里,高雄市鹽埕區府北里大勇路183巷5號,1,65,鹽埕分局,1111026.0,,
一般建築,,YH0414,藍橋里,高雄市鹽埕區藍橋里建國四路336之1號,1,82,鹽埕分局,,,
一般建築,允成營造公司,YH0392,教仁里,高雄市鹽埕區教仁里建國四路197號,1,122,鹽埕分局,1111026.0,,
一般建築,港都金第大樓,YH0406,江西里,高雄市鹽埕區江西里建國四路145號,1,151,鹽埕分局,,,
一般建築,,YH0418,江西里,高雄市鹽埕區江西里五福四路295號,1,159,鹽埕分局,,,
一般建築,,YH0397,府北里,高雄市鹽埕區府北里富野路68號,1,160,鹽埕分局,,,
一般建築,晨星天廈大樓,YH0405,藍橋里,高雄市鹽埕區藍橋里建國四路344號,1,160,鹽埕分局,,,
一般建築,新新鹽埕大樓,YH0424,府北里,高雄市鹽埕區府北里大有街1號,1,176,鹽埕分局,1111026.0,,
一般建築,如意人生大樓,YH0415,壽星里,高雄市鹽埕區壽星里興華街43號,1,176,鹽埕分局,1111026.0,,
一般建築,陳富大樓,YH0396,府北里,高雄市鹽埕區府北里富野路70號,1,192,鹽埕分局,,,
一般建築,一般民宅,YH0402,港都里,高雄市鹽埕區港都里瀨南街43號,1,198,鹽埕分局,1111026.0,,
一般建築,一般民宅,YH0428,港都里,高雄市鹽埕區港都里必忠街247號,1,202,鹽埕分局,1111026.0,,
一般建築,一般民宅,YH0412,博愛里,高雄市鹽埕區博愛里建國四路293號,1,205,鹽埕分局,,,
一般建築,塩.泊思行旅,YH0461,港都里,高雄市鹽埕區港都里七賢三路58號,1,206,鹽埕分局,,,
一般建築,高雄愛河智選假日酒店,YH0460,光明里,高雄市鹽埕區光明里大智路129號,2,223,鹽埕分局,,,
一般建築,個性雅居大樓,YH0422,光明里,高雄市鹽埕區光明里莒光街213號,1,224,鹽埕分局,1111026.0,,
一般建築,七海大亨,YH0427,港都里,高雄市鹽埕區港都里必忠街248號,1,229,鹽埕分局,,,
一般建築,華王儷園大樓,YH0439,育仁里,高雄市鹽埕區育仁里五福四路16號,1,235,鹽埕分局,1111026.0,,
一般建築,德耀大廈,YH0421,瀨南里,高雄市鹽埕區瀨南里富野路25號,1,240,鹽埕分局,,,
一般建築,蘭亭大樓,YH0416,江南里,高雄市鹽埕區江南里瀨南街30號,1,254,鹽埕分局,1111026.0,,
一般建築,鹽埕風華大樓,YH0464,光明里,高雄市鹽埕區光明里大智路145號,1,269,鹽埕分局,,,
一般建築,瑞銅公寓大廈,YH0395,育仁里,高雄市鹽埕區育仁里大智路122號,1,272,鹽埕分局,1111026.0,,
