電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局,備註
ZN2253,楠梓區,仁昌里,高雄市楠梓區壽豐路424號,"22.724967,120.296251",2,283.0,楠梓分局,
ZN2254,楠梓區,慶昌里,高雄市楠梓區新昌街111號,"22.711226,120.29861",1,168.0,楠梓分局,
ZN2255,楠梓區,翠屏里,高雄市楠梓區德祥路87號,"22.727508,120.310997",1,178.0,楠梓分局,
ZN2256,楠梓區,中陽里,高雄市楠梓區中陽里朝明路118號,"22.724112,120.32826",1,272.0,楠梓分局,
ZN2257,楠梓區,仁昌里,高雄市楠梓區壽豐路405號,"22.72472,120.296664",1,407.0,楠梓分局,
ZN2258,楠梓區,翠屏里,高雄市楠梓區德民路150號,"22.727018,120.310586",1,930.0,楠梓分局,
ZN2260,楠梓區,中陽里,高雄市楠梓區朝明路125巷1號,"22.723569,120.327555",1,245.0,楠梓分局,
ZN2262,楠梓區,加昌里,高雄市楠梓區樂群路59號,"22.716215,120.297796",1,529.0,楠梓分局,
ZN2264,楠梓區,隆昌里,高雄市楠梓區軍校路780之2號,"22.709585,120.293082",1,160.0,楠梓分局,
ZN2265,楠梓區,翠屏里,高雄市楠梓區德民路356巷18號,"22.725981,120.304748",1,429.0,楠梓分局,
ZN2266,楠梓區,翠屏里,高雄市楠梓區德賢路220巷22號,"22.726989,120.305933",1,548.0,楠梓分局,
ZN2267,楠梓區,享平里,高雄市楠梓區楠梓東街61號,"22.729448,120.329886",1,91.0,楠梓分局,
ZN2268,楠梓區,翠屏里,高雄市楠梓區德賢路17號,"22.728673,120.310999",1,477.0,楠梓分局,
ZN2269,楠梓區,翠屏里,高雄市楠梓區德維街11號,"22.72765,120.310331",1,539.0,楠梓分局,
ZN2270,楠梓區,翠屏里,高雄市楠梓區加仁路70巷3號,"22.727872,120.301462",1,698.0,楠梓分局,
ZN2271,楠梓區,瑞屏里,高雄市楠梓區瑞昌街20號,"22.721371,120.311941",1,622.0,楠梓分局,
ZN2272,楠梓區,瑞屏里,高雄市楠梓區德民路356巷60弄3號,"22.728456,120.305007",1,768.0,楠梓分局,
ZN2273,楠梓區,秀昌里,高雄市楠梓區後昌路862之1號,"22.712391,120.294621",1,63.0,楠梓分局,
ZN2274,楠梓區,瑞屏里,高雄市楠梓區瑞屏里瑞仁路46號,"22.723527,120.313468",1,158.0,楠梓分局,
ZN2275,楠梓區,翠屏里,高雄市楠梓區德賢路175號,"22.72644,120.306383",1,534.0,楠梓分局,
