電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SNA00018,南山人壽,宜昌村,花蓮縣吉安鄉南山一街12號,1.0,180人,,花蓮縣吉安鄉南山一街12號
SNA00019,天主教會,宜昌村,花蓮縣吉安鄉中華路二段169號,1.0,310人,,花蓮縣吉安鄉中華路二段169號
SNA00020,私人透天,宜昌村,花蓮縣吉安鄉宜昌七街24號,1.0,70人,,花蓮縣吉安鄉宜昌七街24號
SNA00021,仁里郵局,仁里村,花蓮縣吉安鄉中正路一段48號,1.0,160人,,花蓮縣吉安鄉中正路一段48號
SNA00022,公寓,仁里村,花蓮縣吉安鄉東里一街36號,1.0,665人,,花蓮縣吉安鄉東里一街36號
SNA00023,協榮石業公司,仁和村,花蓮縣吉安鄉南海八街205號,1.0,185人,,花蓮縣吉安鄉南海八街205號
SNA00024,國產實業公司,仁安村,花蓮縣吉安鄉海濱1號,1.0,213人,,花蓮縣吉安鄉海濱1號
SNA00025,永天聖道寶禪院,仁安村,花蓮縣吉安鄉南海十街164號,1.0,92人,,花蓮縣吉安鄉南海十街164號
SNA00026,建利石材,光華村,花蓮縣吉安鄉華工四路6號,1.0,2324人,,花蓮縣吉安鄉華工四路6號
SNA00027,易展石業有限公司,光華村,花蓮縣吉安鄉南濱路一段521號,1.0,1412人,,花蓮縣吉安鄉南濱路一段521號
SNA00028,億泉大理石工廠,光華村,花蓮縣吉安鄉南濱路一段558號,1.0,66人,,花蓮縣吉安鄉南濱路一段558號
SNA00029,山井石材企業有限公司,光華村,花蓮縣吉安鄉南濱路一段536號,1.0,26人,,花蓮縣吉安鄉南濱路一段536號
SNA00030,國庫石材有限公司,光華村,花蓮縣吉安鄉華工四路9號,1.0,49人,,花蓮縣吉安鄉華工四路9號
SNA00031,金營方石業公司,光華村,花蓮縣吉安鄉南濱路一段544號,1.0,25人,,花蓮縣吉安鄉南濱路一段544號
SNA00032,岩堡石業有限公司,光華村,花蓮縣吉安鄉華工四路20號,1.0,41人,,花蓮縣吉安鄉華工四路20號
SNA00033,高陽益有限公司,光華村,花蓮縣吉安鄉南濱路一段529號,1.0,38人,,花蓮縣吉安鄉南濱路一段529號
SNA00034,光華石業有限公司,光華村,花蓮縣吉安鄉南濱路一段560號,1.0,40人,,花蓮縣吉安鄉南濱路一段560號
SNA00036,利國石業有限公司,光華村,花蓮縣吉安鄉華工四路14號,1.0,41人,,花蓮縣吉安鄉華工四路14號
SNA00037,合一石業有限公司,光華村,花蓮縣吉安鄉華工三路5號,1.0,26人,,花蓮縣吉安鄉華工三路5號
SNA00038,和聯大理石,光華村,花蓮縣吉安鄉華工三路3號,1.0,82人,,花蓮縣吉安鄉華工三路3號
SNA00039,弘元石材有限公司,光華村,花蓮縣吉安鄉南濱路一段554號,1.0,152人,,花蓮縣吉安鄉南濱路一段554號
SNA00040,國原大理石公司,光華村,花蓮縣吉安鄉華南二路7號,1.0,62人,,花蓮縣吉安鄉華南二路7號
SNA00041,建利石材有限公司,光華村,花蓮縣吉安鄉華工四路4號,1.0,237人,,花蓮縣吉安鄉華工四路4號
SNA00042,三泰礦業有限公司,光華村,花蓮縣吉安鄉南濱路一段521號,1.0,88人,,花蓮縣吉安鄉南濱路一段521號
SNA00043,晶晶洗染公司,仁和村,花蓮縣吉安鄉南海四街296號,1.0,164人,,花蓮縣吉安鄉南海四街296號
SNA00044,中華紙漿廠,光華村,花蓮縣吉安鄉光華街100號,1.0,430人,,花蓮縣吉安鄉光華街100號
SNA00045,和聯石業,光華村,花蓮縣吉安鄉華中路12號,1.0,298人,,花蓮縣吉安鄉華中路12號
SNA00046,石材工業發展中心,光華村,花蓮縣吉安鄉南濱路一段534號,1.0,798人,,花蓮縣吉安鄉南濱路一段534號
SNA00047,富國石材股份有限公司,勝安村,花蓮縣吉安鄉民治路182號,1.0,69人,,花蓮縣吉安鄉民治路182號
SNA00048,私人透天,勝安村,花蓮縣吉安鄉自強路101號,1.0,69人,,花蓮縣吉安鄉自強路101號
SNA00049,台灣基督教長老教會,北昌村,花蓮縣吉安鄉自立路54號,1.0,90人,,花蓮縣吉安鄉自立路54號
SNA00050,國產汽車股份有限公司,北昌村,花蓮縣吉安鄉建國路一段189號,1.0,108人,,花蓮縣吉安鄉建國路一段189號
SNA00051,全球人壽,勝安村,花蓮縣吉安鄉自強路282號,1.0,34人,,花蓮縣吉安鄉自強路282號
SNA00052,全球人壽,勝安村,花蓮縣吉安鄉自強路284號,1.0,34人,,花蓮縣吉安鄉自強路284號
SNA00053,私人透天,勝安村,花蓮縣吉安鄉自強路286號,1.0,34人,,花蓮縣吉安鄉自強路286號
SNA00054,私人透天,勝安村,花蓮縣吉安鄉自強路288號,1.0,34人,,花蓮縣吉安鄉自強路288號
SNA00055,漢林家俱,北昌村,花蓮縣吉安鄉建國路一段117號,1.0,54人,,花蓮縣吉安鄉建國路一段117號
SNA00056,私人透天,勝安村,花蓮縣吉安鄉自強路298號,1.0,32人,,花蓮縣吉安鄉自強路298號
SNA00057,驕陽企業有限公司,勝安村,花蓮縣吉安鄉民治路357號,1.0,62人,,花蓮縣吉安鄉民治路357號
